decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
160,1588.62222222299,1,96,1,93,0,3,3,90,3,11,1,0,0,0,-440,0.003999
161,1604.75555555633,1,100,1,96,1,6,5,91,6,16,1,1,0,1,-614,0.0600473
162,1618.66666666745,1,99,1,94,1,4,3,91,4,15,1,1,0,1,-566,0.0497569
163,1628.71111111191,1,100,1,95,1,5,4,91,5,18,1,1,0,1,-687,0.0550504
164,1638.75555555636,1,100,1,94,0,4,4,90,4,10,1,0,0,0,-400,0.0046243
165,1668.80000000083,1,100,1,95,2,5,3,92,5,18,1,2,0,2,-664,0.104742
166,1674.80000000083,1,100,1,94,0,4,4,90,4,11,1,0,0,0,-440,0.0040207
167,1678.84444444528,1,100,1,96,1,6,5,91,6,21,1,1,0,1,-811,0.0590016
168,1684.84444444528,1,97,1,94,0,4,4,90,4,10,1,0,0,0,-400,0.0047955
169,1688.88888888973,1,100,1,96,0,6,6,90,6,20,1,0,0,0,-800,0.0049959
170,1714.88888888975,1,97,1,94,0,4,4,90,4,9,1,0,0,0,-360,0.0035102
171,1718.9333333342,1,100,1,95,0,5,5,90,5,18,1,0,0,0,-720,0.0040236
172,1728.97777777865,1,100,1,95,1,5,4,91,5,16,1,1,0,1,-610,0.049995
173,1734.93333333421,1,98,1,94,0,4,4,90,4,9,1,0,0,0,-360,0.0039693
174,1739.0222222231,1,100,1,95,0,5,5,90,5,15,1,0,0,0,-600,0.0043251
175,1744.97777777867,1,98,1,95,1,5,4,91,5,13,1,1,0,1,-489,0.0525213
176,1755.02222222312,1,98,1,94,0,4,4,90,4,10,1,0,0,0,-400,0.0042778
177,1765.06666666757,1,98,1,94,1,5,4,90,5,15,1,1,0,1,-576,0.0590799
178,1789.06666666759,1,100,1,94,2,5,3,91,5,18,1,2,0,2,-663,0.1104636
179,1795.11111111204,1,98,1,93,0,4,4,89,4,12,1,0,0,0,-480,0.003037
180,1799.11111111204,1,100,1,94,0,5,5,89,5,17,1,0,0,0,-680,0.0044044
181,1805.15555555649,1,8,1,94,1,5,4,35,5,1,1,1,0,1,-19,0.0042719
182,1815.20000000094,1,7,1,94,0,4,4,34,4,0,0,0,1,0,1000,0.0029696
183,1819.1555555565,1,6,2,98,0,8,8,16,8,0,0,0,2,0,2000,0.0040019
184,1829.20000000095,1,6,2,98,1,8,7,16,8,1,1,1,2,1,1978,0.0054445
185,1829.2444444454,1,5,1,94,0,4,4,14,4,0,0,0,2,0,2000,0.0028809
186,1835.2444444454,1,5,2,99,1,9,8,14,9,1,1,1,2,1,1991,0.0047032
187,1835.28888888985,1,4,1,94,0,4,4,13,4,0,0,0,2,0,2000,0.0022801
188,1839.24444444541,1,4,1,95,1,5,4,13,4,0,0,0,3,0,3000,0.0030262
189,1859.28888888987,1,97,1,94,1,4,3,91,4,15,4,1,0,1,-572,0.0520064
190,1875.28888888988,1,4,1,96,1,6,5,13,5,0,0,0,1,0,1000,0.003967
191,1899.33333333434,1,4,2,99,1,9,8,13,8,0,0,0,2,0,2000,0.0042309
192,1905.33333333435,1,4,2,100,2,10,8,13,10,1,1,2,2,2,1994,0.0089729
193,1905.37777777879,1,100,2,100,0,10,10,90,10,19,2,0,0,0,-760,0.0062158
194,1925.37777777881,1,100,1,95,0,5,5,90,5,4,1,0,0,0,-160,0.0029164
195,1935.42222222326,1,100,1,96,2,6,4,92,6,16,1,2,0,2,-574,0.2616167
196,1965.68888888995,1,99,1,96,1,6,5,91,6,18,1,1,0,1,-693,0.0580517
197,1969.37777777884,1,3,1,93,0,3,3,11,3,0,0,0,1,0,1000,0.0059774
198,1985.73333333441,1,100,2,100,1,10,9,91,10,25,2,1,0,1,-980,0.1700972
199,1989.4222222233,1,3,1,94,0,4,4,11,4,0,0,0,1,0,1000,0.0029675
200,2005.77777777887,1,99,2,99,1,9,8,91,9,23,2,1,0,1,-903,0.151522
201,2019.46666666777,1,3,1,93,0,3,3,10,3,0,0,0,1,0,1000,0.0029698
202,2039.51111111223,1,4,1,94,1,4,3,28,3,0,0,0,2,0,2000,0.0040041
203,2045.82222222335,1,100,2,98,1,8,7,91,8,24,3,1,0,1,-931,0.1332092
204,2049.55555555668,1,4,1,93,1,3,2,28,2,0,0,0,1,0,1000,0.0032846
205,2055.91111111221,1,100,2,99,1,9,8,91,9,26,2,1,0,1,-1012,0.1300368
206,2066.00000000105,1,100,1,98,1,8,7,91,8,25,1,1,0,1,-978,0.0586465
207,2069.68888888992,1,4,1,92,0,2,2,28,2,0,0,0,1,0,1000,0.002971
208,2089.82222222317,1,4,1,92,0,2,2,28,2,0,0,0,2,0,2000,0.0029889
209,2106.2222222231,1,100,2,99,2,9,7,92,9,25,3,2,0,2,-949,0.4178603
210,2116.31111111194,1,100,1,96,0,6,6,90,6,15,1,0,0,0,-600,0.0039765
211,2120.00000000082,1,3,1,92,0,2,2,26,2,0,0,0,1,0,1000,0.0050024
212,2126.40000000079,1,100,2,99,1,9,8,91,9,24,2,1,0,1,-920,0.1160963
213,2140.13333333406,1,3,1,93,1,3,2,26,2,0,0,0,1,0,1000,0.0039642
214,2150.22222222291,1,3,1,92,1,2,1,26,1,0,0,0,2,0,2000,0.0029977
215,2176.66666666724,1,100,2,100,3,10,7,93,10,30,3,3,0,3,-1137,0.3013962
216,2190.44444444496,1,3,1,87,0,2,2,27,2,0,0,0,1,0,1000,0.0019709
217,2196.80000000049,1,98,2,93,0,8,8,85,8,19,2,0,0,0,-760,0.0049315
218,2200.5333333338,1,3,1,88,1,3,2,28,2,0,0,0,1,0,1000,0.002968
219,2206.88888888933,1,98,2,93,1,8,7,86,8,20,2,1,0,1,-782,0.1006245
220,2210.62222222265,1,94,1,88,0,3,3,85,3,4,1,0,0,0,-160,0.0050772
221,2220.71111111149,1,94,1,87,0,2,2,85,2,3,1,0,0,0,-120,0.004361
