decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
52,440.79999999994,1,80,1,88,1,5,9.07473058127565,14.519568930041,0.123287671232877,0.00907473058127565,25,1,9,0,2,1,-20.0138736085612,0.1346258,0,7.96805612014448,1,0,3
53,450.888888888825,1,81,1,90,1,7,9.42674530695072,15.2922757201645,0.119868637110016,0.00942674530695073,19,1,8,0,2,1,-26.6324566296189,0.1704852,0,8.19229056437384,1,0,2
54,481.066666666588,1,83,1,91,1,7,9.59459459459459,15.7777777777778,0.117834394904459,0.0095945945945946,23,1,10,0,2,1,-26.9573385168608,0.2152165,0,7.88888888888889,1,0,1
55,490.13333333325,1,84,1,90,2,7,9.46666666666667,15.7777777777778,0.115207373271889,0.00946666666666667,20,1,9,0,2,2,-31.1714088148411,0.1710872,0,7.8021978021978,2,0,2
56,501.199999999911,1,85,1,90,1,7,9.3421052631579,15.7777777777778,0.113263785394933,0.0093421052631579,23,2,10,1,2,2,-23.6783133809039,0.1606125,0,7.5531914893617,0,2,0
57,510.266666666574,1,85,1,89,2,5,9.24520660216838,15.676654673242,0.112391930835735,0.00924520660216838,13,1,8,1,1,1,-19.1428511381221,0.2235207,0,7.59080121020141,0,1,3
58,521.288888888802,1,85,1,88,3,4,9.50625395569621,15.9785970744681,0.111739745403112,0.00950625395569621,21,2,9,1,0,4,-69.4949864918727,0.0903601,0,7.66320471938776,4,0,36
59,530.311111111032,1,87,1,89,2,4,9.77441705723236,16.4943287840796,0.111263736263736,0.00977441705723235,20,1,11,0,1,2,-50.6391189518109,0.1056688,0,7.99725031955375,2,0,19
60,531.333333333255,1,87,1,87,3,4,9.71475158084939,16.5960339506177,0.109625668449198,0.0097147515808494,27,3,13,1,1,4,-62.2049344493418,0.1249896,0,7.9660962962965,3,1,32
61,540.355555555484,1,86,1,86,2,4,9.83729307371108,17.4202064846967,0.109677419354839,0.00983729307371108,19,2,11,1,1,2,-50.2833817263884,0.0908536,0,8.27891001252913,1,1,17
62,541.377777777707,1,85,1,85,4,3,9.65820956612759,17.1482496378184,0.109571788413098,0.00965820956612759,24,2,12,1,0,2,-80.4344738705161,0.0575679,0,8.23788462993235,2,0,36
63,551.42222222216,1,85,1,85,4,3,9.77666766368436,17.4024684413582,0.10880195599022,0.00977666766368436,22,1,11,1,0,3,-68.4808240251911,0.060925,0,8.36657136603758,3,0,34
64,561.466666666612,1,85,1,85,3,3,10.0485746690937,17.7327788278125,0.107142857142857,0.0100485746690938,21,1,10,1,0,2,-83.4971933123051,0.055796,0,8.53180868130601,2,0,31
65,570.399999999953,1,85,1,85,3,4,10.1975698260074,18.1956638071897,0.105691056910569,0.0101975698260074,18,1,9,1,0,2,-62.1210431427301,0.0671867,0,8.67269957165115,2,0,27
66,580.444444444405,1,85,1,86,3,4,10.2065217391304,18.4117647058824,0.104664391353811,0.0102065217391304,17,1,8,1,0,2,-59.2202426859748,0.0665765,0,8.61467889908257,2,0,25
67,600.488888888865,1,86,1,88,3,4,10.2880075006769,18.3997057223645,0.103794642857143,0.0102880075006769,16,1,7,1,0,2,-56.1846355064844,0.0640261,0,8.46712121737127,2,0,23
68,620.533333333326,1,86,1,88,2,4,10.2765957446809,18.2264150943396,0.103070175438596,0.0102765957446809,15,1,6,1,0,2,-69.2583309187027,0.0755162,0,8.25641025641026,2,0,21
69,630.577777777778,1,86,1,88,2,5,10.2481012020793,18.029066929584,0.102481121898598,0.0102481012020793,14,1,6,1,0,2,-59.3701964356279,0.1266374,0,8.18125726216416,2,0,19
70,641.51111111112,1,86,1,91,2,5,10.3524777761703,18.0697793911336,0.10201912858661,0.0103524777761703,32,2,13,1,2,4,-67.914649505708,0.1047431,0,8.14621202059302,3,1,22
71,651.555555555573,1,86,1,91,3,5,10.3221460065509,18.063755511464,0.100719424460432,0.0103221460065509,30,2,12,1,1,2,-76.8517104017113,0.1228327,0,8.15782506969343,2,0,30
