decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
74,782.711111111233,1,62,1,91,0,5,5,86,5,17,1,0,0,0,-680,0.0059796
75,787.022222222347,1,62,1,91,1,5,4,87,5,16,1,1,0,1,-612,0.0425319
76,792.755555555685,1,61,1,90,0,4,4,86,4,12,1,0,0,0,-480,0.0063665
77,802.800000000138,1,61,1,89,1,4,3,86,4,13,1,1,0,1,-484,0.034925
78,807.066666666808,1,61,1,89,0,4,4,85,4,11,1,0,0,0,-440,0.0050047
79,812.84444444459,1,60,1,91,1,5,4,87,5,15,1,1,0,1,-582,0.0395132
80,827.111111111268,1,57,1,92,1,5,4,88,5,14,1,1,0,1,-530,0.0387699
81,842.888888889058,1,61,1,92,0,4,4,88,4,9,1,0,0,0,-360,0.0055156
82,867.155555555744,1,60,1,93,2,6,4,89,6,18,1,2,0,2,-667,0.0519695
83,882.933333333535,1,64,1,92,0,4,4,88,4,8,1,0,0,0,-320,0.007017
84,892.977777777987,1,63,1,92,1,4,3,89,4,11,1,1,0,1,-412,0.0392045
85,907.200000000221,1,62,1,94,1,6,5,89,6,17,1,1,0,1,-652,0.0435509
86,913.022222222447,1,63,1,91,0,3,3,88,3,7,1,0,0,0,-280,0.0059978
87,917.244444444673,1,61,1,93,0,5,5,88,5,13,1,0,0,0,-520,0.0070078
88,933.066666666908,1,62,1,93,2,5,3,90,5,13,1,2,0,2,-460,0.2110008
89,937.288888889133,1,61,1,93,0,5,5,88,5,13,1,0,0,0,-520,0.0030302
90,947.333333333586,1,61,1,92,0,4,4,88,4,11,1,0,0,0,-440,0.0063666
91,953.111111111368,1,61,1,92,1,5,4,88,5,15,1,1,0,1,-553,0.0505487
92,963.155555555821,1,61,1,93,1,6,5,88,6,18,1,1,0,1,-698,0.0592835
93,967.377777778046,1,59,1,90,0,3,3,87,3,7,1,0,0,0,-280,0.0050384
94,973.200000000273,1,60,1,93,1,7,6,87,7,22,1,1,0,1,-838,0.0549804
95,997.422222222515,1,57,1,90,0,3,3,87,3,6,1,0,0,0,-240,0.0066673
96,1003.24444444474,1,58,1,92,0,6,6,86,6,18,1,0,0,0,-720,0.0053264
97,1007.46666666697,1,56,1,89,0,3,3,86,3,5,1,0,0,0,-200,0.0049963
98,1013.28888888919,1,57,1,92,1,6,5,87,6,15,1,1,0,1,-573,0.0434703
99,1017.51111111142,1,56,1,89,0,2,2,87,2,3,1,0,0,0,-120,0.0052074
100,1027.55555555587,1,56,1,91,2,4,2,89,4,10,1,2,0,2,-366,0.170302
101,1047.60000000033,1,56,1,91,0,3,3,88,3,8,1,0,0,0,-320,0.0039998
102,1057.64444444478,1,56,1,92,2,5,3,89,5,14,1,2,0,2,-518,0.2730298
103,1063.33333333368,1,57,1,91,0,4,4,87,4,7,1,0,0,0,-280,0.0050004
104,1073.37777777813,1,57,1,91,0,4,4,87,4,7,1,0,0,0,-280,0.0040023
105,1077.68888888925,1,55,1,93,1,6,5,88,6,15,1,1,0,1,-582,0.0380962
106,1087.7333333337,1,55,1,93,0,6,6,87,6,14,1,0,0,0,-560,0.0069693
107,1103.4222222226,1,56,1,91,0,4,4,87,4,5,1,0,0,0,-200,0.0051739
108,1107.77777777816,1,56,1,93,0,5,5,88,5,12,1,0,0,0,-480,0.0059658
109,1113.46666666705,1,55,1,91,1,4,3,88,4,10,1,1,0,1,-374,0.0350008
110,1123.5111111115,1,52,1,89,1,4,3,86,4,10,1,1,0,1,-362,0.0359705
111,1137.82222222263,1,52,1,90,1,5,4,86,5,9,1,1,0,1,-331,0.0339689
112,1153.55555555597,1,53,1,89,1,5,4,85,5,13,1,1,0,1,-501,0.0414807
113,1157.86666666709,1,52,1,87,0,4,4,83,4,8,1,0,0,0,-320,0.0056293
114,1173.60000000043,1,52,1,89,1,6,5,84,6,15,1,1,0,1,-576,0.0389646
115,1183.64444444489,1,54,1,91,1,6,5,86,6,17,1,1,0,1,-651,0.0450006
116,1187.91111111156,1,54,1,88,0,3,3,85,3,6,1,0,0,0,-240,0.005515
117,1193.68888888934,1,54,1,92,1,7,6,86,7,19,1,1,0,1,-727,0.0419283
118,1217.95555555602,1,54,1,88,0,3,3,85,3,5,1,0,0,0,-200,0.0069698
119,1223.73333333381,1,55,1,92,1,6,5,87,6,15,1,1,0,1,-585,0.0429666
120,1228.00000000048,1,53,1,88,0,2,2,86,2,4,1,0,0,0,-160,0.0054352
121,1233.77777777826,1,54,1,91,0,5,5,86,5,10,1,0,0,0,-400,0.0048398
122,1248.04444444494,1,53,1,93,2,4,2,91,4,9,1,2,0,2,-307,0.1747736
123,1253.82222222272,1,53,1,94,1,5,4,90,5,9,1,1,0,1,-340,0.0322417
124,1258.08888888939,1,52,1,93,0,4,4,89,4,8,1,0,0,0,-320,0.0051977
125,1273.86666666718,1,53,1,94,1,5,4,90,5,9,1,1,0,1,-340,0.0320072
126,1278.13333333385,1,51,1,93,0,4,4,89,4,6,1,0,0,0,-240,0.0071196
127,1288.1777777783,1,51,1,94,1,5,4,90,5,10,1,1,0,1,-363,0.0289707
128,1293.91111111164,1,52,1,93,0,4,4,89,4,5,1,0,0,0,-200,0.0059681
129,1313.9555555561,1,53,1,94,2,6,4,90,5,12,1,1,0,2,-412,0.0707492
130,1324.00000000055,1,51,1,93,1,5,4,89,5,11,1,1,0,1,-402,0.028541
131,1328.22222222278,1,51,1,93,1,5,4,89,5,10,1,1,0,1,-371,0.0355121
132,1334.044444445,1,50,1,93,0,5,5,88,5,10,1,0,0,0,-400,0.0059957
133,1358.26666666725,1,51,1,92,0,4,4,88,4,7,1,0,0,0,-280,0.0059111
134,1364.08888888947,1,51,1,91,0,4,4,87,4,5,1,0,0,0,-200,0.0055129
135,1384.13333333393,1,51,1,93,2,5,3,90,5,10,1,2,0,2,-346,0.0795662
136,1404.17777777839,1,51,1,95,2,7,5,90,7,14,1,2,0,2,-512,0.1576405
137,1418.31111111174,1,51,1,91,0,3,3,88,3,3,1,0,0,0,-120,0.0050111
138,1438.3555555562,1,51,1,91,0,3,3,88,3,2,1,0,0,0,-80,0.0075583
139,1444.22222222287,1,52,1,94,0,6,6,88,6,11,1,0,0,0,-440,0.0052995
140,1454.26666666732,1,52,1,95,1,7,6,89,7,13,1,1,0,1,-480,0.0399217
141,1458.40000000066,1,49,1,91,0,3,3,88,3,2,1,0,0,0,-80,0.0076733
142,1478.44444444512,1,50,1,93,1,4,3,90,4,6,1,1,0,1,-224,0.0267718
143,1484.31111111179,1,51,1,94,0,6,6,88,6,8,1,0,0,0,-320,0.0049693
144,1498.48888888958,1,49,1,91,0,3,3,88,3,5,1,0,0,0,-200,0.0067003
145,1504.35555555625,1,50,1,93,1,6,5,88,6,9,1,1,0,1,-329,0.0283106
146,1518.53333333404,1,49,1,90,1,4,3,87,4,7,1,1,0,1,-263,0.0323751
147,1538.5777777785,1,50,1,91,1,5,4,87,5,10,1,1,0,1,-373,0.0304411
148,1544.40000000073,1,48,1,91,0,5,5,86,5,6,1,0,0,0,-240,0.0066658
149,1558.62222222296,1,51,1,92,1,5,4,88,5,10,1,1,0,1,-385,0.0308573
150,1564.44444444519,1,48,1,91,0,4,4,87,4,4,1,0,0,0,-160,0.0040007
151,1578.66666666742,1,51,1,94,1,6,5,89,6,11,1,1,0,1,-419,0.0283274
152,1608.71111111189,1,52,1,92,1,6,5,87,6,13,1,1,0,1,-493,0.0309675
153,1624.48888888968,1,51,1,88,0,3,3,85,3,3,1,0,0,0,-120,0.0061415
154,1634.53333333413,1,50,1,89,1,4,3,86,4,5,1,1,0,1,-175,0.0261567
155,1648.75555555637,1,53,1,90,0,5,5,85,5,10,1,0,0,0,-400,0.0053527
156,1658.80000000082,1,52,1,92,1,6,5,87,6,13,1,1,0,1,-479,0.0369075
157,1664.5777777786,1,52,1,88,0,3,3,85,3,4,1,0,0,0,-160,0.0049631
158,1668.84444444527,1,51,1,91,0,6,6,85,6,11,1,0,0,0,-440,0.0055522
159,1684.62222222306,1,53,1,91,2,5,3,88,5,10,1,2,0,2,-336,0.1991479
160,1698.88888888974,1,52,1,91,0,4,4,87,4,8,1,0,0,0,-320,0.0039929
161,1714.66666666753,1,53,1,92,1,6,5,87,6,13,1,1,0,1,-493,0.0315472
162,1718.9333333342,1,52,1,89,0,3,3,86,3,6,1,0,0,0,-240,0.0050023
163,1734.71111111199,1,51,1,93,1,6,5,88,6,11,1,1,0,1,-423,0.030064
164,1738.97777777866,1,51,1,92,1,4,3,89,4,8,1,1,0,1,-295,0.0279614
165,1744.75555555644,1,51,1,94,0,6,6,88,6,10,1,0,0,0,-400,0.0048996
166,1759.02222222312,1,51,1,90,1,4,3,87,4,9,1,1,0,1,-333,0.0289519
167,1784.80000000092,1,52,1,94,1,6,5,89,6,11,1,1,0,1,-421,0.0334325
168,1789.06666666759,1,52,1,92,0,4,4,88,4,8,1,0,0,0,-320,0.0039699
169,1809.11111111205,1,53,1,92,0,4,4,88,4,7,1,0,0,0,-280,0.0042644
170,1814.84444444539,1,52,1,94,0,6,6,88,6,9,1,0,0,0,-360,0.0045468
171,1829.15555555651,1,52,1,92,1,4,3,89,4,8,1,1,0,1,-301,0.0230171
172,1859.20000000098,1,53,1,93,1,4,3,90,4,9,1,1,0,1,-316,0.0257542
173,1869.24444444543,1,53,1,92,1,4,3,89,4,8,1,1,0,1,-306,0.0290147
174,1874.88888888988,1,52,1,92,1,4,3,89,4,5,1,1,0,1,-176,0.0239301
175,1879.28888888988,1,52,1,93,1,5,4,89,5,10,1,1,0,1,-386,0.0345908
176,1884.93333333433,1,51,1,93,1,5,4,89,5,7,1,1,0,1,-262,0.0259681
177,1919.33333333436,1,53,1,95,1,6,5,90,6,12,1,1,0,1,-457,0.0353502
178,1924.97777777881,1,53,1,93,0,4,4,89,4,6,1,0,0,0,-240,0.0051309
179,1949.37777777883,1,54,1,95,0,5,5,90,5,8,1,0,0,0,-320,0.0046338
180,1959.42222222328,1,54,1,94,1,5,4,90,5,10,1,1,0,1,-371,0.0329639
181,1965.02222222328,1,53,1,92,0,3,3,89,3,5,1,0,0,0,-200,0.006513
182,1975.06666666774,1,53,1,94,2,5,3,91,5,10,1,2,0,2,-330,0.1186941
183,1979.46666666774,1,50,1,92,0,4,4,88,4,8,1,0,0,0,-320,0.0045208
184,1985.11111111219,1,52,1,93,1,5,4,89,5,11,1,1,0,1,-421,0.0320391
185,1989.51111111219,1,49,1,92,1,4,3,89,4,8,1,1,0,1,-291,0.0292467
186,1995.15555555664,1,51,1,94,1,6,5,89,6,12,1,1,0,1,-458,0.0311591
187,1999.55555555665,1,48,1,91,0,3,3,88,3,5,1,0,0,0,-200,0.0066324
188,2019.60000000111,1,49,1,93,2,5,3,90,5,11,1,2,0,2,-391,0.0740386
189,2029.64444444556,1,49,1,91,0,4,4,87,4,7,1,0,0,0,-280,0.0034209
190,2039.68888889001,1,49,1,92,1,5,4,88,5,10,1,1,0,1,-389,0.0294819
191,2045.20000000113,1,49,1,92,0,5,5,87,5,7,1,0,0,0,-280,0.0059578
192,2049.7777777789,1,47,1,92,0,5,5,86,5,9,1,0,0,0,-360,0.0039695
193,2075.37777777879,1,51,1,94,1,6,5,88,6,12,1,1,0,1,-435,0.0330044
194,2079.95555555655,1,48,1,92,0,4,4,87,4,6,1,0,0,0,-240,0.005934
195,2095.51111111203,1,49,1,95,0,6,6,88,6,11,1,0,0,0,-440,0.005778
196,2110.13333333419,1,49,1,92,1,4,3,88,4,7,1,1,0,1,-248,0.0329561
197,2140.31111111184,1,50,1,92,1,5,4,87,5,9,1,1,0,1,-339,0.0329711
198,2155.82222222288,1,52,1,92,1,5,4,87,5,11,1,1,0,1,-426,0.0298653
199,2170.48888888949,1,51,1,92,1,5,4,87,5,11,1,1,0,1,-420,0.0275724
200,2180.57777777833,1,51,1,92,0,5,5,85,5,10,1,0,0,0,-400,0.0029688
201,2186.00000000053,1,51,1,91,0,4,4,85,4,11,1,0,0,0,-440,0.0040021
202,2196.08888888938,1,51,1,92,1,5,4,86,5,14,1,1,0,1,-504,0.0319665
203,2206.17777777822,1,50,1,90,0,4,4,84,4,12,1,0,0,0,-480,0.0030213
204,2216.26666666707,1,51,1,90,2,5,3,85,5,17,1,2,0,2,-629,0.0565578
205,2220.80000000038,1,49,1,89,0,4,4,83,4,7,1,0,0,0,-280,0.0041454
206,2226.35555555591,1,50,1,92,1,6,5,85,6,18,1,1,0,1,-702,0.0305383
207,2230.88888888923,1,48,1,89,0,3,3,84,3,4,1,0,0,0,-160,0.0026869
208,2236.44444444476,1,48,1,91,0,5,5,84,5,8,1,0,0,0,-320,0.0029693
209,2240.97777777807,1,46,1,89,0,3,3,84,3,3,1,0,0,0,-120,0.0029689
210,2246.5333333336,1,47,1,92,2,6,4,86,6,15,1,2,0,2,-544,0.0495446
211,2260.93333333354,1,47,1,93,1,7,6,85,7,17,1,1,0,1,-654,0.0295117
212,2261.11111111132,1,45,1,88,0,2,2,84,2,2,1,0,0,0,-80,0.0029951
213,2271.02222222239,1,45,1,93,1,7,6,85,7,14,1,1,0,1,-516,0.0259709
214,2271.20000000016,1,43,1,88,0,2,2,84,2,1,1,0,0,0,-40,0.002968
215,2291.33333333341,1,43,1,88,1,2,1,85,2,4,1,1,0,1,-143,0.0157793
216,2301.42222222226,1,44,1,91,1,3,2,87,3,6,1,1,0,1,-202,0.0182864
217,2311.5111111111,1,44,1,91,0,3,3,86,3,5,1,0,0,0,-200,0.0029918
218,2321.59999999995,1,44,1,91,0,3,3,86,3,4,1,0,0,0,-160,0.0029309
219,2331.68888888879,1,44,1,92,0,3,3,87,3,3,1,0,0,0,-120,0.0029687
220,2341.77777777764,1,44,1,91,0,2,2,87,2,2,1,0,0,0,-80,0.0030013
221,2371.95555555528,1,46,1,94,3,5,2,90,4,8,1,2,0,3,-223,0.3315901
222,2382.04444444413,1,46,1,94,1,5,4,88,5,7,1,1,0,1,-253,0.0210006
223,2384.88888888856,1,45,1,94,1,5,4,88,5,8,1,1,0,1,-296,0.0216104
224,2392.13333333297,1,45,1,92,0,4,4,86,4,5,1,0,0,0,-200,0.0034107
225,2402.22222222182,1,45,1,95,2,6,4,89,6,8,1,2,0,2,-272,0.1014213
226,2412.31111111067,1,45,1,95,0,6,6,87,6,8,1,0,0,0,-320,0.004051
227,2425.11111111061,1,44,1,91,0,3,3,86,3,4,1,0,0,0,-160,0.0030005
228,2435.19999999946,1,44,1,92,1,3,2,89,3,7,1,1,0,1,-246,0.0209693
229,2442.48888888831,1,45,1,95,0,6,6,88,6,7,1,0,0,0,-280,0.0036336
230,2445.2888888883,1,43,1,93,1,4,3,89,4,9,1,1,0,1,-340,0.0250156
231,2455.37777777715,1,43,1,93,0,4,4,87,4,8,1,0,0,0,-320,0.0040153
232,2465.46666666599,1,43,1,93,1,5,4,87,5,10,1,1,0,1,-363,0.0219375
233,2472.66666666596,1,42,1,92,0,4,4,86,4,4,1,0,0,0,-160,0.0039792
234,2485.59999999924,1,42,1,93,1,5,4,87,5,8,1,1,0,1,-302,0.0179211
235,2495.68888888808,1,41,1,94,1,6,5,87,6,9,1,1,0,1,-330,0.0218945
236,2502.84444444361,1,41,1,92,1,4,3,87,4,6,1,1,0,1,-221,0.0175069
237,2515.82222222133,1,40,1,94,0,6,6,86,6,8,1,0,0,0,-320,0.002976
238,2522.97777777685,1,40,1,91,0,4,4,86,4,5,1,0,0,0,-200,0.0032787
239,2533.0666666657,1,39,1,91,0,4,4,86,4,4,1,0,0,0,-160,0.0029021
240,2535.95555555458,1,39,1,92,0,5,5,86,5,6,1,0,0,0,-240,0.0034665
241,2550.35555555451,1,39,1,92,0,5,5,86,5,5,1,0,0,0,-200,0.0029922
242,2583.33333333215,1,42,1,93,2,5,3,89,5,8,1,2,0,2,-272,0.0530081
243,2630.75555555417,1,44,1,94,1,5,4,89,5,7,1,1,0,1,-237,0.0243243
244,2653.6888888874,1,44,1,93,1,5,4,88,5,10,1,1,0,1,-380,0.0206905
245,2660.93333333181,1,43,1,91,0,4,4,86,4,5,1,0,0,0,-200,0.0029945
246,2663.77777777625,1,43,1,92,0,5,5,87,5,8,1,0,0,0,-320,0.0040493
247,2681.06666666506,1,43,1,92,1,5,4,88,5,7,1,1,0,1,-255,0.0210764
248,2683.91111110949,1,42,1,90,0,4,4,86,4,6,1,0,0,0,-240,0.0029701
249,2691.15555555391,1,42,1,91,1,5,4,87,5,8,1,1,0,1,-296,0.0189817
250,2693.99999999834,1,41,1,90,0,4,4,86,4,5,1,0,0,0,-200,0.0030065
251,2701.24444444275,1,42,1,91,1,5,4,86,5,9,1,1,0,1,-336,0.0168714
252,2704.08888888718,1,41,1,88,0,3,3,84,3,2,1,0,0,0,-80,0.0029697
253,2721.377777776,1,41,1,92,2,6,4,87,6,12,1,2,0,2,-416,0.0459685
254,2734.26666666483,1,39,1,89,1,3,2,86,3,2,1,1,0,1,-65,0.0149722
255,2741.51111110924,1,40,1,93,1,7,6,85,7,13,1,1,0,1,-507,0.0151869
256,2744.35555555368,1,36,1,89,0,3,3,84,3,1,1,0,0,0,-40,0.002926
257,2751.59999999809,1,39,1,93,0,6,6,84,6,7,1,0,0,0,-280,0.0029705
258,2764.48888888692,1,38,1,91,1,4,3,85,4,2,1,1,0,1,-54,0.0149739
259,2771.73333333133,1,44,1,92,0,5,5,85,5,6,1,0,0,0,-240,0.0043421
260,2804.71111110897,1,43,1,92,2,5,3,89,5,7,1,2,0,2,-235,0.1024878
261,2811.95555555338,1,48,1,91,0,4,4,87,4,2,1,0,0,0,-80,0.0029706
262,2814.79999999782,1,43,1,93,1,6,5,88,6,8,1,1,0,1,-298,0.0209652
263,2824.88888888666,1,42,1,93,0,6,6,87,6,7,1,0,0,0,-280,0.0029706
264,2832.08888888663,1,44,1,90,0,4,4,86,4,1,1,0,0,0,-40,0.0029237
265,2862.26666666428,1,43,1,89,1,3,2,87,3,3,1,1,0,1,-96,0.0153748
266,2865.37777777537,1,42,1,91,0,5,5,86,5,5,1,0,0,0,-200,0.0029699
267,2875.46666666422,1,43,1,90,2,6,4,85,6,9,1,2,0,2,-310,0.1804842
268,2885.55555555307,1,43,1,91,1,7,6,84,7,11,1,1,0,1,-416,0.0242456
269,2902.48888888633,1,45,1,88,1,3,2,86,3,4,1,1,0,1,-144,0.01597
270,2922.62222221957,1,46,1,88,0,3,3,85,3,3,1,0,0,0,-120,0.0029941
271,2942.75555555282,1,46,1,90,1,4,3,87,4,5,1,1,0,1,-153,0.0169711
272,2952.84444444166,1,46,1,90,0,4,4,86,4,4,1,0,0,0,-160,0.0039987
273,2972.97777777491,1,47,1,89,0,3,3,86,3,3,1,0,0,0,-120,0.0049718
274,2975.99999999712,1,47,1,93,1,7,6,87,7,11,1,1,0,1,-400,0.0283308
275,2983.06666666376,1,42,1,88,0,3,3,83,3,2,1,0,0,0,-80,0.0039993
276,3003.199999997,1,43,1,89,1,3,2,85,3,4,1,1,0,1,-125,0.0144751
277,3013.28888888585,1,43,1,90,1,4,3,85,4,5,1,1,0,1,-165,0.0159724
278,3016.22222221917,1,41,1,91,0,5,5,86,5,5,1,0,0,0,-200,0.0039133
279,3023.37777777469,1,42,1,90,0,4,4,84,4,3,1,0,0,0,-120,0.002841
280,3026.31111110801,1,40,1,91,1,6,5,86,6,6,1,1,0,1,-219,0.0239665
281,3043.51111110794,1,42,1,88,1,4,3,83,4,5,1,1,0,1,-160,0.0203769
282,3056.48888888566,1,41,1,92,0,6,6,86,6,5,1,0,0,0,-200,0.0039692
283,3063.64444444118,1,42,1,90,0,4,4,85,4,4,1,0,0,0,-160,0.0030337
284,3066.57777777451,1,41,1,91,0,5,5,86,5,2,1,0,0,0,-80,0.0039983
285,3093.82222221883,1,43,1,91,2,5,3,87,5,8,1,2,0,2,-269,0.1270705
286,3096.75555555215,1,41,1,89,0,3,3,86,3,1,1,0,0,0,-40,0.0030021
287,3113.95555555208,1,43,1,93,2,7,5,87,7,15,1,2,0,2,-539,0.0395496
288,3124.04444444092,1,44,1,93,0,6,6,86,6,13,1,0,0,0,-520,0.0029672
289,3126.9333333298,1,40,1,90,0,3,3,87,3,0,0,0,1,0,1000,0.0030148
290,3133.46666666311,1,41,1,91,1,4,3,88,4,3,1,1,0,1,-100,0.0189987
291,3134.13333332977,1,43,1,93,0,6,6,86,6,12,1,0,0,0,-480,0.0029999
292,3174.35555555182,1,45,1,93,1,6,5,87,6,12,1,1,0,1,-463,0.0225414
293,3177.19999999625,1,43,1,90,1,4,3,87,4,4,1,1,0,1,-144,0.0209699
294,3184.44444444066,1,44,1,91,0,5,5,85,5,10,1,0,0,0,-400,0.0028659
295,3197.3333333295,1,41,1,89,1,4,3,85,4,5,1,1,0,1,-163,0.0169769
