decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
12,122.844444444453,1,False,31,True,False,ExtractTask,True,False,3
12,122.844444444453,10,False,91,True,False,ExtractTask,True,False,2
12,122.844444444453,11,True,-1,False,False,RestTask,True,True,-1
12,122.844444444453,3,False,46,True,False,ExtractTask,False,False,2
12,122.844444444453,5,True,-1,False,False,RestTask,True,True,-1
12,122.844444444453,4,True,-1,False,False,RestTask,True,True,-1
12,122.844444444453,12,False,27,True,False,ExtractTask,True,False,3
12,122.844444444453,13,True,-1,False,False,RestTask,True,True,-1
12,122.844444444453,14,True,-1,False,False,RestTask,True,True,-1
12,122.844444444453,7,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,1,False,31,True,False,ExtractTask,True,False,3
13,126.666666666676,10,False,91,True,False,ExtractTask,True,False,2
13,126.666666666676,11,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,3,False,46,True,False,ExtractTask,False,False,2
13,126.666666666676,5,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,4,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,12,False,27,True,False,ExtractTask,True,False,3
13,126.666666666676,13,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,14,True,-1,False,False,RestTask,True,True,-1
13,126.666666666676,7,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,1,False,31,True,False,ExtractTask,True,False,3
14,132.888888888899,10,False,91,True,False,ExtractTask,True,False,2
14,132.888888888899,11,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,3,False,46,True,False,ExtractTask,False,False,2
14,132.888888888899,5,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,4,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,12,False,27,True,False,ExtractTask,True,False,2
14,132.888888888899,13,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,14,True,-1,False,False,RestTask,True,True,-1
14,132.888888888899,7,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,1,False,31,True,False,ExtractTask,True,False,3
15,136.711111111122,10,False,91,True,False,ExtractTask,True,False,1
15,136.711111111122,11,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,3,False,46,True,False,ExtractTask,False,False,2
15,136.711111111122,5,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,4,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,12,False,27,True,False,ExtractTask,True,False,2
15,136.711111111122,13,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,14,True,-1,False,False,RestTask,True,True,-1
15,136.711111111122,7,True,-1,False,False,RestTask,True,True,-1
16,152.933333333347,1,False,31,True,False,ExtractTask,True,False,3
16,152.933333333347,10,False,91,True,False,ExtractTask,True,False,1
16,152.933333333347,11,True,-1,False,False,RestTask,True,True,-1
16,152.933333333347,3,False,46,True,False,ExtractTask,True,False,2
16,152.933333333347,5,False,58,True,False,ExtractTask,False,False,3
16,152.933333333347,4,True,-1,False,False,RestTask,True,True,-1
16,152.933333333347,12,False,27,True,False,ExtractTask,True,False,2
16,152.933333333347,13,True,-1,False,False,RestTask,True,True,-1
16,152.933333333347,14,True,-1,False,False,RestTask,True,True,-1
16,152.933333333347,7,True,-1,False,False,RestTask,True,True,-1
17,156.75555555557,1,False,31,True,False,ExtractTask,True,False,3
17,156.75555555557,10,False,91,True,False,ParkPodTask,False,False,0
17,156.75555555557,11,True,-1,False,False,RestTask,True,True,-1
17,156.75555555557,3,False,46,True,False,ExtractTask,True,False,2
17,156.75555555557,5,False,58,True,False,ExtractTask,False,False,3
17,156.75555555557,4,True,-1,False,False,RestTask,True,True,-1
17,156.75555555557,12,False,27,True,False,ExtractTask,True,False,2
17,156.75555555557,13,True,-1,False,False,RestTask,True,True,-1
17,156.75555555557,14,True,-1,False,False,RestTask,True,True,-1
17,156.75555555557,7,True,-1,False,False,RestTask,True,True,-1
18,172.977777777795,1,False,31,True,False,ExtractTask,True,False,3
18,172.977777777795,10,True,-1,False,False,RestTask,False,True,-1
