#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1559.97;84;250;3;6;0/1084.14,1/1181.98,2/1103.31;0/64.64,1/129.77,2/103.91,3/118.86,4/71.38,5/89.07;0/1559.97,1/1559.97,2/1559.97;0/1559.97,1/1559.97,2/1559.97,3/1559.97,4/1559.97,5/1559.97;0/0,1/0,2/0;0/21,1/20,2/17,3/23,4/19,5/17;0/0,1/0,2/0;0/33,1/34,2/39,3/33,4/36,5/38;0/7,1/0,2/0;0/6,1/6,2/7,3/6,4/6,5/7;0/31,1/23,2/30;0/35,1/44,2/42,3/50,4/36,5/43;0/48,1/38,2/46;0/151,1/145,2/147,3/146,4/150,5/149
1619.59;84;258;3;6;0/1143.76,1/1241.6,2/1162.94;0/65.33,1/130.17,2/104.6,3/119.57,4/72.25,5/89.71;0/1619.59,1/1619.59,2/1619.59;0/1619.59,1/1619.59,2/1619.59,3/1619.59,4/1619.59,5/1619.59;0/0,1/0,2/0;0/21,1/19,2/11,3/22,4/17,5/16;0/0,1/0,2/0;0/32,1/35,2/36,3/34,4/33,5/36;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/36,1/45,2/43,3/52,4/37,5/45;0/48,1/38,2/46;0/157,1/151,2/153,3/152,4/156,5/155
1679.89;84;270;3;6;0/1204.06,1/1301.9,2/1223.23;0/66.77,1/130.55,2/105.67,3/119.96,4/72.89,5/90.38;0/1679.89,1/1679.89,2/1679.89;0/1679.89,1/1679.89,2/1679.89,3/1679.89,4/1679.89,5/1679.89;0/0,1/0,2/0;0/24,1/16,2/11,3/18,4/17,5/16;0/0,1/0,2/0;0/36,1/35,2/35,3/32,4/32,5/40;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/40,1/47,2/44,3/54,4/39,5/46;0/48,1/38,2/46;0/163,1/157,2/159,3/158,4/162,5/161
1739.96;84;279;3;6;0/1264.13,1/1361.97,2/1283.3;0/67.11,1/130.99,2/106.62,3/120.81,4/74.27,5/91.28;0/1739.96,1/1739.96,2/1739.96;0/1739.96,1/1739.96,2/1739.96,3/1739.96,4/1739.96,5/1739.96;0/0,1/0,2/0;0/19,1/16,2/11,3/18,4/14,5/17;0/0,1/0,2/0;0/30,1/29,2/36,3/30,4/37,5/37;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/41,1/48,2/45,3/57,4/42,5/46;0/48,1/38,2/46;0/169,1/163,2/165,3/164,4/168,5/167
1799.97;84;291;3;6;0/1324.13,1/1421.98,2/1343.31;0/67.81,1/137.98,2/107.41,3/122.22,4/74.77,5/96.94;0/1799.97,1/1799.97,2/1799.97;0/1799.97,1/1799.97,2/1799.97,3/1799.97,4/1799.97,5/1799.97;0/0,1/0,2/0;0/18,1/15,2/11,3/20,4/15,5/18;0/0,1/0,2/0;0/32,1/29,2/33,3/36,4/38,5/41;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/44,1/50,2/46,3/59,4/43,5/49;0/48,1/38,2/46;0/175,1/168,2/171,3/170,4/174,5/172
1859.93;84;303;3;6;0/1384.09,1/1481.93,2/1403.27;0/69.12,1/143.13,2/107.97,3/122.62,4/75.52,5/97.32;0/1859.93,1/1859.93,2/1859.93;0/1859.93,1/1859.93,2/1859.93,3/1859.93,4/1859.93,5/1859.93;0/0,1/0,2/0;0/26,1/17,2/10,3/20,4/14,5/17;0/0,1/0,2/0;0/41,1/30,2/31,3/33,4/32,5/39;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/46,1/53,2/47,3/61,4/45,5/51;0/48,1/38,2/46;0/181,1/174,2/177,3/176,4/180,5/178
1919.94;84;309;3;6;0/1444.11,1/1541.95,2/1463.28;0/69.71,1/143.91,2/108.71,3/123.45,4/75.94,5/97.82;0/1919.94,1/1919.94,2/1919.94;0/1919.94,1/1919.94,2/1919.94,3/1919.94,4/1919.94,5/1919.94;0/0,1/0,2/0;0/26,1/16,2/11,3/24,4/11,5/17;0/0,1/0,2/0;0/35,1/28,2/31,3/37,4/31,5/33;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/47,1/53,2/48,3/62,4/47,5/52;0/48,1/38,2/46;0/187,1/180,2/183,3/181,4/186,5/184
1979.99;84;319;3;6;0/1504.16,1/1602,2/1523.33;0/71.92,1/144.73,2/109.48,3/151.28,4/76.67,5/98.69;0/1979.99,1/1979.99,2/1979.99;0/1979.99,1/1979.99,2/1979.99,3/1979.99,4/1979.99,5/1979.99;0/0,1/0,2/0;0/25,1/18,2/11,3/21,4/11,5/18;0/0,1/0,2/0;0/38,1/31,2/29,3/36,4/29,5/32;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/50,1/55,2/49,3/64,4/48,5/53;0/48,1/38,2/46;0/193,1/185,2/189,3/185,4/192,5/190
2039.99;84;331;3;6;0/1564.15,1/1661.99,2/1583.33;0/72.53,1/145.26,2/109.89,3/151.87,4/77.39,5/106.23;0/2039.99,1/2039.99,2/2039.99;0/2039.99,1/2039.99,2/2039.99,3/2039.99,4/2039.99,5/2039.99;0/0,1/0,2/0;0/18,1/17,2/10,3/21,4/12,5/18;0/0,1/0,2/0;0/35,1/29,2/26,3/34,4/31,5/37;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/53,1/57,2/51,3/65,4/50,5/55;0/48,1/38,2/46;0/199,1/191,2/195,3/191,4/198,5/195
2099.93;84;340;3;6;0/1624.09,1/1721.93,2/1643.27;0/72.98,1/147.49,2/127.82,3/155.83,4/77.96,5/108.73;0/2099.93,1/2099.93,2/2099.93;0/2099.93,1/2099.93,2/2099.93,3/2099.93,4/2099.93,5/2099.93;0/0,1/0,2/0;0/17,1/17,2/11,3/21,4/12,5/17;0/0,1/0,2/0;0/29,1/34,2/34,3/34,4/31,5/34;0/0,1/0,2/0;0/7,1/7,2/8,3/7,4/8,5/8;0/31,1/23,2/30;0/54,1/59,2/53,3/67,4/51,5/56;0/48,1/38,2/46;0/205,1/197,2/199,3/196,4/204,5/201
