decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
30,256.977777777807,1,109,1,88,2,6,10,14,0.05,0.01,19,2,8,2,0,5,-61.4071428571429,0.0565154,0,15,5,0,25,0,1
31,263.244444444471,1,108,1,88,2,6,10,13.8709677419355,0.05,0.01,12,1,4,1,0,2,-31.62,0.0831252,0,15,2,0,14,0,0
32,277.111111111131,1,108,1,88,2,6,10,13.75,0.05,0.01,17,1,6,1,0,2,-35.3587096774194,0.0776028,0,15,2,0,20,0,0
33,283.377777777794,1,108,1,87,2,6,10,13.6363636363636,0.05,0.01,11,1,3,1,0,1,-30.135,0.0645371,0,15,1,0,12,0,0
34,293.466666666678,1,108,1,87,2,6,10,13.5294117647059,0.05,0.01,10,1,2,1,0,1,-28.8281818181818,0.070581,0,15,1,0,11,0,0
35,297.244444444454,1,108,1,87,2,6,10,13.4285714285714,0.05,0.01,16,1,5,1,0,1,-33.7452941176471,0.0785767,0,15,1,0,18,0,0
36,303.555555555562,1,108,1,87,1,6,10,13.7142857142857,0.05,0.01,9,1,1,0,0,2,-44.6914285714286,0.1025442,0,15,2,0,10,0,1
37,307.333333333338,1,109,1,88,1,7,10,14,0.05,0.01,15,1,4,0,0,2,-49.7628571428571,0.0965127,0,15,2,0,17,0,1
38,313.644444444446,1,110,1,88,1,8,13.9657363707357,19.7847931918756,0.1,0.0139657363707357,12,2,3,1,1,3,-43.43,0.110152,0,15,2,1,8,0,0
39,317.422222222222,1,110,1,87,1,7,13.3347619455875,19.4615444611277,0.101307189542484,0.0133347619455875,58,3,30,1,4,5,-103.660467471515,0.2993309,0,12.2046973739275,2,3,15,0,0
40,323.73333333333,1,110,1,86,2,5,12.8850677222982,19.3276015834473,0.0970149253731343,0.0128850677222982,61,3,31,1,5,3,-79.7554348494899,0.2696474,0,12.2408143361833,1,2,10,0,0
41,343.866666666654,1,110,1,85,4,3,14.1432657852056,21.3962225981316,0.0930232558139535,0.0141432657852056,59,2,30,1,3,2,-143.1684208054,0.1505738,0,13.0383231457365,2,0,33,0,0
42,347.599999999986,1,110,1,85,3,3,13.7746021256469,21.3506332947528,0.0886075949367089,0.0137746021256469,49,3,25,1,2,3,-131.933997737226,0.1411216,0,13.1388512583094,2,1,37,0,0
43,353.955555555538,1,110,1,84,4,2,13.7674779541446,21.1549051490514,0.0870083432657926,0.0137674779541446,51,1,26,1,2,1,-113.856033406716,0.1105116,0,13.1416835016835,1,0,30,0,0
44,364.044444444422,1,110,1,84,4,2,13.4643856837606,20.8377397486771,0.0831460674157303,0.0134643856837606,51,2,26,1,2,3,-107.139643868132,0.1265493,0,12.8703686683006,3,0,30,0,0
45,367.733333333309,1,110,1,84,4,2,13.1766998341625,20.5311369509043,0.0807651434643996,0.0131766998341625,40,2,21,1,1,4,-133.466334673979,0.0935423,0,12.794766505636,3,1,45,0,0
46,384.177777777746,1,110,1,84,4,1,13.3503512504538,20.6323610234286,0.0795107033639144,0.0133503512504538,37,1,19,1,1,1,-97.2838155814043,0.1264976,0,12.608665069873,1,0,27,0,0
47,387.866666666633,1,110,1,84,5,1,13.0832565035272,20.3517323388202,0.0776031434184676,0.0130832565035272,37,2,19,1,0,2,-125.978192741667,0.1447011,0,12.5455884280398,2,0,48,0,0
48,397.955555555517,1,110,1,84,5,1,12.943661971831,19.9782608695652,0.0767772511848341,0.012943661971831,35,1,18,1,0,1,-106.743782298954,0.1556145,0,12.2533333333333,1,0,46,0,1
49,418.08888888884,1,109,1,84,5,1,12.5890410958904,19.5531914893617,0.0752293577981651,0.0125890410958904,34,2,17,1,0,3,-101.111431647724,0.1150526,0,11.6329113924051,3,0,45,0,1
50,434.444444444388,1,108,1,84,4,1,12.0921052631579,19.1458333333333,0.0747330960854092,0.0120921052631579,34,3,16,1,1,4,-78.2477704966214,0.1300614,0,11.2073170731707,3,1,24,0,0
51,444.533333333272,1,108,1,83,4,0,11.9072636217948,18.9544196428571,0.0751295336787565,0.0119072636217948,29,2,15,1,0,3,-88.9685296475957,0.0060004,0,11.0567447916666,3,0,34,0,0
52,454.622222222156,1,108,1,83,3,1,11.9515269097221,19.1224430555554,0.0749789385004212,0.0119515269097221,22,2,13,1,0,2,-79.9914623286658,0.108541,0,11.1176994509043,2,0,27,0,0
53,474.75555555548,1,108,1,84,3,2,12.081642325091,19.4253856991659,0.0752688172043011,0.012081642325091,20,2,12,1,0,2,-77.7889726979436,0.0659733,0,11.0077185628607,2,0,25,0,0
54,498.488888888802,1,108,1,84,4,2,12.0901955191799,19.5303158386752,0.0756712774613507,0.0120901955191799,36,2,20,1,1,3,-92.9058522747226,0.088575,0,10.6902781432748,3,0,34,0,0
55,524.977777777694,1,108,1,87,2,4,12.5123627450981,20.066996855346,0.075098814229249,0.0125123627450981,16,1,10,1,0,2,-82.4972078150656,0.0905903,0,10.6355083333334,2,0,23,0,0
56,535.022222222147,1,108,1,88,2,5,12.4874288957077,19.8873867598308,0.0749414519906323,0.0124874288957077,15,1,9,1,0,2,-79.3832444091021,0.0834671,0,10.5286165199104,2,0,21,0,0
57,538.577777777705,1,108,1,88,3,5,12.3747605363985,19.5746212121213,0.0748456790123457,0.0123747605363985,36,1,22,1,2,3,-93.9809182207718,0.0875078,0,10.4524676375405,3,0,24,0,0
58,588.622222222189,1,108,1,88,2,5,12.4008049242425,19.4869791666668,0.0735735735735736,0.0124008049242425,19,1,10,1,1,3,-77.1436570632402,0.0875785,0,9.65726401179947,3,0,15,0,0
59,595.066666666639,1,108,1,89,2,6,12.3033707865168,19.2105263157895,0.073279052553664,0.0123033707865168,14,1,8,1,0,2,-73.1159557115232,0.0975437,0,9.60526315789473,2,0,20,0,0
60,598.666666666642,1,108,1,89,2,6,12.1852314814815,18.908117816092,0.0732600732600733,0.0121852314814815,18,1,7,1,1,1,-52.9139059730724,0.158129,0,9.53626811594205,1,0,11,0,0
61,608.711111111094,1,108,1,89,2,6,12,18.7118644067796,0.0730296456977585,0.012,13,2,4,1,1,2,-45.6167275471447,0.155573,0,9.43589743589743,1,1,10,0,0
62,615.111111111099,1,108,1,88,2,5,11.8924731182796,18.4333333333333,0.0737822349570201,0.0118924731182796,19,1,10,1,1,1,-59.566177417107,0.0975502,0,9.37288135593219,1,0,18,0,0
63,628.755555555555,1,108,1,88,3,5,11.8523207660231,18.2642320001012,0.0734982332155477,0.0118523207660231,11,1,3,1,0,2,-42.1068000048608,0.1130593,0,9.20758803310886,2,0,14,0,0
64,635.15555555556,1,108,1,88,2,5,11.7473684210526,18,0.073632538569425,0.0117473684210526,19,1,10,1,1,1,-58.1862858312733,0.0930305,0,9.14754098360655,1,0,17,0,0
65,645.200000000012,1,108,1,88,2,5,11.625,17.7142857142857,0.073356401384083,0.011625,18,1,9,1,1,2,-45.9838443999271,0.1274746,0,8.99999999999999,2,0,16,0,0
66,655.244444444465,1,108,1,88,1,5,11.4592706364953,17.5470081621335,0.0731373889268626,0.0114592706364953,16,2,8,1,1,5,-62.296651211608,0.1100675,0,8.91276605060748,3,2,13,0,0
67,658.800000000023,1,108,1,88,3,5,11.3690235690236,17.3158974358975,0.0736984448951995,0.0113690235690236,18,1,7,1,1,1,-38.2488406515481,0.100497,0,8.86246719160107,1,0,12,0,0
68,665.288888888917,1,108,1,88,2,5,11.3222253472223,17.1548868897307,0.0734802939211757,0.0113222253472223,14,1,7,1,0,1,-56.3166926534939,0.0965744,0,8.84548855251739,1,0,17,0,0
69,668.844444444475,1,108,1,88,3,5,11.2473682923848,16.9549880228487,0.0734612839179351,0.0112473682923848,18,1,7,1,1,1,-37.3561710059968,0.0936055,0,8.80607905062685,1,0,11,0,0
70,685.333333333377,1,108,1,88,2,5,11.2706124046841,16.9059186070261,0.0732504905166776,0.0112706124046841,13,1,6,1,0,1,-53.5502128597365,0.0955746,0,8.70910958543771,1,0,16,0,0
71,688.888888888936,1,108,1,89,2,6,11.0576923076923,16.6666666666667,0.0732814526588846,0.0110576923076923,12,2,3,1,1,3,-43.8819863183173,0.1086034,0,8.64661654135338,2,1,9,0,0
72,695.37777777783,1,108,1,88,2,5,11.0044704952969,16.5067057429453,0.074002574002574,0.0110044704952969,12,1,5,1,0,1,-50.4912857375135,0.0885746,0,8.6229059851207,1,0,15,0,0
73,705.422222222282,1,108,1,88,2,5,10.9767688679246,16.3878521126761,0.0740740740740741,0.0109767688679246,11,1,4,1,0,1,-48.1719251794794,0.0865738,0,8.55542279411767,1,0,14,0,0
74,708.933333333396,1,108,1,88,3,5,10.8222608024692,16.2333912037038,0.0741915028535193,0.0108222608024692,14,2,5,1,1,2,-43.2391940456284,0.0925145,0,8.53141727493923,1,1,14,0,0
75,718.977777777849,1,108,1,88,4,4,10.7911560978027,16.1128221186369,0.0747957259585167,0.0107911560978027,13,1,4,1,0,2,-40.6904634058282,0.0990551,0,8.46212960187407,2,0,17,0,0
76,725.466666666743,1,108,1,88,2,4,10.7260331088664,15.9441032699366,0.0748129675810474,0.0107260331088664,10,1,3,1,0,1,-45.1319804680523,0.0866029,0,8.42759744268078,1,0,13,0,0
77,729.022222222301,1,108,1,88,4,4,10.6478110915858,15.7587604155469,0.0749690210656753,0.0106478110915858,13,1,4,1,0,1,-48.3676960323242,0.0805523,0,8.38231936997177,1,0,16,0,0
78,765.511111111219,1,108,1,89,2,4,10.6218934634039,15.8620275720165,0.0749846342962508,0.0106218934634039,9,1,2,0,0,2,-35.6234515913849,0.1045134,0,8.03818964798134,2,0,12,0,1
79,769.066666666777,1,108,1,89,3,4,10.5625718685131,15.9142749485597,0.0751833740831296,0.0105625718685131,9,1,3,0,0,2,-36.6985050232792,0.1035146,0,8.01054108148977,2,0,12,0,1
80,775.555555555671,1,109,1,89,2,5,10.491645041423,15.7374675621345,0.0753799392097264,0.010491645041423,8,1,2,1,0,1,-33.3294912101378,0.0742293,0,7.97365023148148,1,0,10,0,0
81,779.11111111123,1,109,1,89,3,5,10.3506106321839,15.5931277056278,0.0756200846944949,0.0103506106321839,14,2,6,1,1,2,-39.4144600475214,0.0679998,0,7.95146247240621,1,1,10,0,0
82,785.600000000124,1,109,1,88,2,4,10.2735042735043,15.4102564102564,0.0761847630473905,0.0102735042735043,7,1,1,1,0,1,-30.7194112577843,0.0726134,0,7.9078947368421,1,0,9,0,0
83,795.644444444576,1,109,1,88,2,4,10.1720238095238,15.3224156118144,0.0764635603345281,0.0101720238095238,14,2,7,1,1,3,-23.9942820973946,0.1375217,0,7.86020021645024,1,2,8,0,0
84,799.15555555569,1,108,1,87,4,3,10.1,15.15,0.0770142180094787,0.0101,12,1,4,1,0,1,-37.7096158611744,0.0842777,0,7.81935483870967,1,0,17,0,0
85,805.688888889029,1,109,1,87,3,3,9.97531449225868,15.0245477537723,0.0770588235294118,0.00997531449225868,13,2,6,1,0,3,-49.9836212774035,0.0682791,0,7.80120748753564,3,0,21,0,0
86,819.200000000151,1,108,1,87,4,3,9.96568694618678,15.0700631869166,0.0776415645067134,0.00996568694618678,24,2,12,1,1,3,-36.1038210737498,0.0865584,0,7.77198227249787,1,2,15,0,0
87,825.733333333489,1,109,1,85,3,2,9.82602295830883,14.9166131656255,0.077720207253886,0.00982602295830884,11,2,6,1,0,2,-55.67678301131,0.077529,0,7.73799307966821,2,0,19,0,0
88,849.244444444619,1,108,1,85,4,4,10.0859652656266,15.2490189135068,0.0783752860411899,0.0100859652656266,21,1,11,1,0,2,-69.1760991049149,0.0679822,0,7.76313690142165,2,0,35,0,0
89,865.777777777965,1,109,1,85,2,4,10.21669921875,15.5683035714286,0.0780101752402487,0.01021669921875,9,1,6,0,0,3,-47.3936661073317,0.0645434,0,7.78415178571432,3,0,16,0,1
90,869.288888889079,1,109,1,85,4,4,10.1000320512821,15.4471078431374,0.078177727784027,0.0101000320512821,19,2,10,1,0,4,-60.8185847397149,0.0745359,0,7.76925542406317,4,0,30,0,0
91,875.822222222418,1,110,1,85,2,4,10.0737744145227,15.3449354453776,0.0784641068447412,0.0100737744145227,8,1,6,1,0,2,-37.3635595672763,0.0779701,0,7.76273204883806,2,0,13,0,0
92,885.86666666687,1,110,1,85,2,4,10.0443076599327,15.2396392081737,0.0786703601108033,0.0100443076599327,7,1,5,1,0,2,-35.1867904995814,0.0836452,0,7.70842215762276,2,0,11,0,0
93,889.33333333354,1,110,1,85,3,4,10.0197083275319,15.1434228132016,0.0789183222958057,0.0100197083275319,16,1,9,1,0,1,-54.7477857862972,0.0722775,0,7.70301276047247,1,0,23,0,0
94,899.377777777992,1,110,1,86,3,5,10.1016922332781,15.2092894298794,0.0787746170678337,0.0101016922332781,15,1,8,1,0,4,-45.3068841993667,0.0895036,0,7.7350100529101,4,0,22,0,0
95,909.422222222445,1,110,1,87,3,5,10.0740740740741,15.1111111111111,0.0786760716223549,0.0100740740740741,14,1,7,1,0,2,-43.0444420571822,0.0941185,0,7.68361581920904,2,0,18,0,0
96,915.911111111339,1,110,1,87,2,5,9.95366472920612,14.9851875593543,0.0786214324178783,0.00995366472920612,16,2,8,1,1,2,-32.1702212878129,0.1135687,0,7.66096667360246,1,1,9,0,0
97,919.466666666897,1,110,1,86,2,4,9.85806354916073,14.8942481884059,0.0790176187933796,0.00985806354916073,13,2,6,1,0,2,-57.3798850587683,0.070003,0,7.65514432029799,2,0,16,0,0
98,929.511111111349,1,110,1,87,2,5,9.88571428571428,14.8817204301075,0.0795334040296925,0.00988571428571428,11,1,5,1,0,1,-45.3615240428906,0.0645101,0,7.646408839779,1,0,14,0,0
99,945.955555555807,1,110,1,86,2,5,9.88918390637145,15.0441840277778,0.0795993674222456,0.00988918390637145,16,3,7,1,1,5,-62.645805170954,0.0805445,0,7.68561575332129,4,1,20,0,0
100,949.55555555581,1,110,1,86,1,5,9.85466309263547,14.9375945825211,0.0805018295870361,0.00985466309263548,8,1,4,1,0,2,-49.6191939811408,0.0765471,0,7.67065667751086,2,0,11,0,0
101,966.000000000267,1,110,1,87,3,6,9.96057112068969,15.0446126302084,0.0806871421134826,0.00996057112068969,14,1,7,1,0,2,-58.4981231405934,0.0615743,0,7.68235538563832,2,0,20,0,0
102,969.60000000027,1,110,1,87,1,6,9.94751712328772,14.9725515463918,0.0806201550387597,0.00994751712328772,7,1,3,1,0,1,-40.1233115998796,0.1005491,0,7.68432539682543,1,0,8,0,0
103,976.04444444472,1,110,1,87,3,6,9.90556565990594,14.8583484898589,0.0808444902162719,0.00990556565990594,13,1,6,1,0,2,-40.7484274465941,0.0675151,0,7.66377974740091,2,0,18,0,0
104,996.08888888918,1,110,1,87,3,6,9.85810810810811,14.7373737373737,0.0808184143222506,0.00985810810810811,12,1,5,1,0,2,-38.4690961254067,0.064002,0,7.52061855670103,2,0,16,0,0
105,1009.64444444475,1,110,1,87,1,6,9.79194630872483,14.59,0.0808337569903406,0.00979194630872483,6,1,2,1,0,1,-37.1870481874876,0.0905485,0,7.40609137055837,1,0,7,0,0
106,1016.13333333364,1,110,1,89,3,6,9.72666666666666,14.4455445544554,0.0810947795235682,0.00972666666666666,11,1,4,1,0,2,-35.8918059712154,0.0895713,0,7.36868686868687,2,0,14,0,0
107,1049.68888888922,1,110,1,89,1,6,9.66225165562914,14.3039215686274,0.0811491935483871,0.00966225165562914,5,1,1,1,0,1,-34.4562556821764,0.1035746,0,7.11707317073171,1,0,6,0,0
108,1069.73333333368,1,110,1,89,1,6,9.59868421052632,14.3039215686274,0.081447963800905,0.00959868421052631,4,1,0,0,0,2,-26.0042108162274,0.0935462,0,6.98086124401914,2,0,5,0,1
109,1076.17777777813,1,111,1,89,2,6,9.58216657084646,14.2337037411603,0.0817862518815855,0.00958216657084646,9,1,4,1,0,2,-47.8376984099825,0.0795416,0,6.98129278733099,2,0,12,0,0
110,1079.77777777814,1,111,1,89,1,6,9.48387096774193,14.1346153846154,0.0819180819180819,0.00948387096774193,11,2,6,1,1,2,-24.4358620515217,0.1469916,0,6.96682464454976,1,1,3,0,0
111,1086.22222222259,1,111,1,88,2,6,9.43558721114277,14.0185867136978,0.0824639841033284,0.00943558721114277,8,1,3,1,0,2,-45.3712725659826,0.0749832,0,6.94316794782204,2,0,10,0,0
112,1099.8222222226,1,111,1,88,2,6,9.48282908704887,14.0453223270441,0.082632360217714,0.00948282908704887,18,1,9,1,1,1,-34.5118553596333,0.1065482,0,6.92467054263568,1,0,8,0,0
113,1109.86666666705,1,111,1,88,2,6,9.48151197941085,14.0007373153917,0.0823933300637567,0.00948151197941085,17,1,8,1,1,1,-32.4144490114703,0.1066048,0,6.9035893674973,1,0,7,0,0
114,1116.26666666705,1,111,1,88,2,6,9.43396226415094,13.8888888888889,0.0821984435797665,0.00943396226415094,8,1,1,1,0,1,-35.8651448855591,0.0985426,0,6.88073394495413,1,0,9,0,0
115,1119.9111111115,1,111,1,88,2,6,9.375,13.7614678899083,0.0823643410852713,0.009375,17,1,7,1,1,1,-30.6283387345503,0.1305625,0,6.84931506849315,1,0,8,0,0
116,1129.95555555595,1,111,1,88,2,6,9.3167701863354,13.6363636363636,0.0821720326765978,0.0093167701863354,16,1,6,1,1,1,-28.3553239306923,0.1255232,0,6.78733031674208,1,0,7,0,0
117,1136.31111111151,1,111,1,88,2,6,9.25925925925926,13.6363636363636,0.0820219360991893,0.00925925925925926,7,1,0,0,0,2,-27.4339944134682,0.1460614,0,6.75675675675676,2,0,9,0,1
118,1150.00000000041,1,112,1,88,2,6,9.14634146341463,13.5135135135135,0.0822243346007605,0.00914634146341463,17,2,5,1,1,2,-23.0784108512245,0.1455812,0,6.66666666666667,1,1,6,0,0
119,1156.35555555597,1,112,1,88,2,5,9.0969696969697,13.4017857142857,0.0825082508250825,0.0090969696969697,5,1,1,1,0,3,-25.7230258027286,0.2566016,0,6.64159292035398,3,0,7,0,0
120,1176.40000000043,1,112,1,89,2,6,9.13255988023954,13.4967920353983,0.0827845719661336,0.00913255988023954,14,2,5,1,1,2,-20.8138993492699,0.248681,0,6.63103260869567,1,1,4,0,0
121,1180.04444444488,1,112,1,88,2,5,9.11556565990596,13.5523454058779,0.0831775700934579,0.00911556565990596,14,1,5,0,0,2,-37.9995107842533,0.0915156,0,6.62950229811342,2,0,20,0,1
122,1190.08888888933,1,113,1,88,2,5,9.11242603550296,13.5087719298246,0.0831012070566388,0.00911242603550296,14,1,6,1,0,1,-44.9791364408496,0.0781504,0,6.60944206008584,1,0,19,0,0
123,1196.4444444449,1,113,1,88,3,5,9.13016058336185,13.5350626191943,0.0830258302583026,0.00913016058336185,23,1,10,1,1,2,-35.4741834098888,0.1205165,0,6.59400486576133,2,0,15,1,0
124,1200.13333333379,1,113,2,88,5,5,9.040129751462,13.3263981681035,0.0826106800547695,0.009040129751462,25,2,9,2,0,4,-70.6726562815661,0.3287609,0,6.57813696808511,4,0,33,0,0
125,1206.48888888935,1,113,1,86,3,5,9.12701701874995,13.4544819845366,0.0825812274368231,0.00912701701874995,11,1,3,1,0,2,-32.3591309933948,0.1652354,0,6.61321995850103,2,0,13,1,0
126,1210.17777777824,1,113,2,86,5,5,9.111896810105,13.3589673571878,0.082622361921868,0.009111896810105,23,2,7,2,0,4,-67.2609828418864,0.2890763,0,6.65130020315681,4,0,29,0,1
127,1220.22222222269,1,112,1,86,2,5,9.27195227135667,13.5573083631602,0.0826666666666667,0.00927195227135667,11,1,3,1,0,2,-32.985988966444,0.1161164,0,6.75029161178268,2,0,14,0,0
128,1226.53333333381,1,112,1,86,3,5,9.37216885260014,13.6677462433752,0.0827067669172932,0.00937216885260014,21,1,8,1,1,1,-32.7893923565006,0.174581,0,6.8338731216876,1,0,11,0,0
129,1240.26666666715,1,112,1,87,2,6,9.5740039281706,13.9258238955209,0.0823838737949167,0.0095740039281706,11,1,3,1,0,1,-33.9263677266917,0.1425081,0,6.93425798912768,1,0,13,0,0
130,1246.57777777827,1,112,1,88,2,6,9.57161014769481,13.8866802962457,0.0824247710423027,0.00957161014769481,8,1,1,1,0,1,-29.1910091711317,0.2426343,0,6.94334014812287,1,0,9,0,0
131,1250.3111111116,1,112,1,88,1,6,9.45150462962968,13.831470189702,0.0825727944372012,0.00945150462962968,19,3,7,1,1,3,-41.3601656807442,0.121604,0,6.94396258503405,2,1,11,0,0
132,1260.35555555606,1,112,1,88,2,6,9.42945258445264,13.8400029868579,0.0831896551724138,0.00942945258445264,16,2,6,1,0,2,-49.9476519927164,0.0685397,0,6.94801769380721,2,0,20,0,0
133,1276.62222222274,1,112,1,90,1,6,9.64321693904751,14.1176695987655,0.0834760273972603,0.00964321693904751,15,1,6,1,1,1,-34.2678144498697,0.1290929,0,7.05883479938277,1,0,6,0,0
134,1280.40000000052,1,112,1,91,2,7,9.62910043025366,14.1740358333334,0.0833687792428754,0.00962910043025366,13,1,4,0,0,3,-45.2996368280356,0.0915286,0,7.0587827855246,3,0,17,0,1
135,1286.66666666719,1,113,1,91,1,7,9.68606419255288,14.2984757128162,0.0833333333333333,0.00968606419255288,13,2,5,1,1,4,-27.8144150652177,0.1701451,0,7.14923785640808,2,2,5,0,0
136,1300.44444444498,1,113,1,92,2,6,9.92507445781351,14.614086012686,0.0837189734960034,0.00992507445781351,11,1,4,1,0,1,-44.0502749068234,0.0619726,0,7.27838793572991,1,0,12,0,0
137,1306.71111111165,1,113,1,92,2,6,9.90030655051985,14.6957675359279,0.0837520938023451,0.00990030655051985,28,3,12,1,2,3,-37.3784404692371,0.1755532,0,7.34788376796395,1,2,14,0,0
138,1320.48888888944,1,113,1,91,2,4,10.0634049188805,14.9000801512107,0.084023178807947,0.0100634049188805,10,1,3,1,0,1,-42.737801242588,0.0635409,0,7.42127544210878,1,0,11,0,0
139,1326.75555555611,1,113,1,91,4,4,10.0145812271001,14.8678013602332,0.0840890354492993,0.0100145812271001,27,2,13,1,0,3,-71.6445954672898,0.076507,0,7.4339006801166,3,0,35,0,0
140,1330.53333333389,1,113,1,91,2,4,10.0126921654258,14.8279563365847,0.0839788014675907,0.0100126921654258,9,1,2,1,0,1,-33.0331513817464,0.0926146,0,7.44238421491417,1,0,10,0,0
141,1336.80000000056,1,113,1,91,4,4,10.003332979025,14.8534338173401,0.0840779853777417,0.010003332979025,25,2,11,1,0,3,-67.3376667125662,0.0895819,0,7.48340940415609,3,0,32,0,1
142,1346.84444444501,1,112,1,91,4,4,9.94753883355159,14.8091179627309,0.0840369923602734,0.00994753883355159,23,2,10,1,0,2,-64.0592925062636,0.0765099,0,7.46065412516369,2,0,29,0,0
143,1356.88888888947,1,112,1,91,4,4,9.94549673996916,14.8440249850286,0.0840637450199203,0.00994549673996916,19,2,10,1,0,6,-60.7793741711323,0.0780108,0,7.47781709772117,6,0,27,0,0
