decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
33,278.755555555574,1,86,1,89,2,6,10,15.8620689655172,0.05,0.01,7,1,4,1,0,2,-31.2613793103448,0.0415056,0,15,2,0,11,1,0
34,288.000000000014,1,87,1,90,2,6,10,15.6666666666667,0.05,0.01,8,1,4,1,0,2,-31.7613793103448,0.0770038,0,15,2,0,12,0,0
35,289.688888888902,1,86,1,90,2,6,10,15.4838709677419,0.05,0.01,7,1,4,1,0,1,-31.0266666666667,0.0475731,0,15,1,0,8,0,0
36,298.888888888898,1,85,1,89,2,6,10,15.8064516129032,0.05,0.01,7,1,3,0,0,1,-30.3325806451613,0.0785487,0,15,1,0,10,0,1
37,308.977777777782,1,86,1,90,2,6,8.88541666666656,13.8834635416665,0.215189873417722,0.00888541666666656,6,1,3,1,0,2,-29.9070967741935,0.0519994,0,15,2,0,9,0,1
38,309.822222222226,1,85,1,90,2,6,8.73602941176459,13.5011363636362,0.213991769547325,0.00873602941176459,62,1,34,1,6,1,-98.4799398780832,0.2160137,0,7.95602678571418,1,0,8,0,0
39,319.066666666666,1,85,1,90,2,6,8.75,13.7878787878788,0.173770491803279,0.00875,43,1,23,1,5,2,-53.550498524298,0.2772322,0,7.98245614035088,2,0,7,0,1
40,319.91111111111,1,84,1,90,2,6,8.58490566037736,13.7878787878788,0.155172413793103,0.00858490566037736,27,1,13,1,2,1,-48.5223341170324,0.1680545,0,7.8448275862069,1,0,7,0,1
41,329.15555555555,1,84,1,90,2,6,8.55554348136717,13.5882161174655,0.146666666666667,0.00855554348136717,29,1,14,1,3,2,-35.225364000665,0.1455825,0,7.83049742362419,2,0,5,0,0
42,339.244444444434,1,84,1,90,1,7,8.27771076998049,13.4808432539682,0.138613861386139,0.00827771076998049,34,3,18,1,4,3,-35.6281037411713,0.1450954,0,7.73491006375226,1,2,3,0,0
