Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
M4G fixed λ=11,6,0,0.2044,185.2,906
M4G fixed λ=11,6,1,0.3080,269.2,874
M4G fixed λ=11,6,2,0.3055,278.3,911
M4G fixed λ=11,6,3,0.3141,266.0,847
M4G fixed λ=11,6,4,0.2231,199.5,894
M4G fixed λ=11,6,5,0.2298,204.3,889
M4G fixed λ=11,6,6,0.2937,256.1,872
M4G fixed λ=11,6,7,0.2219,202.2,911
M4G fixed λ=11,6,8,0.2185,202.6,927
M4G fixed λ=11,6,9,0.2687,230.5,858
M4G fixed λ=15,6,0,0.1864,163.5,877
M4G fixed λ=15,6,1,0.2565,211.9,826
M4G fixed λ=15,6,2,0.2135,193.3,905
M4G fixed λ=15,6,3,0.1933,164.7,852
M4G fixed λ=15,6,4,0.1928,171.6,890
M4G fixed λ=15,6,5,0.1852,163.7,884
M4G fixed λ=15,6,6,0.1949,163.7,840
M4G fixed λ=15,6,7,0.2419,214.5,887
M4G fixed λ=15,6,8,0.2730,239.9,879
M4G fixed λ=15,6,9,0.2367,204.0,862
M4G fixed λ=20,6,0,0.1730,149.2,862
M4G fixed λ=20,6,1,0.1892,161.2,852
M4G fixed λ=20,6,2,0.2246,199.2,887
M4G fixed λ=20,6,3,0.1934,163.4,845
M4G fixed λ=20,6,4,0.2429,219.1,902
M4G fixed λ=20,6,5,0.2209,200.4,907
M4G fixed λ=20,6,6,0.1693,149.1,881
M4G fixed λ=20,6,7,0.1788,157.5,881
M4G fixed λ=20,6,8,0.2418,206.2,853
M4G fixed λ=20,6,9,0.2277,189.9,834
M4G fixed λ=28,6,0,0.1706,144.3,846
M4G fixed λ=28,6,1,0.2064,168.9,818
M4G fixed λ=28,6,2,0.1710,148.1,866
M4G fixed λ=28,6,3,0.2102,169.4,806
M4G fixed λ=28,6,4,0.2019,170.6,845
M4G fixed λ=28,6,5,0.2140,189.2,884
M4G fixed λ=28,6,6,0.2134,188.0,881
M4G fixed λ=28,6,7,0.2217,187.1,844
M4G fixed λ=28,6,8,0.1814,156.9,865
M4G fixed λ=28,6,9,0.1904,163.8,860
M4G (dynamic),10,0,0.1977,179.9,910
M4G (dynamic),10,1,0.2662,237.2,891
M4G (dynamic),10,2,0.4946,473.8,958
M4G (dynamic),10,3,0.2809,256.7,914
M4G (dynamic),10,4,0.2707,248.5,918
M4G (dynamic),10,5,0.2854,261.1,915
M4G (dynamic),10,6,0.2210,208.2,942
M4G (dynamic),10,7,0.1936,178.8,924
M4G (dynamic),10,8,0.2947,270.2,917
M4G (dynamic),10,9,0.3448,307.6,892
M4G fixed λ=4.5,10,0,0.3738,271.4,726
M4G fixed λ=4.5,10,1,0.4098,262.7,641
M4G fixed λ=4.5,10,2,0.4193,352.6,841
M4G fixed λ=4.5,10,3,0.5170,368.1,712
M4G fixed λ=4.5,10,4,0.4420,116.3,263
M4G fixed λ=4.5,10,5,0.3946,101.8,258
M4G fixed λ=4.5,10,6,0.4272,103.0,241
M4G fixed λ=4.5,10,7,0.4748,439.7,926
M4G fixed λ=4.5,10,8,0.3817,326.7,856
M4G fixed λ=4.5,10,9,0.4508,290.8,645
M4G fixed λ=6,10,0,0.4166,337.4,810
M4G fixed λ=6,10,1,0.5132,396.7,773
M4G fixed λ=6,10,2,0.3963,297.2,750
M4G fixed λ=6,10,3,0.3391,209.6,618
M4G fixed λ=6,10,4,0.4312,346.7,804
M4G fixed λ=6,10,5,0.4195,345.2,823
M4G fixed λ=6,10,6,0.4368,344.6,789
M4G fixed λ=6,10,7,0.4039,330.0,817
M4G fixed λ=6,10,8,0.4402,324.0,736
M4G fixed λ=6,10,9,0.2708,172.8,638
M4G fixed λ=8,10,0,0.2349,182.5,777
M4G fixed λ=8,10,1,0.3908,284.1,727
M4G fixed λ=8,10,2,0.3297,260.1,789
M4G fixed λ=8,10,3,0.4311,320.3,743
M4G fixed λ=8,10,4,0.4246,321.9,758
M4G fixed λ=8,10,5,0.4249,329.7,776
M4G fixed λ=8,10,6,0.2591,198.7,767
M4G fixed λ=8,10,7,0.2789,212.2,761
M4G fixed λ=8,10,8,0.4212,318.0,755
M4G fixed λ=8,10,9,0.3642,277.9,763
M4G fixed λ=11,10,0,0.2771,214.4,774
M4G fixed λ=11,10,1,0.3103,226.2,729
M4G fixed λ=11,10,2,0.2862,226.9,793
M4G fixed λ=11,10,3,0.2228,164.8,740
M4G fixed λ=11,10,4,0.1645,121.1,736
M4G fixed λ=11,10,5,0.2516,187.2,744
M4G fixed λ=11,10,6,0.3896,296.5,761
M4G fixed λ=11,10,7,0.2009,155.7,775
M4G fixed λ=11,10,8,0.2763,198.7,719
M4G fixed λ=11,10,9,0.2078,160.4,772
M4G fixed λ=15,10,0,0.1222,91.6,750
M4G fixed λ=15,10,1,0.1279,93.9,734
M4G fixed λ=15,10,2,0.1801,136.7,759
M4G fixed λ=15,10,3,0.2537,184.9,729
M4G fixed λ=15,10,4,0.1686,123.3,731
M4G fixed λ=15,10,5,0.1846,134.4,728
M4G fixed λ=15,10,6,0.1593,115.8,727
M4G fixed λ=15,10,7,0.0976,73.3,751
M4G fixed λ=15,10,8,0.1035,73.1,707
M4G fixed λ=15,10,9,0.2088,157.0,752
M4G fixed λ=20,10,0,0.1718,122.0,710
M4G fixed λ=20,10,1,0.1454,99.6,685
M4G fixed λ=20,10,2,0.1538,109.3,711
M4G fixed λ=20,10,3,0.1904,135.8,713
M4G fixed λ=20,10,4,0.0853,61.8,725
M4G fixed λ=20,10,5,0.0914,63.7,697
M4G fixed λ=20,10,6,0.2129,146.0,686
M4G fixed λ=20,10,7,0.1562,109.5,701
M4G fixed λ=20,10,8,0.1431,100.3,701
M4G fixed λ=20,10,9,0.1414,97.6,690
M4G fixed λ=28,10,0,0.1913,133.3,697
M4G fixed λ=28,10,1,0.0795,53.7,675
M4G fixed λ=28,10,2,0.0758,53.3,703
M4G fixed λ=28,10,3,0.2231,156.8,703
M4G fixed λ=28,10,4,0.1726,118.0,684
M4G fixed λ=28,10,5,0.1210,82.4,681
M4G fixed λ=28,10,6,0.1277,87.1,682
M4G fixed λ=28,10,7,0.2021,142.1,703
M4G fixed λ=28,10,8,0.0846,58.4,691
M4G fixed λ=28,10,9,0.0717,50.6,706
