kind,visit_id,leg_index,source_scope,bot_id,station_queue_wp_id,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec
pod_to_station_queue,27,2,initial_bots,0,24,184,24,13,1,1,-1,13.5,7.5,1.5,9.5,12,2,12.165525060596439,14,1,1,0,0,1,4,1,1,24,24,4,5,25.828427124746192
bot_to_pod,28,1,initial_bots,0,16,217,286,14,0,0,0,18.5,9.5,17.5,14.5,1,5,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,28,2,initial_bots,0,16,286,16,14,0,1,-1,17.5,14.5,1.5,3.5,16,11,19.416487838947599,27,1,1,0,0,1,4,1,1,29,29,3,4,26.875
bot_to_pod,29,1,initial_bots,0,24,217,286,14,1,0,0,18.5,9.5,17.5,14.5,1,5,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,29,2,initial_bots,0,24,286,24,14,1,1,-1,17.5,14.5,1.5,9.5,16,5,16.763054614240211,21,1,1,0,0,1,4,1,1,23,23,3,4,23.041666666666668
bot_to_pod,30,1,initial_bots,0,16,217,95,15,0,0,0,18.5,9.5,8.5,1.5,10,8,12.806248474865697,18,1,0,1,0,0,3,4,1,18,18,1,2,16.875
pod_to_station_queue,30,2,initial_bots,0,16,95,16,15,0,1,-1,8.5,1.5,1.5,3.5,7,2,7.2801098892805181,9,1,1,0,0,1,4,1,1,11,11,2,3,12.911760458079524
bot_to_pod,31,1,initial_bots,0,24,217,95,15,1,0,0,18.5,9.5,8.5,1.5,10,8,12.806248474865697,18,1,0,1,0,0,3,4,1,18,18,1,2,16.875
pod_to_station_queue,31,2,initial_bots,0,24,95,24,15,1,1,-1,8.5,1.5,1.5,9.5,7,8,10.63014581273465,15,1,1,0,0,1,4,1,1,17,17,2,3,16.916666666666668
bot_to_pod,32,1,initial_bots,0,16,217,267,16,0,0,0,18.5,9.5,12.5,13.5,6,4,7.2111025509279782,10,1,0,1,0,0,3,4,1,10,10,1,2,11.541666666666668
pod_to_station_queue,32,2,initial_bots,0,16,267,16,16,0,1,-1,12.5,13.5,1.5,3.5,11,10,14.866068747318506,21,1,1,0,0,1,4,1,1,25,25,3,4,24.370093791412856
bot_to_pod,33,1,initial_bots,0,24,217,267,16,1,0,0,18.5,9.5,12.5,13.5,6,4,7.2111025509279782,10,1,0,1,0,0,3,4,1,10,10,1,2,11.541666666666668
pod_to_station_queue,33,2,initial_bots,0,24,267,24,16,1,1,-1,12.5,13.5,1.5,9.5,11,4,11.704699910719626,15,1,1,0,0,1,4,1,1,19,19,3,4,20.370093791412856
bot_to_pod,34,1,initial_bots,0,16,217,287,17,0,0,0,18.5,9.5,18.5,14.5,0,5,5,5,1,0,1,0,0,3,4,1,5,5,0,1,5.458333333333333
pod_to_station_queue,34,2,initial_bots,0,16,287,16,17,0,1,-1,18.5,14.5,1.5,3.5,17,11,20.248456731316587,28,1,1,0,0,1,4,1,1,30,30,3,4,27.541666666666664
bot_to_pod,35,1,initial_bots,0,24,217,287,17,1,0,0,18.5,9.5,18.5,14.5,0,5,5,5,1,0,1,0,0,3,4,1,5,5,0,1,5.458333333333333
pod_to_station_queue,35,2,initial_bots,0,24,287,24,17,1,1,-1,18.5,14.5,1.5,9.5,17,5,17.720045146669349,22,1,1,0,0,1,4,1,1,24,24,3,4,23.708333333333332
bot_to_pod,36,1,initial_bots,0,16,217,226,18,0,0,0,18.5,9.5,13.5,10.5,5,1,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,36,2,initial_bots,0,16,226,16,18,0,1,-1,13.5,10.5,1.5,3.5,12,7,13.892443989449804,19,1,1,0,0,1,4,1,1,19,19,3,4,20.375
bot_to_pod,37,1,initial_bots,0,24,217,226,18,1,0,0,18.5,9.5,13.5,10.5,5,1,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,37,2,initial_bots,0,24,226,24,18,1,1,-1,13.5,10.5,1.5,9.5,12,1,12.041594578792296,13,1,1,0,0,1,4,1,1,13,13,1,2,12.125
bot_to_pod,38,1,initial_bots,0,16,217,147,19,0,0,0,18.5,9.5,18.5,4.5,0,5,5,5,1,0,1,0,0,3,4,1,5,5,0,1,5.458333333333333
pod_to_station_queue,38,2,initial_bots,0,16,147,16,19,0,1,-1,18.5,4.5,1.5,3.5,17,1,17.029386365926403,18,1,1,0,0,1,4,1,1,18,18,1,2,15.458333333333334
bot_to_pod,39,1,initial_bots,0,24,217,147,19,1,0,0,18.5,9.5,18.5,4.5,0,5,5,5,1,0,1,0,0,3,4,1,5,5,0,1,5.458333333333333
pod_to_station_queue,39,2,initial_bots,0,24,147,24,19,1,1,-1,18.5,4.5,1.5,9.5,17,5,17.720045146669349,22,1,1,0,0,1,4,1,1,24,24,2,3,21.583333333333332
