#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
2520;38;42;2;2;0/2290.36,1/2121.02;0/55.24,1/64;0/2520,1/2520;0/2520,1/2520;0/0,1/6;0/0,1/0;0/1,1/8;0/9,1/8;0/3,1/2;0/5,1/5;0/15,1/23;0/22,1/20;0/23,1/40;0/247,1/246
2580;41;43;2;2;0/2340.36,1/2161.02;0/55.64,1/64.44;0/2580,1/2580;0/2580,1/2580;0/1,1/6;0/0,1/1;0/1,1/7;0/8,1/7;0/3,1/2;0/5,1/5;0/16,1/25;0/22,1/21;0/24,1/42;0/253,1/252
2640;43;44;2;2;0/2400.36,1/2201.02;0/56.09,1/64.89;0/2640,1/2640;0/2640,1/2640;0/0,1/4;0/0,1/0;0/1,1/5;0/8,1/9;0/3,1/2;0/5,1/5;0/16,1/27;0/23,1/21;0/24,1/44;0/259,1/258
2700;46;45;2;2;0/2450.36,1/2242.84;0/56.49,1/65.33;0/2700,1/2700;0/2700,1/2700;0/0,1/3;0/0,1/0;0/0,1/3;0/6,1/10;0/3,1/2;0/5,1/5;0/17,1/29;0/23,1/22;0/25,1/46;0/265,1/264
2760;48;46;2;2;0/2510.36,1/2286.49;0/56.98,1/65.73;0/2760,1/2760;0/2760,1/2760;0/0,1/1;0/0,1/0;0/0,1/2;0/8,1/9;0/3,1/2;0/5,1/5;0/17,1/31;0/24,1/22;0/25,1/48;0/271,1/270
2820;49;48;2;2;0/2570.36,1/2331.02;0/57.42,1/66.13;0/2820,1/2820;0/2820,1/2820;0/0,1/0;0/0,1/0;0/0,1/1;0/11,1/7;0/3,1/2;0/5,1/5;0/17,1/32;0/25,1/23;0/25,1/49;0/277,1/276
2880;50;49;2;2;0/2630.36,1/2381.02;0/57.82,1/66.58;0/2880,1/2880;0/2880,1/2880;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/6;0/3,1/2;0/5,1/5;0/17,1/33;0/25,1/24;0/25,1/50;0/283,1/282
2940;50;49;2;2;0/2690.36,1/2441.02;0/58.22,1/67.07;0/2940,1/2940;0/2940,1/2940;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/13;0/3,1/2;0/5,1/5;0/17,1/33;0/25,1/24;0/25,1/50;0/289,1/288
3000;50;51;2;2;0/2750.36,1/2501.02;0/58.62,1/67.47;0/3000,1/3000;0/3000,1/3000;0/0,1/0;0/0,1/0;0/1,1/0;0/7,1/13;0/3,1/2;0/5,1/5;0/17,1/33;0/26,1/25;0/25,1/50;0/295,1/294
3060;51;51;2;2;0/2800.36,1/2561.02;0/59.07,1/67.82;0/3060,1/3060;0/3060,1/3060;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/13;0/3,1/2;0/5,1/5;0/18,1/33;0/26,1/25;0/26,1/50;0/301,1/300
