decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec
380,3265.46666666254,2,1,91,1,1,0,1,0.0010083
381,3270.44444444029,117,1,91,0,1,0,1,0.0019976
382,3275.55555555138,116,1,91,0,1,0,2,0.0019972
383,3290.57777777354,117,1,92,0,0,1,4,0.0020005
384,3295.68888888463,117,1,92,0,0,1,1,0.0020041
385,3300.66666666238,117,1,92,0,0,1,2,0.0019998
386,3305.77777777347,117,1,92,0,1,0,1,0.0030008
387,3310.75555555123,118,1,93,0,0,1,1,0.0009981
388,3315.86666666232,118,1,93,0,1,0,1,0.0010001
389,3320.84444444007,119,1,93,0,1,0,3,0.0020004
390,3335.99999999556,120,1,93,0,1,0,1,0.0010001
391,3356.13333332881,121,1,93,0,1,0,1,0.0019987
392,3361.06666666212,122,1,92,0,0,1,1,0.0010024
393,3366.22222221766,122,1,92,1,0,1,1,0.0019984
394,3371.15555555097,121,1,92,1,1,0,1,0.0029995
395,3376.3111111065,121,1,92,0,1,0,3,0.001001
396,3381.24444443981,120,1,92,0,0,1,1,0.0019995
397,3386.39999999535,120,1,92,0,0,1,2,0.0009974
398,3396.48888888419,120,1,92,0,1,0,2,0.0010026
399,3401.37777777306,119,1,92,0,0,1,2,0
400,3406.57777777304,119,1,92,0,0,1,1,0.0010046
401,3411.4666666619,119,1,92,0,0,1,1,0
402,3416.66666666188,119,1,91,1,1,0,2,0.0019986
403,3426.75555555073,118,1,92,0,0,1,1,0.0010014
404,3441.64444443955,118,1,92,0,0,1,1,0.001
405,3451.7333333284,118,1,91,0,0,1,2,0
406,3456.93333332837,118,1,91,0,0,1,2,0
407,3461.82222221724,118,1,90,0,0,1,1,0.001999
408,3471.91111110609,118,1,90,1,1,0,4,0.0019998
409,3477.06666666162,117,1,90,0,0,1,1,0.0019997
410,3492.04444443933,117,1,90,0,1,0,1,0.0010005
411,3497.19999999487,116,1,90,0,0,1,1,0.0020024
412,3502.13333332818,116,1,90,0,0,1,3,0.0009998
413,3507.28888888371,116,1,89,0,0,1,1,0
414,3512.22222221702,116,1,90,0,0,1,1,0.0010003
415,3527.42222221696,116,1,89,1,1,0,1,0.0020001
416,3532.35555555027,113,1,89,0,1,0,3,0.000977
417,3537.5111111058,116,1,91,0,1,0,1,0.0009762
418,3542.44444443912,113,1,92,0,1,0,3,0.0009981
419,3557.64444443905,116,1,92,0,0,1,1,0.0019967
420,3567.7333333279,116,1,92,0,0,1,2,0.0010026
421,3577.82222221674,116,1,93,0,0,1,1,0
422,3587.91111110559,116,1,92,0,0,1,2,0.0009994
423,3592.71111110557,116,1,94,1,0,1,1,0.0019978
424,3597.99999999443,114,1,94,1,1,0,1,0.0029751
425,3602.79999999441,115,1,93,0,0,1,1,0.0019985
426,3608.08888888328,113,1,93,0,0,1,2,0.001033
427,3618.17777777212,113,1,93,0,1,0,2,0.0009896
428,3622.93333332766,114,1,93,0,0,1,3,0.0010001
429,3633.0222222165,114,1,93,0,0,1,2,0.0009998
430,3638.31111110537,113,1,93,0,0,1,3,0.0009992
431,3648.39999999421,113,1,93,0,1,0,4,0.001001
432,3663.19999999415,115,1,93,0,0,1,2,0.002002
433,3668.53333332746,115,1,93,0,1,0,2,0.0019996
434,3693.3777777718,116,1,92,1,0,1,2,0.002001
435,3703.46666666064,116,1,93,0,0,1,2,0
436,3708.75555554951,116,1,92,1,0,1,2,0.0020006
437,3713.55555554949,116,1,93,0,0,1,1,0.0010032
438,3718.84444443835,116,1,93,0,0,1,1,0
439,3728.9333333272,116,1,93,0,0,1,1,0.0009998
440,3743.73333332714,116,1,93,0,0,1,2,0.0010312
441,3749.06666666045,116,1,93,0,0,1,2,0.0009965
442,3763.86666666038,115,1,93,0,0,1,3,0
443,3769.19999999369,115,1,93,0,1,0,2,0.0019688
444,3783.99999999363,115,1,92,0,0,1,1,0.001002
445,3804.13333332687,115,1,93,1,0,1,2,0.0029684
446,3809.42222221574,115,1,92,1,0,1,3,0.0019716
447,3824.26666666012,116,1,92,0,0,1,1,0.0010304
448,3829.55555554899,116,1,92,0,0,1,2,0.0009998
449,3834.35555554897,116,1,92,0,0,1,2,0.0010321
450,3839.64444443783,116,1,92,0,0,1,3,0.0010006
451,3849.73333332668,116,1,92,0,0,1,2,0.0010258
452,3854.48888888221,116,1,92,0,0,1,1,0.001013
453,3869.86666665992,116,1,92,0,1,0,2,0.0010007
454,3884.66666665986,117,1,92,0,1,0,1,0.0009981
455,3889.99999999317,116,1,92,0,1,0,2,0.0010038
456,3894.75555554871,117,1,92,0,1,0,3,0.0010297
457,3914.88888888195,118,1,92,1,0,1,2,0.0030317
458,3920.17777777082,118,1,91,1,0,1,1,0.0030012
459,3924.9777777708,118,1,91,0,1,0,2,0.0009994
460,3940.31111110406,117,1,91,0,0,1,3,0.0010003
461,3945.11111110404,117,1,91,0,0,1,1,0.0010317
462,3955.19999999289,117,1,91,0,0,1,2,0.001
463,3965.28888888173,117,1,91,0,0,1,1,0.0009993
464,3970.48888888171,117,1,91,0,0,1,1,0.0019971
465,3990.62222221496,117,1,91,0,1,0,2,0.0009993
466,3995.46666665938,118,1,90,1,1,0,1,0.0019969
467,4010.7555555482,117,1,91,0,1,0,2,0.0020046
468,4015.59999999263,118,1,91,0,0,1,1,0.0009996
469,4030.88888888145,118,1,91,0,1,0,2,0.0010003
470,4035.73333332587,119,1,91,0,0,1,1,0.0009967
471,4045.82222221472,119,1,91,0,0,1,1,0.0020075
472,4051.0222222147,119,1,90,1,0,1,1,0.0020004
473,4061.11111110354,119,1,91,0,0,1,2,0.0010005
474,4065.95555554797,119,1,91,0,0,1,1,0.0015049
475,4076.04444443681,119,1,90,0,0,1,1,0.0010035
476,4086.13333332566,119,1,91,1,0,1,3,0.002991
