parent,units,children,firstChildDone,lastChildDone,consolidated,consolidationWait,placed,submitted
438,3,2,4757.77777777397,4782.97777777412,4782.97777777412,25.200000000149,2641.06666666523,4647.51111110665
68,5,4,818.488888889039,4883.19999999693,4883.19999999693,4064.71111110789,0,678.222222222261
527,3,2,4928.17777777498,4938.22222221948,4938.22222221948,10.0444444445038,3310.75555555123,4807.9111111076
338,2,2,3416.66666666188,4973.42222221969,4973.42222221969,1556.75555555781,1920.93333333436,3356.13333332881
376,3,2,4963.37777777519,4983.46666666419,4983.46666666419,20.0888888890076,2248.22222222249,4843.11111110781
501,8,3,4051.0222222147,5003.51111110876,5003.51111110876,952.488888894059,3124.53333332981,4010.7555555482
706,5,2,4868.04444444129,5008.39999999767,5008.39999999767,140.355555556385,4717.6444444404,4757.77777777397
689,4,2,4943.33333333062,5118.62222222055,5118.62222222055,175.288888889925,4562.48888888393,4813.06666666319
484,3,2,4888.08888888585,5168.75555555418,5168.75555555418,280.666666668326,2988.62222221929,4787.82222221859
740,4,2,5138.66666666511,5329.15555555513,5329.15555555513,190.488888890015,4983.46666666419,5008.39999999767
381,4,2,4412.17777777193,5464.31111111148,5464.31111111148,1052.13333333955,2283.688888889,4311.91111110467
447,4,2,3663.19999999415,5474.35555555598,5474.35555555598,1811.15555556183,2711.51111110937,3532.35555555027
506,5,2,5424.17777777791,5484.40000000049,5484.40000000049,60.2222222225782,3164.84444444075,5183.86666666538
93,3,2,5293.99999999936,5569.73333333433,5569.73333333433,275.733333334963,0,5203.95555555439
314,2,2,5579.77777777883,5604.66666666787,5604.66666666787,24.888888889036,1760.53333333423,5519.55555555625
77,2,2,3396.48888888419,5619.42222222351,5619.42222222351,2222.93333333932,0,3305.77777777347
94,7,4,2691.37777777613,5644.80000000144,5644.80000000144,2953.42222222531,0,2570.5333333322
446,5,2,3809.42222221574,5739.68888889089,5739.68888889089,1930.26666667515,2711.51111110937,3648.39999999421
21,3,3,5634.75555555693,5749.73333333539,5749.73333333539,114.977777778457,0,5563.11111111206
719,5,2,5755.06666666875,5779.77777778001,5779.77777778001,24.7111111112572,4807.9111111076,5649.51111111258
