decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
724,8178.53333334975,1,92,1,91,5,1,26.837123980764,41.9330062199437,0.906064209274673,0.026837123980764,28,1,21,1,1,2,-1456.23997992094,0.1004832,0,17.7647218468727,2,0,28
725,8189.73333334981,1,91,1,91,4,1,26.8252654686714,41.8925771324969,0.907253269916766,0.0268252654686714,22,1,16,1,1,2,-1118.96266303216,0.081488,0,17.7406180972897,2,0,18
726,8199.8222222386,1,91,1,91,4,1,26.8133630261531,41.8521622886477,0.907363420427553,0.0268133630261531,21,1,15,1,1,2,-1055.9601435836,0.0805527,0,17.7274352235524,2,0,16
727,8208.66666668292,1,92,1,92,4,2,26.7922982696869,41.7975362296997,0.90855106888361,0.0267922982696869,31,1,20,1,2,1,-1474.41049186654,0.1025758,0,17.719078242161,1,0,19
728,8228.80000001596,1,92,1,92,4,3,26.786580499348,41.7669369346769,0.908659549228944,0.026786580499348,38,1,22,1,3,1,-1706.14639184813,0.1026485,0,17.6883233529966,1,0,18
729,8248.933333349,1,93,1,92,3,3,26.7940295460392,41.7569291626584,0.904481132075472,0.0267940295460392,37,1,20,1,3,3,-1596.67906781698,0.1234907,0,17.6663931072786,0,3,18
730,8250.08888890454,1,91,1,91,3,2,26.7713377816609,41.7000232593306,0.904593639575972,0.0267713377816609,24,1,14,1,2,1,-1066.87380116136,0.1435513,0,17.6569958157263,1,0,11
731,8270.22222223758,1,91,1,91,3,3,26.796464541116,41.7176613431476,0.905771495877503,0.026796464541116,31,2,17,1,3,3,-1321.85041550512,0.162523,0,17.6468500508141,2,1,11
732,8279.11111112634,1,92,1,91,3,3,26.7705540536309,41.6943686697355,0.903642773207991,0.0267705540536309,33,3,21,1,3,4,-1519.37994284449,0.125088,0,17.6516305317128,3,1,20
733,8289.20000001508,1,92,1,90,3,2,26.7399336291979,41.70201987796,0.90599294947121,0.0267399336291979,26,1,17,1,2,2,-1230.65799261919,0.098514,0,17.6587532533038,2,0,17
734,8290.35555557062,1,91,1,90,3,2,26.7229942774996,41.6541801918618,0.90716803760282,0.0267229942774996,28,1,16,1,2,3,-1229.80810648622,0.2150328,0,17.6530769726287,0,3,19
735,8299.28888890382,1,91,1,90,3,3,26.7328211513282,41.7077968965564,0.905041031652989,0.0267328211513282,32,1,19,1,3,1,-1428.9414674788,0.211044,0,17.6650741709929,1,0,15
736,8319.42222223686,1,92,1,90,3,3,26.7927915907675,41.7798896050594,0.906213364595545,0.0267927915907675,32,1,18,1,3,1,-1390.92443786743,0.1880442,0,17.6780525629156,1,0,14
737,8329.5111111256,1,92,1,90,3,3,26.7924693373675,41.757977210097,0.90632318501171,0.0267924693373675,31,1,18,1,3,2,-1346.46890519121,0.1701377,0,17.6726626644909,0,2,13
738,8330.57777779226,1,91,1,89,4,2,26.7705394663208,41.7024666151531,0.905263157894737,0.0267705394663208,32,1,20,1,2,2,-1480.07484891168,0.1381431,0,17.6637033820074,2,0,26
739,8369.73333334724,1,93,1,91,3,4,26.8693996835924,41.8351194503797,0.905373831775701,0.0268693996835924,39,2,24,1,4,3,-1757.90574212179,0.1810885,0,17.6704295151423,1,2,18
740,8370.80000001389,1,89,1,90,3,3,26.8247298325721,41.7824739212894,0.901277584204414,0.0268247298325721,32,2,21,1,3,2,-1505.93355721647,0.2055478,0,17.6627054519943,1,1,18
741,8380.88888890263,1,93,1,90,4,2,26.8111858097844,41.8376541014701,0.902552204176334,0.0268111858097844,30,1,20,1,2,1,-1450.88467333405,0.1116275,0,17.6647872872874,1,0,23
742,8409.95555556888,1,95,1,90,3,2,26.8821459014986,41.9269832384168,0.900578034682081,0.0268821459014986,26,1,19,1,2,3,-1302.77989164787,0.072592,0,17.6746085029015,0,3,16
743,8420.04444445762,1,98,1,90,4,2,26.8862341113931,41.9715501255981,0.899538106235566,0.0268862341113931,31,1,23,1,2,1,-1590.0506257087,0.1056082,0,17.6722316318308,1,0,22
744,8421.11111112427,1,93,1,90,4,2,26.8651344872336,41.9172311148325,0.900692840646651,0.0268651344872336,30,1,20,1,2,1,-1446.86547464307,0.1115224,0,17.6638660705062,1,0,22
745,8430.13333334636,1,97,1,90,4,2,26.8637166969423,41.89369983475,0.901847575057737,0.0268637166969423,30,1,22,1,2,1,-1527.78299902296,0.0780056,0,17.6684301573079,0,1,21
746,8440.2222222351,1,97,1,89,4,2,26.8772745576224,41.8935736386137,0.901960784313726,0.0268772745576224,33,2,24,1,2,3,-1685.32472377013,0.1610254,0,17.6722891184367,1,2,24
747,8441.24444445731,1,89,1,88,3,1,26.8340627795668,41.842945351189,0.900921658986175,0.0268340627795669,23,1,13,1,1,1,-1027.92897495301,0.1835782,0,17.6653579657971,1,0,20
748,8451.33333334605,1,89,1,89,3,2,26.8576799934362,41.8585844749606,0.901035673187572,0.0268576799934362,29,2,16,1,2,3,-1267.78833499278,0.1500907,0,17.6758406150965,2,1,21
749,8460.35555556815,1,95,1,88,5,1,26.8389634146341,41.8461021126759,0.901035673187572,0.0268389634146341,31,1,23,1,1,3,-1600.75776377855,0.110543,0,17.6849598214285,3,0,30
750,8461.4222222348,1,88,1,88,4,1,26.8182062274367,41.7926476793247,0.902186421173763,0.0268182062274367,27,1,15,1,1,1,-1204.574860454,0.1390811,0,17.676723676383,1,0,28
751,8480.48888890119,1,95,1,88,4,1,26.8606752564217,41.8377652519265,0.903337169159954,0.0268606752564217,26,1,20,1,1,3,-1374.46374133706,0.1901993,0,17.6891264010521,0,3,20
752,8500.62222223423,1,95,1,89,5,2,26.9250667855355,41.9170043926289,0.901262916188289,0.0269250667855355,37,1,29,1,2,2,-1968.28299813058,0.0835416,0,17.7054645331424,2,0,29
753,8511.68888890073,1,93,1,89,3,2,26.9524296040713,41.9385844399485,0.900343642611684,0.0269524296040713,30,2,20,1,2,3,-1450.80848278409,0.0965534,0,17.7079534536507,2,1,20
754,8531.82222223377,1,94,1,90,4,2,26.9609245913892,41.9685441541484,0.900343642611684,0.0269609245913892,34,1,23,1,2,2,-1653.32305561762,0.1485947,0,17.7035451741688,0,2,27
755,8540.84444445586,1,96,1,89,3,1,26.9642569831999,41.952768546487,0.901489117983963,0.0269642569831999,20,1,17,1,1,2,-1102.94208371966,0.1420833,0,17.7111923816537,2,0,15
756,8541.91111112251,1,93,1,89,5,1,26.9461308798442,41.90367633337,0.90045766590389,0.0269461308798442,33,1,22,1,1,1,-1610.70217535737,0.1751358,0,17.7047353747945,1,0,35
757,8550.9333333446,1,92,1,90,2,2,26.952462909725,41.8926860825253,0.900571428571429,0.026952462909725,21,1,17,1,2,1,-1082.9621604103,0.0995024,0,17.7143395802433,1,0,8
758,8571.06666667765,1,104,1,91,2,3,27.0073393479834,41.9571600162691,0.899657924743444,0.0270073393479834,29,1,26,1,3,3,-1623.04908146959,0.1566076,0,17.724558197237,0,3,7
759,8572.08888889985,1,101,1,90,4,2,26.9859803937807,41.9032306670095,0.891525423728814,0.0269859803937807,39,1,29,1,2,3,-1984.21857133181,0.1255963,0,17.7159871287415,0,3,32
760,8582.17777778859,1,100,1,89,4,2,27.004088051225,41.9106442847722,0.891525423728814,0.027004088051225,39,1,29,1,2,2,-1973.0156574511,0.1290533,0,17.7229176125049,0,2,35
761,8592.26666667734,1,100,1,89,5,2,27.0068990093145,41.8943585740059,0.892655367231638,0.0270068990093145,43,1,32,1,2,1,-2193.77205047833,0.1055815,0,17.7198165731882,0,1,42
762,8601.24444445498,1,95,1,88,2,1,27.0225262421393,41.8979971195548,0.892776523702032,0.0270225262421393,17,1,12,1,1,3,-824.463853985297,0.1126443,0,17.7355104903033,3,0,10
763,8602.35555556608,1,99,1,88,5,1,27.0049939722661,41.8502807139261,0.892776523702032,0.0270049939722661,40,1,29,1,1,1,-2019.3123883737,0.1712626,0,17.7294343106393,1,0,41
764,8612.44444445482,1,100,1,91,4,3,27.0303929117752,41.8691465378256,0.893905191873589,0.0270303929117752,43,1,33,1,3,2,-2204.44867887193,0.2210983,0,17.7411637872142,0,2,31
765,8631.42222223232,1,98,1,92,2,3,27.0940021696997,41.9471879321522,0.893905191873589,0.0270940021696997,32,2,21,1,3,2,-1504.70963806072,0.1901025,0,17.767595355159,1,1,7
766,8632.57777778786,1,101,1,91,4,2,27.0508496459936,41.8971894104385,0.891011235955056,0.0270508496459936,35,1,26,1,2,1,-1775.73552610521,0.2031874,0,17.7604995343375,1,0,26
767,8651.55555556536,1,98,1,92,3,3,27.0875921544142,41.9336763159681,0.889137737961926,0.0270875921544142,36,1,26,1,3,2,-1788.15681078026,0.1185283,0,17.7693343178258,0,2,13
768,8662.7555555652,1,94,1,91,3,2,27.102313258608,41.9360896511795,0.889261744966443,0.027102313258608,30,1,22,1,2,1,-1505.1313317372,0.1295604,0,17.7637474466647,0,1,16
769,8671.6888888984,1,104,1,91,4,2,27.1036380079333,41.9178182341872,0.890380313199105,0.0271036380079333,35,1,24,1,2,1,-1718.97951656716,0.0855748,0,17.770039088825,0,1,21
770,8681.77777778715,1,104,1,90,4,1,27.1183138622584,41.9202389389219,0.891498881431767,0.0271183138622583,32,1,21,1,1,1,-1546.95693429316,0.0910063,0,17.774764886515,1,0,31
771,8682.88888889824,1,100,1,90,4,1,27.0976347477378,41.8680668028571,0.89261744966443,0.0270976347477378,27,1,22,1,1,1,-1465.69166856828,0.1536071,0,17.7666231302559,1,0,23
772,8692.97777778698,1,100,1,91,3,2,27.1121020951937,41.870258624501,0.893736017897092,0.0271121020951937,29,1,21,1,2,1,-1442.89837762403,0.0840384,0,17.7712215238907,1,0,15
773,8703.06666667572,1,100,1,92,3,3,27.1172658318625,41.8581228712537,0.894854586129754,0.0271172658318625,38,2,27,1,3,3,-1875.63061894961,0.071545,0,17.7697294317526,1,2,15
774,8711.95555556448,1,103,1,91,4,2,27.0873732256487,41.8288008314439,0.892857142857143,0.0270873732256487,39,2,24,1,2,3,-1802.91983482404,0.086038,0,17.771195728966,3,0,32
775,8713.15555556447,1,99,1,91,3,2,27.0416923189682,41.7750056612322,0.895089285714286,0.0270416923189682,32,1,23,1,2,1,-1592.82226012003,0.0816071,0,17.7622207779705,0,1,16
776,8733.28888889751,1,99,1,90,3,2,27.0738525665017,41.8046732980718,0.896205357142857,0.0270738525665017,32,1,24,1,2,1,-1638.78944244037,0.0725576,0,17.7579505594691,0,1,26
777,8742.13333334182,1,100,1,90,4,2,27.0799474641624,41.8508278991601,0.897321428571429,0.0270799474641624,37,1,24,1,2,1,-1759.47070008086,0.0775679,0,17.767315761337,1,0,29
778,8743.37777778625,1,97,1,90,4,2,27.0605184994351,41.8008009340867,0.8984375,0.0270605184994351,36,1,24,1,2,1,-1736.58920363081,0.1015076,0,17.7599257854669,0,1,28
779,8753.46666667499,1,96,1,89,5,1,27.061593685418,41.7825147429796,0.898550724637681,0.027061593685418,35,1,23,1,1,1,-1690.58406275086,0.1365182,0,17.7557667596676,1,0,36
780,8762.26666667486,1,90,1,89,3,1,27.0682431453832,41.7728833405778,0.899665551839465,0.0270682431453832,28,1,17,1,1,1,-1298.68806049086,0.1005781,0,17.7654791218549,1,0,27
