idx;bot_id;task_id;trip_id;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;gap_sec;abs_err_sec;rel_err_pct;stop_go_count;queue_stop_go_count;conflict_wait_sec
1461;27;50102791;42;1509;8;33;32;30.4117604580795;31.3327705848642;0.921010126784672;0.921010126784672;3.02846699076898;0;0;1.26666666666279
1462;11;2378190;44;918;72;55;54;44.2083333333333;52.1790764717025;7.97074313836917;7.97074313836917;18.0299562036626;1;0;3.72621209543468
1463;9;13799068;41;2033;176;24;23;22.2916666666667;32.8597186257775;10.5680519591109;10.5680519591109;47.4080835548899;1;0;2.689805224265
1464;17;15169697;48;1531;144;28;27;25.5833333333333;32.6507377987818;7.06740446544851;7.06740446544851;27.6250337411668;0;0;0.444444444437977
1465;20;59953362;8;2729;104;100;99;77.8259740204526;84.3209798654989;6.49500584504626;6.49500584504626;8.34555034716222;0;0;6.05434346012407
1466;12;58415703;8;1755;72;35;34;31.7475468957064;32.0945382358532;0.346991340146747;0.346991340146747;1.09297055702176;0;0;0.505829736863234
1467;33;6731447;11;787;40;46;45;37.5833333333333;43.9357072188595;6.3523738855262;6.3523738855262;16.9021034648147;0;0;5.1713924853575
1468;21;21403714;41;746;8;20;19;22.3725468957064;22.8167708726778;0.444223976971376;0.444223976971376;1.98557624682699;0;0;0.222222222218988
1469;4;53431382;46;2336;64;23;22;18;36.752088180785;18.752088180785;18.752088180785;104.178267671028;0;0;6.72101012678468
1470;42;22482931;10;2508;16;62;61;46.125;51.2727849706862;5.14778497068619;5.14778497068619;11.1605094215419;0;0;1.22257580912446
1471;10;39252698;47;1688;128;51;50;38.1666666666667;49.1463058868412;10.9796392201746;10.9796392201746;28.7676136773132;1;0;2.91388888888105
1472;0;56269677;44;933;160;82;81;58.8333333333333;68.3395382358522;9.50620490251882;9.50620490251882;16.1578553583889;0;0;1.5623232065318
1473;22;15611184;46;2542;88;22;21;25.2083333333333;24.9255048045998;-0.282828528733567;0.282828528733567;1.12196441150506;0;0;0.266666666662786
1474;41;16857308;45;1118;56;42;41;39.1617604580795;40.9612496965783;1.79948923849878;1.79948923849878;4.59501620317869;0;0;1.04166666666606
1475;26;59259338;50;1120;128;62;61;48.25;50.0694444444453;1.81944444444525;1.81944444444525;3.77086931491243;0;0;0.758333333331393
1476;37;1019791;45;1471;88;75;74;58.4142135623731;65.6765800977901;7.26236653541698;7.26236653541698;12.4325332697708;1;0;3.90277777777192
1477;31;60400262;9;740;56;50;49;44.4975468957064;81.5407503312836;37.0432034355771;37.0432034355771;83.2477428978258;0;0;24.9351009843267
1478;16;44012882;44;937;96;72;71;54.2867604580795;75.5632986087512;21.2765381506717;21.2765381506717;39.1928676000137;0;0;12.3724892106256
1479;24;40242678;48;2139;104;73;72;55.5833333333333;69.8511348764223;14.267801543089;14.267801543089;25.6692081734734;1;0;4.62222222221317
1480;6;50834120;45;2032;184;17;16;15.6666666666667;15.160345459477;-0.506321207189712;0.506321207189712;3.23183749270029;0;0;0.554999999998472
1481;34;64542643;45;2674;48;81;80;60.9166666666667;87.6740836646131;26.7574169979465;26.7574169979465;43.9246243468341;3;0;16.2665728752381
1482;7;17729965;11;2659;120;81;80;60.9166666666667;62.3313574079657;1.41469074129903;1.41469074129903;2.32233774221456;0;0;0.8583333333263
1483;5;6282935;44;2889;104;67;66;50.9558802290398;68.9404988009937;17.984618571954;17.984618571954;35.2944910206939;2;0;7.60222222221637
1484;15;1065529;9;2857;8;46;45;38.2083333333333;38.2638888888869;0.0555555555535321;0.0555555555535321;0.145401672113933;0;0;1.07999999999993
1485;40;63146914;45;2537;24;49;48;43.8333333333333;45.5111111111;1.6777777777667;1.6777777777667;3.82762991125483;0;0;0.980555555550382
1486;38;30269869;10;1659;144;28;27;25.5833333333333;32.1125272120298;6.52919387869648;6.52919387869648;25.5212790046768;0;0;0.399999999994179
1487;43;34279808;43;1742;72;54;53;45.6593073537859;61.4444444444307;15.7851370906448;15.7851370906448;34.5715649349111;0;0;16.5179653606083
1488;44;7091574;9;1949;48;26;25;20;19.6950937914153;-0.304906208584725;0.304906208584725;1.52453104292363;0;0;0.0888888888875954
1489;3;15635128;11;1375;144;61;60;47.5833333333333;57.431111111091;9.84777777775768;9.84777777775768;20.6958552247097;0;0;8.30759019495599
1490;14;31451314;44;748;160;92;91;68.25;80.0950937913913;11.8450937913913;11.8450937913913;17.3554487785953;0;0;3.46666666665624
1491;2;7016323;48;813;112;78;77;58.9166666666667;67.3799062085673;8.4632395419006;8.4632395419006;14.3647630131269;0;0;1.34101731968985
1492;28;44379469;48;2339;32;32;31;27.625;34.2971947571768;6.67219475717684;6.67219475717684;24.1527412024501;1;0;3.5193506530286
1493;30;37546656;44;777;0;46;45;33.3333333333333;68.2599334942806;34.9266001609473;34.9266001609473;104.779800482842;0;0;16.7903392009084
1494;19;118392;9;700;88;102;101;79.1666666666667;89.3114212513265;10.1447545846598;10.1447545846598;12.8144268437808;0;0;8.03333333332557
1495;1;34757213;10;767;160;44;43;34.125;44.5722222221975;10.4472222221975;10.4472222221975;30.6145706144982;1;0;3.23111111107937
1496;10;8728162;48;1280;136;41;40;38.5;43.0033333333249;4.50333333332491;4.50333333332491;11.6969696969478;0;0;4.23333333334631
1497;8;45177305;44;2503;16;75;74;59.0416666666667;67.444444444418;8.4027777777513;8.4027777777513;14.2319454245611;0;0;1.55555555556202
1498;11;40934302;45;2300;64;59;58;42.625;46.5138888888669;3.88888888886686;3.88888888886686;9.12349299440905;0;0;2.99999999999091
1499;23;55966819;49;1073;152;23;22;22.25;23.7056244488358;1.45562444883581;1.45562444883581;6.54213235431825;0;0;2.45833333333212
1500;13;63824174;44;1530;184;39;38;34.4117604580795;63.7694444444314;29.3576839863519;29.3576839863519;85.312938354652;2;0;26.9339826802989
1501;32;35992487;45;2335;88;28;27;24.9558802290398;36.1942913385865;11.2384111095467;11.2384111095467;45.0331184730932;1;0;5.22842712474085
1502;35;3738699;12;1681;136;48;47;41.6617604580795;39.191915155523;-2.4698453025565;2.4698453025565;5.92832678072182;0;0;1.18611111110476
1503;42;30467882;11;2729;16;38;37;32.25;35.576471844508;3.32647184450798;3.32647184450798;10.3146413783193;0;0;1.04999999998836
1504;20;47226344;9;1329;104;19;18;19.5808802290398;19.7111152412908;0.130235012251063;0.130235012251063;0.665113165126846;0;0;1.14999999999418
1505;25;48738407;9;1143;16;64;63;44.7083333333333;54.8167604580794;10.1084271247461;10.1084271247461;22.6097158428617;0;0;2.75499999999738
1506;29;65018208;50;2880;120;52;51;40.9583333333333;46.7499999999909;5.79166666665757;5.79166666665757;14.140386571697;1;0;3.12500000000182
1507;41;56155254;46;2666;48;22;21;19.4583333333333;25.7762986939197;6.31796536058634;6.31796536058634;32.4692009965893;0;0;0.266666666662786
1508;36;12848571;43;1688;160;63;62;51.0416666666667;56.2228715691963;5.18120490252962;5.18120490252962;10.1509320539356;0;0;2.26666666666279
1509;4;16072119;47;1573;72;28;27;24.9558802290398;24.8534271247572;-0.102453104282546;0.102453104282546;0.410536928941208;0;0;0.347222222220807
1510;12;65225130;9;516;72;79;78;59.5833333333333;65.0034271247532;5.42009379141988;5.42009379141988;9.09666090867672;0;0;2.84166666665442
1511;39;19807897;48;1773;32;17;16;18.2450937914129;21.6694444444438;3.42435065303094;3.42435065303094;18.7686108505654;1;0;2.88823954191685
1512;18;57729408;10;1353;176;51;50;38.1666666666667;52.9401875828171;14.7735209161504;14.7735209161504;38.7079150641496;1;0;4.56388888886795
1513;22;62856126;47;803;88;48;47;39.5416666666667;41.346246600122;1.80457993345529;1.80457993345529;4.56374271895963;0;0;0.992316013644086
1514;15;52281715;10;1511;8;33;32;31.0367604580795;31.8305555555544;0.793795097474863;0.793795097474863;2.55759649447635;0;0;2.96111111111713
1515;9;27616992;42;1949;176;62;61;46.75;65.4412771886;18.6912771886;18.6912771886;39.981341579893;0;0;1.7422222222267
1516;16;44053348;45;2417;104;46;45;41.8333333333333;44.0131909624415;2.17985762910818;2.17985762910818;5.21081504966098;0;0;1.74722222220589
1517;21;11444598;42;2498;0;78;77;56.7916666666667;87.070894756469;30.2792280898023;30.2792280898023;53.3163223885;1;0;21.1993506529998
1518;27;55496934;43;2121;0;75;74;59.6666666666667;95.7980312701056;36.131364603439;36.131364603439;60.5553596705681;1;0;19.3646898539446
1519;11;24459952;46;1199;72;24;23;20.7916666666667;20.0292715518226;-0.762395114844068;0.762395114844068;3.66683021167488;0;0;0.133333333331393
1520;0;32613649;45;1847;168;23;22;22.25;22.0499076413216;-0.200092358678372;0.200092358678372;0.899291499678077;0;0;0.177777777775191
1521;17;773389;49;1760;144;56;55;39.375;59.5636089577802;20.1886089577802;20.1886089577802;51.2726576705528;0;0;3.30145031204665
1522;6;43678285;46;770;184;61;60;49.7034271247462;56.6572205055818;6.9537933808356;6.9537933808356;13.9905712404557;0;0;1.66243857683185
1523;38;18812984;11;1860;144;28;27;21.3333333333333;36.3898084138309;15.0564750804976;15.0564750804976;70.5772269398324;2;0;5.76601731969822
1524;10;25087393;49;1717;136;17;16;18.25;31.897900340975;13.647900340975;13.647900340975;74.7830155669861;0;0;14.0756781187483
1525;43;51481368;44;2630;64;58;57;46.2083333333333;56.6339132654066;10.4255799320733;10.4255799320733;22.5621206825751;1;0;2.96601731970259
1526;28;21176375;49;2147;32;33;32;28.9117604580795;35.8145670076265;6.90280654954694;6.90280654954694;23.8754279925487;0;0;0.599227806696945
1527;26;35635241;51;927;128;74;73;60.4950937914129;71.3909885479043;10.8958947564914;10.8958947564914;18.0112040061637;0;0;6.79166666665878
1528;34;61197393;46;1378;56;34;33;31.7034271247462;32.4006781187509;0.697250994004683;0.697250994004683;2.19929218144509;0;0;0.266666666662786
1529;33;27222764;12;521;40;62;61;47.6225468957064;47.3166666666548;-0.305880229051645;0.305880229051645;0.642301281620919;0;0;0.177777777775191
1530;30;31437385;45;1705;8;28;27;25.5833333333333;25.2795975056924;-0.303735827640896;0.303735827640896;1.18724102009471;0;0;0.463210770129081
1531;37;13905633;46;743;88;47;46;39.75;39.9805555555449;0.230555555544917;0.230555555544917;0.580013976213629;0;0;0.566666666665697
1532;7;56369649;12;1878;120;56;55;44.2475468957064;59.7515662837213;15.5040193880149;15.5040193880149;35.039274436069;1;0;13.9784558965221
1533;31;21712791;10;2543;56;17;16;15.6666666666667;15.2802127615887;-0.386453905077969;0.386453905077969;2.46672705368917;0;0;0.133333333331393
1534;14;10827793;45;2486;168;18;17;18.9166666666667;18.6609415983985;-0.25572506826817;0.25572506826817;1.35185058115332;0;0;0.852777777776282
1535;3;24125439;12;957;152;35;34;30.25;34.6905491918606;4.44054919186055;4.44054919186055;14.679501460696;1;0;2.62549053592738
1536;24;58041839;49;2474;104;93;92;70.4166666666667;74.1438913827878;3.72722471612117;3.72722471612117;5.29310018857444;0;0;1.18756142314851
1537;40;25862664;46;2680;16;85;84;62.0833333333333;69.9018542494832;7.81852091614989;7.81852091614989;12.5935907374226;0;0;1.2744444444379
1538;2;14501014;49;548;112;73;72;55.5784271247462;64.3796320272777;8.8012049025315;8.8012049025315;15.8356494738096;0;0;1.67475459048546
1539;21;46831115;43;1951;8;44;43;35.625;37.2520346393703;1.62703463937032;1.62703463937032;4.56711477717983;0;0;0.847222222218988
1540;35;8646269;13;734;128;66;65;50.9166666666667;54.6894444444388;3.77277777777211;3.77277777777211;7.40971085650824;0;0;1.70968985394575
1541;39;12659036;49;1861;32;57;56;44.9117604580795;58.2713924853542;13.3596320272747;13.3596320272747;29.7464002546605;1;0;6.58962483431969
1542;5;27516461;45;1168;104;57;56;49.1617604580795;39.1249999999982;-10.0367604580813;10.0367604580813;20.4157873203905;0;0;1.546976812715
1543;4;43840789;48;1496;72;52;51;43.7083333333333;75.3008526366466;31.5925193033133;31.5925193033133;72.2803110847968;0;0;15.3676261596684
1544;10;32994143;50;2619;136;35;34;30.25;30.7887372707974;0.538737270797355;0.538737270797355;1.78094965552845;0;0;0.542496403508267
1545;19;42486159;10;2234;88;76;75;60.3333333333333;66.7757276878565;6.44239435452315;6.44239435452315;10.6780016925798;0;0;1.65336210512032
1546;44;18826859;10;2638;48;52;51;38.8333333333333;52.0611761307355;13.2278427974021;13.2278427974021;34.063114499748;0;0;1.78761896673132
1547;28;54260127;50;916;40;45;44;36.9166666666667;38.3426549335636;1.42598826689694;1.42598826689694;3.86272216766665;0;0;0.647373840311047
1548;15;38964203;11;1905;0;88;87;65.5833333333333;72.4356956313513;6.85236229801799;6.85236229801799;10.4483287898623;0;0;3.27376632568485
1549;42;8172219;12;961;16;63;62;48.2916666666667;55.824105243486;7.53243857681931;7.53243857681931;15.5978020572617;0;0;0.815793489007774
1550;13;50768145;45;1760;176;68;67;52.25;67.7414140641777;15.4914140641777;15.4914140641777;29.6486393572778;1;0;12.524841188897
1551;26;50115707;52;2677;136;38;37;34.375;35.5432222929048;1.16822229290483;1.16822229290483;3.39846485208678;0;0;0.444444444437977
1552;23;6441113;50;2334;152;67;66;55.2058802290398;56.2952380589704;1.08935782993067;1.08935782993067;1.97326412587049;0;0;0.311111111106584
1553;29;64346909;51;2339;120;90;89;71.1642135623731;80.1478065495539;8.98359298718084;8.98359298718084;12.623750811645;1;0;4.69102451264735
1554;1;8364564;11;955;160;37;36;31.5833333333333;32.6442539900509;1.06092065671752;1.06092065671752;3.35911553578108;0;0;0.797871569189738
1555;8;61214687;45;1309;16;26;25;19.375;24.3914959181093;5.01649591810929;5.01649591810929;25.8915918354028;0;0;0.533975487347561
