decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
88,725.555555555632,70,1,93,0,0,1,3,0.0009997,12.8284565353483,16.3833300330955,1,10.5412123468754,3,0,1
89,742.000000000089,71,1,93,0,0,1,1,0,12.9342423051875,16.7837191817314,1,10.6805485701927,1,0,1
90,755.6000000001,71,1,92,0,0,1,2,0.0010388,13.0859245580808,16.9347258986929,1,10.6626051954733,1,0,1
91,762.04444444455,71,1,92,0,0,1,4,0.0010002,13.0595703689801,16.8559571041488,1,10.6589140511529,2,0,1
92,782.08888888901,71,1,93,1,0,1,4,0.0009997,13.3044988664919,17.2805559990067,1,10.7386312279542,2,0,1
93,792.133333333462,70,1,95,0,0,1,3,0.0009966,13.2142663043478,17.2686434659091,1,10.7016945422535,2,0,1
94,802.177777777915,70,1,94,0,0,1,1,0.0010006,13.1851662248074,17.3333084078929,1,10.7129475576561,1,0,1
95,805.644444444584,70,1,93,0,0,1,1,0,13.1537429378532,17.2460185185186,1,10.7044252873564,1,0,1
96,822.222222222375,70,1,95,0,0,1,3,0,13.3762141106443,17.4919722985349,1,10.7551991835586,2,0,1
97,825.688888889045,70,1,94,0,0,1,1,0.0010007,13.2379863980717,17.4108299365943,1,10.7503111017898,1,0,1
98,835.733333333497,70,1,94,1,0,1,2,0.0025711,13.2131147540984,17.3333333333333,1,10.6754966887417,2,0,1
99,855.777777777957,71,1,94,0,0,1,2,0.0009933,13.2140793010754,17.4313386524824,1,10.5712634408603,1,0,1
100,875.822222222418,73,1,96,0,0,1,2,0,13.5814000000001,17.8702631578949,1,10.6772012578617,1,0,1
101,892.266666666875,72,1,96,0,0,1,2,0.0010007,13.6587301587302,17.9270833333333,1,10.6234567901235,1,0,1
102,895.866666666878,71,1,96,0,0,1,1,0,13.5511811023622,17.7422680412371,1,10.558282208589,1,0,1
103,905.911111111331,71,1,96,0,0,1,1,0.0009864,13.4453125,17.5612244897959,1,10.430303030303,1,0,1
104,912.311111111336,71,1,96,0,0,1,1,0.0019687,13.3920430184707,17.4502378725527,1,10.4070695745947,1,0,1
105,915.955555555783,70,1,95,1,0,1,2,0.0020014,13.3500830662394,17.3551079861112,1,10.3922802312043,1,0,1
106,936.000000000244,71,1,96,0,0,1,2,0.0010003,13.6009880960796,17.6408855503607,1,10.4194704127861,1,0,1
107,952.355555555812,71,1,95,1,0,1,4,0.0020024,13.6999471275253,17.7293433415034,1,10.3930633381227,2,0,1
108,956.044444444704,70,1,95,0,0,1,4,0,13.5542910447762,17.6337378640778,1,10.3787142857144,2,0,1
109,972.400000000272,71,1,95,0,0,1,2,0.0009974,13.6593750000001,17.8622596153847,1,10.4363764044944,1,0,1
110,976.088888889164,70,1,95,0,0,1,1,0,13.6102369728305,17.7581187169312,1,10.4167735490379,1,0,1
111,986.133333333617,70,1,95,0,0,1,1,0.0010358,13.6250973172751,17.7383342432449,1,10.3881957446627,1,0,1
112,992.444444444733,70,1,96,0,0,1,1,0,13.5751851574296,17.6350536157263,1,10.3678611916633,1,0,1
113,996.177777778069,69,1,96,0,0,1,2,0.0009696,13.4947916666667,17.4932484567902,1,10.3238843351548,1,0,1
114,1002.48888888919,69,1,96,0,0,1,2,0,13.4113475177305,17.348623853211,1,10.2771739130435,1,0,1
115,1012.53333333364,68,1,96,1,0,1,2,0.0020011,13.3830464538776,17.2762963313693,1,10.2171644970463,2,0,1
116,1022.57777777809,68,1,97,0,0,1,2,0.001,13.2630817311815,17.2061600836949,1,10.1589562196284,2,0,1
117,1046.22222222255,69,1,96,1,0,1,1,0.0020005,13.383449998943,17.4462830343364,1,10.1242678748481,1,0,1
118,1052.62222222256,69,1,97,1,0,1,2,0.002002,13.3053665910809,17.3087512291052,1,10.081901489118,1,0,1
119,1066.26666666701,69,1,94,0,0,1,1,0.0010005,13.4082434327838,17.4071932285264,1,10.0731981119391,1,0,1
120,1076.31111111147,69,1,94,0,0,1,1,0,13.5118744044661,17.5066894457865,1,10.116931086761,1,0,1
121,1082.66666666703,68,1,95,0,0,1,2,0.0010008,13.5695444444445,17.5468247126438,1,10.1771583333334,2,0,1
122,1086.35555555592,68,1,94,1,0,1,3,0.0009938,13.4584696079029,17.484507524797,1,10.1775491562251,2,0,1
123,1096.40000000037,68,1,93,0,0,1,2,0,13.5016290133478,17.6207700682674,1,10.2426151135742,1,0,1
124,1102.71111111149,67,1,93,1,0,1,1,0.0019734,13.478301498407,17.5557708592697,1,10.240866334574,1,0,1
125,1116.44444444483,67,1,92,0,0,1,1,0.0010019,13.6324614444841,17.7221998778294,1,10.2737390596112,1,0,1
126,1122.75555555595,67,1,95,0,0,1,2,0.001,13.6588360069199,17.7226219263341,1,10.3097944859924,2,0,1
127,1142.80000000041,68,1,96,0,0,1,4,0,13.9938068755339,18.2378302722122,1,10.4953551566504,2,0,1
128,1146.4888888893,67,1,96,0,0,1,2,0.0010301,13.880404805038,18.1686599480579,1,10.491761378456,1,0,1
129,1152.84444444486,67,1,97,0,0,1,5,0,13.8994114368999,18.1589084901434,1,10.5219843587747,2,0,1
130,1156.53333333375,66,1,95,0,0,1,2,0.0010034,13.7551609078591,18.0467711111111,1,10.4923087855297,1,0,1
131,1166.5777777782,66,1,93,0,0,1,2,0.0015436,13.7902362747849,18.0586427407898,1,10.4856635269102,1,0,1
132,1176.62222222266,66,1,94,0,0,1,4,0.0010007,13.7956074297189,18.0320538057743,1,10.4569444444445,2,0,1
133,1196.66666666712,66,1,93,1,0,1,1,0.0019996,13.952380952381,18.3125,1,10.5112107623318,1,0,1
134,1202.88888888934,66,1,93,1,0,1,2,0.0009976,13.9392833418395,18.2615417424099,1,10.51669144987,2,0,1
135,1206.71111111157,63,1,92,0,0,1,2,0.0010003,13.8704747175295,18.2450090515196,1,10.5415607853224,2,0,1
136,1212.9333333338,65,1,94,0,0,1,1,0.0010099,13.8261320068865,18.2589376884837,1,10.5837205185459,1,0,1
137,1226.75555555603,64,1,94,0,0,1,2,0.0010002,14.0221807373706,18.4837836992613,1,10.6544080711899,1,0,1
138,1246.80000000049,65,1,96,0,0,1,3,0,14.2355647266314,18.7310062192519,1,10.6919477560537,1,0,1
139,1252.97777777827,65,1,97,0,0,1,2,0.0009995,14.2518313560957,18.718823273678,1,10.7193261481746,2,0,1
140,1263.02222222273,65,1,98,1,0,1,4,0.0030007,14.2221207865169,18.7521296296297,1,10.7268538135593,2,0,1
141,1266.84444444495,62,1,97,1,0,1,4,0.0020293,14.093371763546,18.6529920399873,1,10.7038266558577,2,0,1
142,1293.06666666719,66,1,97,0,0,1,2,0.0009997,14.1866030684142,18.8464361930758,1,10.6692634646752,1,0,1
143,1306.88888888943,65,1,96,0,0,1,3,0.0010303,14.2093867848951,18.8428824756218,1,10.6135419658604,1,0,1
144,1323.11111111166,66,1,96,0,0,1,1,0.001006,14.2050951086957,18.8038669064749,1,10.5392641129033,1,0,1
145,1346.9333333339,66,1,94,0,0,1,2,0.0020004,14.4068559392726,19.0376310626103,1,10.5346575050017,1,0,1
146,1356.97777777836,66,1,94,0,0,1,2,0.001,14.4648755683327,19.0813252178006,1,10.5508504145486,2,0,1
147,1363.15555555614,67,1,95,1,0,1,2,0.0019698,14.4080695716773,19.0754723906713,1,10.5809260917005,1,0,1
148,1373.20000000059,67,1,95,0,0,1,1,0.0009868,14.5573458627279,19.240128447941,1,10.6641022017658,1,0,1
149,1377.02222222282,65,1,95,0,0,1,3,0.0010005,14.533005523067,19.1754933984911,1,10.6612781829449,2,0,1
150,1383.24444444504,64,1,94,0,0,1,2,0.0009999,14.5364043008939,19.2482043156664,1,10.7345754837371,1,0,1
151,1403.2888888895,66,1,96,0,0,1,3,0.0010008,14.7381986165585,19.4826872122999,1,10.7745164128628,2,0,1
152,1407.06666666729,66,1,96,0,0,1,3,0,14.6091616230581,19.3795001122199,1,10.7501377980993,1,0,1
153,1423.33333333396,66,1,97,0,0,1,2,0.001,14.6486462466931,19.399558542918,1,10.713189046089,1,0,1
154,1433.37777777842,66,1,96,1,0,1,4,0.0019988,14.6943715728208,19.4281288580248,1,10.7214488883174,2,0,1
155,1443.42222222287,66,1,97,0,0,1,6,0.0009992,14.7237631056517,19.5335257201646,1,10.7721649192084,3,0,1
156,1447.11111111176,65,1,94,1,0,1,1,0.0020001,14.5345830659455,19.4436144325894,1,10.7545266641795,1,0,1
157,1473.46666666734,66,1,95,0,0,1,2,0.0010001,14.9055226958281,19.9067178108757,1,10.8842485872414,1,0,1
158,1477.15555555623,66,1,94,0,0,1,2,0.0009994,14.9139242919391,19.8852323892521,1,10.9048048586221,2,0,1
159,1497.20000000069,65,1,96,1,0,1,1,0.0019998,15.0356954931859,20.1126835817941,1,10.944711207054,1,0,1
160,1507.24444444514,65,1,97,0,0,1,3,0.0009958,15.0893713283533,20.151612032059,1,10.9596486490145,2,0,1
161,1513.51111111181,65,1,95,0,0,1,2,0.0010009,15.041087796828,20.1512009585708,1,10.9915641592204,2,0,1
162,1527.2888888896,65,1,96,1,0,1,2,0.0020011,15.0763166469195,20.2618013535032,1,11.0072761678201,1,0,1
163,1533.55555555627,65,1,94,0,0,1,1,0,15.0770487077274,20.2299640888495,1,11.0218425035801,1,0,1
