decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
50,454.311111111045,1,114,1,92,2,0,0,0,1,0,0.0059984,0,0,0,0,0,0,0,0,0,0.0059984,0,14,-1,0,0,0,0,0
51,457.37777777771,1,114,1,92,2,0,0,0,2,0,0.004019,0,0,0,0,0,0,0,0,0,0.004019,0,14,-1,0,0,0,0,0
52,467.466666666594,1,114,1,92,2,0,0,0,2,0,0.0039957,0,0,0,0,0,0,0,0,0,0.0039957,0,14,-1,0,0,0,0,0
53,484.444444444364,1,114,2,93,4,0,3,11,0,-230.276383526384,2.0242947,0,0,0,0,0,0,2,2,0,2.0242947,0,14,-1,2,0,0,2,0
54,487.555555555473,1,114,1,91,2,0,1,1,0,-67.0258620689655,0.0045144,0,0,0,0,0,0,1,0,0,0.0045144,0,14,-1,0,0,0,1,0
55,494.533333333248,1,114,1,91,2,0,1,2,0,-70.0857142857143,0.0070651,0,0,0,0,0,0,2,0,0,0.0070651,0,14,-1,2,0,0,1,0
56,497.644444444357,1,114,1,91,2,0,1,2,0,-64.0350877192982,0.0071523,0,0,0,0,0,0,2,0,0,0.0071523,0,14,-1,0,0,0,1,0
57,504.622222222132,1,114,1,91,2,0,1,1,0,-67.2,0.0050011,0,0,0,0,0,0,1,0,0,0.0050011,0,14,-1,0,0,0,1,0
58,507.733333333241,1,114,1,91,2,1,0,1,0,-27.0285714285714,0.0049672,1,0,0,0,0,0,1,0,0,0.0049672,0,14,-1,0,0,0,1,0
59,514.711111111019,1,115,1,91,2,0,1,1,0,-69.1842105263158,0.0059677,0,0,0,0,0,0,1,0,0,0.0059677,0,15,-1,0,0,0,0,0
60,524.755555555472,1,115,1,91,2,0,1,2,0,-68.3333333333333,0.0050454,0,0,0,0,0,0,2,0,0,0.0050454,0,15,-1,0,0,0,0,0
61,527.777777777696,1,115,1,90,2,0,1,4,0,-97.6422058823529,0.0715456,0,0,0,0,0,0,1,1,0,0.0715456,0,15,-1,1,0,0,1,0
62,534.799999999924,1,115,1,88,2,1,0,1,0,-30.0151515151515,0.0039973,1,0,0,0,0,0,1,0,0,0.0039973,0,15,-1,1,0,0,0,0
63,537.822222222149,1,116,1,86,2,0,1,1,0,-67.195652173913,0.0059985,0,0,0,0,0,0,1,0,0,0.0059985,0,16,-1,0,0,0,1,0
64,574.844444444401,1,116,1,86,2,0,0,0,1,0,0.002969,0,0,0,0,0,0,0,0,0,0.002969,0,16,-1,0,0,0,0,0
65,574.888888888845,1,116,1,86,2,0,0,0,1,0,0.002999,0,0,0,0,0,0,0,0,0,0.002999,0,16,-1,0,0,0,0,0
66,584.888888888853,1,116,1,85,2,1,1,8,0,-152.878898128898,0.5621382,0,0,0,0,0,0,0,1,0,0.5621382,0,16,-1,0,0,0,1,0
67,587.866666666633,1,114,1,85,2,1,0,1,0,-29.1818181818182,0.0070021,1,0,0,0,0,0,1,0,0,0.0070021,0,16,-1,0,0,0,0,0
68,597.911111111086,1,115,1,85,2,1,0,2,0,-28.2857142857143,0.0049872,1,0,0,0,0,0,2,0,0,0.0049872,0,17,-1,0,0,0,0,0
69,614.933333333321,1,117,1,85,2,0,1,1,0,-69.5,0.0070357,0,0,0,0,0,0,1,0,0,0.0070357,0,18,-1,0,0,0,0,0
70,617.955555555546,1,117,1,85,2,0,0,0,1,0,0.0039677,0,0,0,0,0,0,0,0,0,0.0039677,0,18,-1,0,0,0,0,0
71,618.044444444435,1,117,1,85,2,0,0,0,1,0,0.0049696,0,0,0,0,0,0,0,0,0,0.0049696,0,18,-1,0,0,0,0,0
72,624.977777777774,1,117,2,87,4,0,1,1,1,-69.0704225352113,0.0099845,0,0,0,0,0,0,1,0,0,0.0099845,0,18,-1,0,0,0,0,0
73,625.022222222218,1,117,1,85,2,0,0,0,1,0,0.0042224,0,0,0,0,0,0,0,0,0,0.0042224,0,18,-1,0,0,0,0,0
74,627.999999999998,1,117,1,85,2,0,0,0,2,0,0.0039882,0,0,0,0,0,0,0,0,0,0.0039882,0,18,-1,0,0,0,0,0
75,628.044444444443,1,117,1,85,2,0,0,0,2,0,0.003973,0,0,0,0,0,0,0,0,0,0.003973,0,18,-1,0,0,0,0,0
76,635.022222222226,1,117,2,86,3,0,1,1,2,-69.051948051948,0.00797,0,0,0,0,0,0,1,0,0,0.00797,0,18,-1,0,0,0,0,0
77,635.066666666671,1,117,1,84,1,0,0,0,2,0,0.0040232,0,0,0,0,0,0,0,0,0,0.0040232,0,18,-1,0,0,0,0,0
78,645.066666666679,1,117,1,85,2,1,1,5,0,-144.477822580645,0.4421912,0,0,0,0,0,0,0,1,0,0.4421912,0,18,-1,0,0,0,1,0
79,655.066666666687,1,116,1,85,2,0,1,5,0,-86.4020376175549,0.1597373,0,0,0,0,0,0,3,1,0,0.1597373,0,18,-1,3,0,0,1,0
80,668.044444444475,1,116,1,90,2,0,1,1,0,-67.1666666666667,0.0064994,0,0,0,0,0,0,1,0,0,0.0064994,0,18,-1,0,0,0,1,0
81,678.088888888927,1,116,1,90,2,0,1,1,0,-67.1428571428571,0.0052593,0,0,0,0,0,0,1,0,0,0.0052593,0,18,-1,0,0,0,1,0
82,685.111111111155,1,116,1,90,2,0,1,2,0,-70.0980392156863,0.0063004,0,0,0,0,0,0,2,0,0,0.0063004,0,17,-1,2,0,0,1,0
83,688.13333333338,1,116,1,90,2,0,1,1,0,-69.1153846153846,0.005448,0,0,0,0,0,0,1,0,0,0.005448,0,17,-1,0,0,0,0,0
84,708.17777777784,1,116,1,89,2,0,1,2,0,-78.0922413793104,0.3301766,0,0,0,0,0,0,1,1,0,0.3301766,0,17,-1,1,0,0,1,0
85,728.2222222223,1,116,1,90,2,0,1,2,0,-70.2,0.0071328,0,0,0,0,0,0,2,0,0,0.0071328,0,17,-1,2,0,0,1,0
86,735.155555555639,1,116,1,90,2,0,1,1,0,-70.0430463576159,0.0073548,0,0,0,0,0,0,1,0,0,0.0073548,0,17,-1,1,0,0,0,0
87,745.200000000092,1,116,1,90,2,0,1,1,0,-70.04,0.0071785,0,0,0,0,0,0,1,0,0,0.0071785,0,17,-1,1,0,0,0,0
88,755.244444444544,1,116,1,90,2,1,0,1,0,-70.0436241610738,0.0086032,0,0,0,0,0,0,1,0,0,0.0086032,0,17,-1,1,0,0,0,0
89,758.266666666769,1,115,1,90,2,1,0,1,0,-69.0555555555556,0.0073594,0,0,0,0,0,0,1,0,0,0.0073594,0,16,-1,0,0,0,0,0
90,765.288888888997,1,114,1,90,2,0,1,1,0,-70.0405405405405,0.0099674,0,0,0,0,0,0,1,0,0,0.0099674,0,16,-1,1,0,0,0,0
91,768.311111111221,1,114,1,90,2,0,1,1,0,-69.0492957746479,0.007194,0,0,0,0,0,0,1,0,0,0.007194,0,16,-1,0,0,0,0,0
92,778.355555555674,1,114,1,90,2,1,0,2,0,-68.1052631578947,0.0064484,0,0,0,0,0,0,2,0,0,0.0064484,0,16,-1,0,0,0,0,0
93,788.400000000126,1,113,1,90,2,1,0,3,0,-67.1285714285714,0.006478,0,0,0,0,0,0,3,0,0,0.006478,0,16,-1,0,0,0,0,0
94,815.333333333481,1,112,1,90,2,0,1,2,0,-100.058998144712,0.0069696,0,0,0,0,0,0,2,0,0,0.0069696,0,16,-1,2,0,0,0,0
95,818.444444444594,1,112,1,89,2,0,1,2,0,-80.4807213930348,0.1343092,0,0,0,0,0,0,1,1,0,0.1343092,0,16,-1,1,0,0,1,0
96,825.377777777933,1,111,1,89,2,0,1,2,0,-70.0555555555556,0.0060003,0,0,0,0,0,0,2,0,0,0.0060003,0,16,-1,2,0,0,0,0
97,828.488888889047,1,112,1,89,2,0,1,1,0,-67.4565217391304,0.0065112,0,0,0,0,0,0,1,0,0,0.0065112,0,16,-1,0,0,0,1,0
98,835.422222222386,1,111,1,90,2,0,1,1,0,-69.0538461538462,0.0079699,0,0,0,0,0,0,1,0,0,0.0079699,0,16,-1,0,0,0,0,0
99,838.533333333499,1,112,1,90,2,1,0,1,0,-67.4772727272727,0.0060012,0,0,0,0,0,0,1,0,0,0.0060012,0,15,-1,0,0,0,1,0
100,845.466666666838,1,110,1,90,2,0,1,1,0,-69.046875,0.0048694,0,0,0,0,0,0,1,0,0,0.0048694,0,14,-1,0,0,0,0,0
101,848.577777777952,1,111,1,92,2,1,0,1,0,-67.4761904761905,0.0070125,0,0,0,0,0,0,1,0,0,0.0070125,0,14,-1,0,0,0,1,0
102,855.511111111291,1,109,1,92,2,1,0,2,0,-30.0753424657534,0.0069906,1,0,0,0,0,0,2,0,0,0.0069906,0,14,-1,2,0,0,0,0
103,868.622222222412,1,111,1,92,2,0,1,2,0,-68.5416666666667,0.0080701,0,0,0,0,0,0,2,0,0,0.0080701,0,14,-1,0,0,0,0,0
104,875.555555555751,1,110,1,92,2,1,0,1,0,-30.0169491525424,0.0050716,1,0,0,0,0,0,1,0,0,0.0050716,0,14,-1,1,0,0,0,0
105,895.600000000211,1,111,1,92,2,1,0,1,0,-30.0086206896552,0.0049705,1,0,0,0,0,0,1,0,0,0.0049705,0,15,-1,1,0,0,0,0
106,898.66666666688,1,113,1,93,2,0,1,2,0,-68.5,0.0079822,0,0,0,0,0,0,2,0,0,0.0079822,0,15,-1,0,0,0,0,0
107,915.644444444672,1,112,1,93,2,1,0,1,0,-29.1,0.0059951,1,0,0,0,0,0,1,0,0,0.0059951,0,15,-1,0,0,0,0,0
108,918.711111111341,1,114,1,92,2,0,1,3,0,-88.6071428571429,0.1504143,0,0,0,0,0,0,2,1,0,0.1504143,0,16,-1,2,0,0,1,0
109,925.688888889124,1,113,1,93,2,1,0,3,0,-27.2368421052632,0.0062604,1,0,0,0,0,0,3,0,0,0.0062604,0,16,-1,0,0,0,0,0
110,928.755555555793,1,115,1,92,2,0,1,2,0,-70.4444444444444,0.0091079,0,0,0,0,0,0,2,0,0,0.0091079,0,17,-1,2,0,0,1,0
111,935.733333333577,1,114,1,91,2,0,1,4,0,-76.4095238095238,0.2166803,0,0,0,0,0,0,0,1,0,0.2166803,0,17,-1,0,0,0,1,0
112,938.800000000246,1,115,1,91,2,0,1,2,0,-70.2,0.0080795,0,0,0,0,0,0,2,0,0,0.0080795,0,16,-1,2,0,0,1,0
113,948.844444444698,1,115,1,91,2,1,0,1,0,-69.1136363636364,0.0075104,0,0,0,0,0,0,1,0,0,0.0075104,0,15,-1,0,0,0,0,0
114,955.777777778037,1,114,1,91,2,0,1,1,0,-67.0172413793103,0.0065032,0,0,0,0,0,0,1,0,0,0.0065032,0,15,-1,0,0,0,1,0
115,965.822222222489,1,114,1,91,2,0,1,2,0,-64.375,0.0062296,0,0,0,0,0,0,2,0,0,0.0062296,0,15,-1,0,0,0,1,0
116,968.888888889159,1,114,1,91,2,0,1,1,0,-69.0975609756098,0.007966,0,0,0,0,0,0,1,0,0,0.007966,0,15,-1,0,0,0,0,0
117,975.866666666942,1,114,1,91,2,0,1,2,0,-68.3030303030303,0.0069917,0,0,0,0,0,0,2,0,0,0.0069917,0,15,-1,0,0,0,0,0
118,985.911111111394,1,114,1,91,2,1,0,3,0,-67.4285714285714,0.0059699,0,0,0,0,0,0,3,0,0,0.0059699,0,15,-1,0,0,0,0,0
119,988.933333333619,1,113,1,91,2,0,1,2,0,-68.225,0.0091197,0,0,0,0,0,0,2,0,0,0.0091197,0,15,-1,0,0,0,0,0
120,1015.95555555586,1,113,1,90,2,0,1,2,0,-84.0829545454546,0.1320743,0,0,0,0,0,0,1,1,0,0.1320743,0,15,-1,1,0,0,1,0
121,1028.9777777781,1,113,1,90,2,0,1,2,0,-68.1904761904762,0.0065232,0,0,0,0,0,0,2,0,0,0.0065232,0,15,-1,0,0,0,0,0
122,1049.02222222256,1,113,1,89,2,0,1,6,0,-82.9842105263158,0.332102,0,0,0,0,0,0,2,1,0,0.332102,0,15,-1,2,0,0,1,0
123,1056.00000000034,1,113,1,89,2,0,1,1,0,-69.025641025641,0.005971,0,0,0,0,0,0,1,0,0,0.005971,0,15,-1,0,0,0,0,0
124,1059.06666666701,1,113,1,89,2,0,1,1,0,-67.1612903225806,0.006164,0,0,0,0,0,0,1,0,0,0.006164,0,15,-1,0,0,0,1,0
125,1066.04444444479,1,113,1,89,2,0,1,2,0,-68.2083333333333,0.0075759,0,0,0,0,0,0,2,0,0,0.0075759,0,15,-1,0,0,0,0,0
126,1069.11111111146,1,113,1,89,2,0,1,1,0,-67.0147058823529,0.0072165,0,0,0,0,0,0,1,0,0,0.0072165,0,14,-1,0,0,0,1,0
127,1079.15555555591,1,113,1,89,2,1,0,3,0,-58.3055555555556,0.0069425,1,0,0,0,0,0,3,0,0,0.0069425,0,14,-1,1,0,0,0,0
128,1086.08888888925,1,114,1,89,2,0,1,3,0,-67.2045454545455,0.0074582,0,0,0,0,0,0,3,0,0,0.0074582,0,15,-1,0,0,0,0,0
129,1099.20000000037,1,114,1,89,2,1,0,2,0,-30.1052631578947,0.0078721,1,0,0,0,0,0,2,0,0,0.0078721,0,15,-1,2,0,0,0,0
130,1106.13333333371,1,115,1,88,2,1,0,1,0,-30.1451612903226,0.0079718,1,0,0,0,0,0,1,0,0,0.0079718,0,16,-1,1,0,0,0,0
131,1119.24444444483,1,116,1,88,2,1,0,1,0,-29.1724137931034,0.0059526,1,0,0,0,0,0,1,0,0,0.0059526,0,17,-1,0,0,0,0,0
132,1136.17777777818,1,117,1,88,2,0,1,1,0,-70.15,0.0065395,0,0,0,0,0,0,1,0,0,0.0065395,0,17,-1,1,0,0,0,0
133,1156.22222222264,1,117,1,88,2,1,0,1,0,-30.0087719298246,0.0039684,1,0,0,0,0,0,1,0,0,0.0039684,0,17,-1,1,0,0,0,0
134,1166.26666666709,1,118,1,88,2,1,0,1,0,-29.0263157894737,0.0049976,1,0,0,0,0,0,1,0,0,0.0049976,0,18,-1,0,0,0,0,0
135,1169.28888888932,1,119,1,87,2,0,1,2,0,-84.2393939393939,0.2203669,0,0,0,0,0,0,0,1,0,0.2203669,0,19,-1,0,0,0,1,0
136,1176.31111111155,1,119,1,86,2,0,1,2,0,-84.1801801801802,0.1005443,0,0,0,0,0,0,1,1,0,0.1005443,0,19,-1,1,0,0,1,0
137,1186.355555556,1,119,1,87,2,1,0,1,0,-27.1538461538462,0.0063679,1,0,0,0,0,0,1,0,0,0.0063679,0,19,-1,0,0,0,1,0
138,1196.40000000045,1,119,1,87,2,1,0,1,0,-27.14,0.0039659,1,0,0,0,0,0,1,0,0,0.0039659,0,19,-1,0,0,0,1,0
139,1209.33333333379,1,119,1,85,2,1,0,1,0,-70.0588235294118,0.0049708,0,0,0,0,0,0,1,0,0,0.0049708,0,19,-1,1,0,0,0,0
140,1216.44444444491,1,118,1,85,2,0,0,0,1,0,0.0033013,0,0,0,0,0,0,0,0,0,0.0033013,0,19,-1,0,0,0,0,0
141,1219.37777777825,1,118,2,87,4,0,1,1,1,-69.1617647058823,0.0085409,0,0,0,0,0,0,1,0,0,0.0085409,0,19,-1,0,0,0,0,0
142,1219.42222222269,1,118,1,85,2,0,0,0,1,0,0.0050015,0,0,0,0,0,0,0,0,0,0.0050015,0,19,-1,0,0,0,0,0
143,1228.04444444492,1,118,1,85,2,0,0,0,1,0,0.0039703,0,0,0,0,0,0,0,0,0,0.0039703,0,19,-1,0,0,0,0,0
144,1229.4222222227,1,118,2,87,4,0,1,2,1,-70.1515151515152,0.0084438,0,0,0,0,0,0,2,0,0,0.0084438,0,19,-1,2,0,0,0,0
145,1229.46666666714,1,118,1,85,2,0,0,0,1,0,0.0051241,0,0,0,0,0,0,0,0,0,0.0051241,0,19,-1,0,0,0,0,0
146,1229.91111111159,1,118,1,85,2,0,0,0,1,0,0.0056092,0,0,0,0,0,0,0,0,0,0.0056092,0,19,-1,0,0,0,0,0
147,1238.04444444493,1,118,1,85,2,0,0,0,1,0,0.0039982,0,0,0,0,0,0,0,0,0,0.0039982,0,19,-1,0,0,0,0,0
148,1246.48888888938,1,118,1,85,2,0,0,0,2,0,0.0049647,0,0,0,0,0,0,0,0,0,0.0049647,0,19,-1,0,0,0,0,0
149,1249.1111111116,1,118,1,85,2,0,0,0,2,0,0.0028917,0,0,0,0,0,0,0,0,0,0.0028917,0,19,-1,0,0,0,0,0
150,1249.46666666716,1,118,2,87,4,1,0,2,2,-68.1875,0.0092573,0,0,0,0,0,0,2,0,0,0.0092573,0,19,-1,0,0,0,0,0
151,1252.88888888938,1,117,1,86,2,0,0,0,2,0,0.0039665,0,0,0,0,0,0,0,0,0,0.0039665,0,19,-1,0,0,0,0,0
152,1256.53333333383,1,117,1,86,2,0,0,0,3,0,0.0029805,0,0,0,0,0,0,0,0,0,0.0029805,0,19,-1,0,0,0,0,0
153,1256.57777777828,1,117,1,86,2,0,0,0,3,0,0.0042567,0,0,0,0,0,0,0,0,0,0.0042567,0,19,-1,0,0,0,0,0
154,1259.11111111161,1,117,1,86,2,0,0,0,3,0,0.0049979,0,0,0,0,0,0,0,0,0,0.0049979,0,19,-1,0,0,0,0,0
155,1259.51111111161,1,117,2,88,4,0,1,3,3,-67.3947368421053,0.0096694,0,0,0,0,0,0,3,0,0,0.0096694,0,19,-1,0,0,0,0,0
156,1259.55555555606,1,117,1,86,2,0,0,0,3,0,0.0039614,0,0,0,0,0,0,0,0,0,0.0039614,0,19,-1,0,0,0,0,0
157,1262.88888888939,1,117,1,86,1,0,0,0,3,0,0.0039692,0,0,0,0,0,0,0,0,0,0.0039692,0,19,-1,0,0,0,0,0
158,1269.11111111162,1,117,1,86,2,0,3,4,0,-201,0.3122777,0,0,0,0,0,0,0,1,0,0.3122777,0,19,-1,0,0,0,1,0
159,1269.55555555606,1,116,1,87,2,1,0,2,0,-30.125,0.0039741,1,0,0,0,0,0,2,0,0,0.0039741,0,18,-1,2,0,0,0,0
160,1276.57777777829,1,118,1,87,2,0,1,1,0,-67.5,0.0039697,0,0,0,0,0,0,1,0,0,0.0039697,0,19,-1,0,0,0,1,0
161,1286.62222222274,1,118,1,87,2,1,0,1,0,-0.0416666666666667,0.0039703,1,0,0,0,0,0,1,0,0,0.0039703,0,19,-1,1,0,0,1,0
162,1289.60000000052,1,119,1,87,2,1,0,1,0,-30.14,0.0053921,1,0,0,0,0,0,1,0,0,0.0053921,0,20,-1,1,0,0,0,0
163,1296.6666666672,1,120,1,89,2,0,0,0,1,0,0.0039673,0,0,0,0,0,0,0,0,0,0.0039673,0,21,-1,0,0,0,0,0
164,1296.71111111164,1,120,1,89,2,0,0,0,1,0,0.0049961,0,0,0,0,0,0,0,0,0,0.0049961,0,21,-1,0,0,0,0,0
165,1306.71111111165,1,120,1,89,2,1,1,4,0,-134.131493506494,0.4335758,0,0,0,0,0,0,0,1,0,0.4335758,0,21,-1,0,0,0,1,0
166,1309.64444444499,1,119,1,88,2,0,1,1,0,-69.1333333333333,0.0043508,0,0,0,0,0,0,1,0,0,0.0043508,0,21,-1,0,0,0,0,0
