parent,units,children,firstChildDone,lastChildDone,consolidated,consolidationWait,placed,submitted
440,3,2,2779.68888888686,3222.66666666272,3222.66666666272,442.977777775864,2485.68888888813,2689.02222222058
330,2,2,2193.64444444494,3313.24444444011,3313.24444444011,1119.59999999516,1701.60000000085,2163.42222222285
327,5,2,2497.59999999919,3343.42222221775,3343.42222221775,845.822222218568,1661.51111111193,2386.84444444411
465,4,2,3119.9999999965,3363.555555551,3363.555555551,243.555555554503,2666.97777777623,3071.59999999671
358,4,2,2477.46666666594,3371.59999999541,3371.59999999541,894.133333329471,1894.04444444545,2376.75555555526
399,4,2,2799.8222222201,3403.82222221749,3403.82222221749,603.999999997391,2185.42222222276,2699.11111110943
510,3,2,3081.68888888555,3411.8666666619,3411.8666666619,330.177777776351,3021.24444444137,3031.33333333021
499,3,2,3291.11111110687,3492.44444443933,3492.44444443933,201.333333332464,2880.31111110864,3140.13333332974
460,4,2,3099.86666666325,3502.53333332818,3502.53333332818,402.666666664927,2646.84444444299,3051.46666666346
176,3,2,885.822222222426,3554.79999999462,3554.79999999462,2668.97777777219,554.79999999994,805.555555555695
467,2,2,3444.04444443954,3583.11111110561,3583.11111110561,139.066666666066,2687.11111110948,3391.73333332866
479,3,3,3021.24444444137,3723.68888888278,3723.68888888278,702.44444444141,2749.46666666476,2890.39999999749
100,3,2,235.822222222249,3754.31111110487,3754.31111110487,3518.48888888262,0,145.688888888901
127,4,3,1412.9777777784,3774.44444443811,3774.44444443811,2361.46666665971,202.666666666688,1272.71111111162
7,2,2,293.111111111123,3794.6222222158,3794.6222222158,3501.51111110468,0,232.755555555582
521,2,2,3603.2888888833,3864.44444443773,3864.44444443773,261.155555554427,3101.8222222188,3512.62222221702
90,2,2,252.844444444474,4055.77777777023,4055.77777777023,3802.93333332576,0,172.577777777795
310,3,2,1813.86666666761,4086.22222221455,4086.22222221455,2272.35555554694,1523.2888888896,1673.60000000083
427,4,2,2517.73333333243,4126.35555554802,4126.35555554802,1608.62222221558,2384.97777777745,2396.93333333295
214,2,2,1132.35555555596,4136.13333332585,4136.13333332585,3003.7777777699,818.622222222372,1102.26666666704
117,6,3,1310.57777777832,4206.31111110404,4206.31111110404,2895.73333332572,102.355555555561,1230.31111111159
587,4,2,3814.31111110461,4255.11111110433,4255.11111110433,440.799999999723,3643.55555554979,3705.82222221619
634,3,2,4286.57777777118,4345.28888888264,4345.28888888264,58.7111111114582,3995.37777777049,4206.31111110404
603,2,2,3975.24444443725,4376.88888888283,4376.88888888283,401.644444445583,3743.86666666047,3884.57777777097
429,2,2,2566.26666666556,4467.11111110559,4467.11111110559,1900.84444444003,2395.0666666663,2445.46666666608
455,3,2,3542.84444443911,4497.19999999465,4497.19999999465,954.355555555537,2598.35555555431,3462.22222221724
557,3,2,3482.35555555049,4536.62222221711,4536.62222221711,1054.26666666662,3391.73333332866,3411.8666666619
654,5,2,4246.48888888206,4577.33333332846,4577.33333332846,330.8444444464,4176.22222221498,4176.26666665942
618,4,2,4325.24444443808,4596.7555555508,4596.7555555508,271.511111112716,3884.7111111043,4176.4444444372
301,6,3,1914.08888888991,4636.31111110659,4636.31111110659,2722.22222221667,1463.11111111177,1783.7777777787
443,4,2,4066.04444443685,4666.39999999565,4666.39999999565,600.355555558798,2515.86666666577,4025.82222221481
572,5,3,3705.82222221619,4666.93333332899,4666.93333332899,961.1111111128,3532.79999999471,3605.11111110551
