decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
27,283.022222222239,1,100,1,90,2,1,0,1,0,-29.1153846153846,0.0039844,1,0,0,0,0,0,1,0,0,0.0039844,0,12,-1,0,0,0,0,0
28,286.133333333349,1,100,1,89,2,0,1,2,0,-68.0987654320988,0.0040304,0,0,0,0,0,0,2,0,0,0.0040304,0,13,-1,0,0,0,0,0
29,293.111111111123,1,100,1,89,2,1,0,1,0,-29.1,0.0040005,1,0,0,0,0,0,1,0,0,0.0040005,0,13,-1,0,0,0,0,0
30,296.222222222233,1,100,1,89,2,1,0,1,0,-29.0379746835443,0.0030323,1,0,0,0,0,0,1,0,0,0.0030323,0,14,-1,0,0,0,0,0
31,303.200000000007,1,100,1,88,2,0,1,5,0,-81.9071428571429,0.2385231,0,0,0,0,0,0,0,1,0,0.2385231,0,15,-1,0,0,0,1,0
32,316.355555555556,1,100,1,87,2,0,1,5,0,-80.1794871794872,0.1199343,0,0,0,0,0,0,3,1,0,0.1199343,0,15,-1,3,0,0,1,0
33,323.333333333331,1,100,1,88,2,1,0,1,0,-67.26,0.0019967,0,0,0,0,0,0,1,0,0,0.0019967,0,15,-1,0,0,0,1,0
34,326.44444444444,1,100,1,88,2,0,1,1,0,-67.0763888888889,0.0030009,0,0,0,0,0,0,1,0,0,0.0030009,0,15,-1,0,0,0,1,0
35,333.422222222215,1,100,1,88,2,0,1,1,0,-69.0086206896552,0.0020005,0,0,0,0,0,0,1,0,0,0.0020005,0,15,-1,0,0,0,0,0
36,336.533333333324,1,100,1,88,2,0,1,1,0,-70.02,0.0039965,0,0,0,0,0,0,1,0,0,0.0039965,0,15,-1,1,0,0,1,0
37,343.511111111099,1,100,1,90,2,1,0,2,0,-30.1666666666667,0.0020029,1,0,0,0,0,0,2,0,0,0.0020029,0,15,-1,2,0,0,0,0
38,346.622222222208,1,100,1,90,2,0,1,1,0,-69.0632911392405,0.0039718,0,0,0,0,0,0,1,0,0,0.0039718,0,15,-1,0,0,0,0,0
39,353.599999999983,1,100,1,90,2,1,0,2,0,-30.0909090909091,0.0019998,1,0,0,0,0,0,2,0,0,0.0019998,0,15,-1,2,0,0,0,0
40,363.688888888867,1,100,1,90,2,1,0,1,0,-29.0142857142857,0.0009975,1,0,0,0,0,0,1,0,0,0.0009975,0,16,-1,0,0,0,0,0
41,366.755555555532,1,100,1,89,2,0,1,1,0,-69.0576923076923,0.0030009,0,0,0,0,0,0,1,0,0,0.0030009,0,17,-1,0,0,0,0,0
42,376.844444444416,1,100,1,89,2,0,1,1,0,-69.051948051948,0.0040017,0,0,0,0,0,0,1,0,0,0.0040017,0,17,-1,0,0,0,0,0
43,383.82222222219,1,100,1,89,2,0,0,0,1,0,0.0019993,0,0,0,0,0,0,0,0,0,0.0019993,0,17,-1,0,0,0,0,0
44,393.911111111074,1,100,1,89,2,0,0,0,1,0,0.0020015,0,0,0,0,0,0,0,0,0,0.0020015,0,17,-1,0,0,0,0,0
45,403.955555555514,1,100,1,88,2,1,1,4,0,-145.7275,0.4281381,0,0,0,0,0,0,0,1,0,0.4281381,0,17,-1,0,0,0,1,0
46,417.066666666619,1,100,1,87,2,0,1,2,0,-79.3793859649123,0.1495167,0,0,0,0,0,0,1,1,0,0.1495167,0,17,-1,1,0,0,1,0
47,437.199999999942,1,100,1,90,2,1,0,3,0,-70.12,0.0040289,0,0,0,0,0,0,3,0,0,0.0040289,0,17,-1,3,0,0,1,0
48,447.288888888826,1,99,1,90,2,0,1,2,0,-70.0857142857143,0.0040026,0,0,0,0,0,0,2,0,0,0.0040026,0,18,-1,2,0,0,1,0
49,454.222222222156,1,100,1,90,2,1,0,2,0,-68.2857142857143,0.0040027,0,0,0,0,0,0,2,0,0,0.0040027,0,18,-1,0,0,0,0,0
50,457.37777777771,1,100,1,90,2,0,1,1,0,-70.0151515151515,0.0029656,0,0,0,0,0,0,1,0,0,0.0029656,0,18,-1,1,0,0,1,0
51,464.31111111104,1,100,1,88,2,1,0,1,0,-29.1363636363636,0.0029997,1,0,0,0,0,0,1,0,0,0.0029997,0,17,-1,0,0,0,0,0
52,467.466666666594,1,100,1,88,2,1,0,1,0,-69.3260869565217,0.0029754,0,0,0,0,0,0,1,0,0,0.0029754,0,18,-1,0,0,0,0,0
53,474.399999999924,1,100,1,89,2,0,0,0,1,0,0.0020012,0,0,0,0,0,0,0,0,0,0.0020012,0,18,-1,0,0,0,0,0
54,474.444444444369,1,100,1,89,2,0,0,0,1,0,0.0020359,0,0,0,0,0,0,0,0,0,0.0020359,0,18,-1,0,0,0,0,0
55,477.555555555478,1,100,2,90,3,0,1,1,1,-69.3181818181818,0.0040025,0,0,0,0,0,0,1,0,0,0.0040025,0,18,-1,0,0,0,0,0
56,477.599999999923,1,100,1,88,1,0,0,0,1,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0,18,-1,0,0,0,0,0
57,484.488888888808,1,100,1,88,2,0,2,3,0,-128.5,0.3658836,0,0,0,0,0,0,0,1,0,0.3658836,0,18,-1,0,0,0,1,0
58,514.666666666575,1,99,1,88,2,0,1,1,0,-67.5,0.0030011,0,0,0,0,0,0,1,0,0,0.0030011,0,17,-1,0,0,0,1,0
59,517.733333333244,1,99,1,88,2,0,1,2,0,-68.375,0.0050088,0,0,0,0,0,0,2,0,0,0.0050088,0,17,-1,0,0,0,0,0
60,524.711111111027,1,99,1,88,2,0,1,1,0,-69.5,0.0029995,0,0,0,0,0,0,1,0,0,0.0029995,0,17,-1,0,0,0,0,0
61,537.777777777704,1,100,1,88,2,0,1,2,0,-68.3181818181818,0.0039985,0,0,0,0,0,0,2,0,0,0.0039985,0,17,-1,0,0,0,0,0
62,544.755555555488,1,99,1,90,2,0,1,2,0,-68.2083333333333,0.0040017,0,0,0,0,0,0,2,0,0,0.0040017,0,16,-1,0,0,0,0,0
63,547.822222222157,1,100,1,89,2,0,1,3,0,-84.3452380952381,0.1969078,0,0,0,0,0,0,2,1,0,0.1969078,0,16,-1,2,0,0,1,0
64,554.79999999994,1,99,1,88,1,0,1,3,0,-70.2045454545455,0.1057443,0,0,0,0,0,0,3,0,0,0.1057443,0,16,-1,3,0,0,1,0
65,557.866666666609,1,100,1,90,2,0,1,2,0,-70.2,0.004001,0,0,0,0,0,0,2,0,0,0.004001,0,16,-1,2,0,0,1,0
66,564.844444444393,1,100,1,89,2,0,1,2,0,-59.2272727272727,0.2174317,0,0,0,0,0,0,0,1,0,0.2174317,0,16,-1,0,0,0,1,0
67,567.911111111062,1,100,1,89,2,0,1,1,0,-67.125,0.0044353,0,0,0,0,0,0,1,0,0,0.0044353,0,15,-1,0,0,0,1,0
68,577.955555555514,1,100,1,89,2,0,1,2,0,-70.2777777777778,0.0050242,0,0,0,0,0,0,2,0,0,0.0050242,0,15,-1,2,0,0,0,0
69,584.888888888853,1,100,1,89,2,1,0,1,0,-27.075,0.0029955,1,0,0,0,0,0,1,0,0,0.0029955,0,15,-1,0,0,0,1,0
70,594.933333333305,1,100,1,89,2,1,0,2,0,-24.1052631578947,0.0020279,1,0,0,0,0,0,2,0,0,0.0020279,0,16,-1,0,0,0,1,0
71,597.999999999975,1,100,1,88,2,0,1,1,0,-69.1,0.0050277,0,0,0,0,0,0,1,0,0,0.0050277,0,17,-1,0,0,0,0,0
72,604.977777777758,1,100,1,88,2,0,0,0,1,0,0.0020003,0,0,0,0,0,0,0,0,0,0.0020003,0,17,-1,0,0,0,0,0
