timeSec,inboundPods,freeCapacity,state,chosenT
13322.799999941832,7,1,7,1
13442.844444384529,4,0,0,2
13562.888888827227,6,0,3,3
13682.933333269924,7,0,6,1
13802.977777712622,5,2,4,3
13923.022222155319,7,0,6,1
14043.066666598017,3,4,2,1
14163.111111040715,3,0,0,2
14283.155555483412,6,1,4,1
timeSec,inboundPods,freeCapacity,state,chosenT
0.044444444444444446,2,0,0,1
120.04444444445299,3,1,1,3
240.04444444447174,6,0,3,3
360.08888888886838,5,0,3,3
480.13333333325482,5,0,3,3
600.13333333330957,7,1,7,3
720.13333333340506,7,0,6,1
840.13333333350056,4,0,0,2
960.133333333596,5,1,4,3
1080.1333333336916,7,1,7,1
1200.133333333787,2,0,0,2
1320.1333333338825,4,1,1,1
1440.133333333978,4,0,0,2
1560.1333333340735,5,2,4,4
1680.133333334169,9,0,6,1
1800.1333333342645,4,3,2,1
1920.13333333436,3,5,2,3
2040.1333333344555,6,0,3,3
2160.1777777784214,8,1,7,1
2280.2222222223472,4,1,1,3
2400.2666666662731,7,0,6,1
2520.3111111101989,4,3,2,1
2640.3555555541247,4,0,0,2
2760.3999999980506,6,0,3,3
2880.4444444419764,6,1,4,3
3000.4888888859023,7,0,6,1
3120.5333333298281,4,0,0,2
3240.577777773754,5,0,3,3
3360.62222221768,6,0,3,3
3480.6666666616056,6,1,4,3
3600.7111111055315,6,0,3,3
3720.7555555494573,7,0,6,2
3840.7999999933832,6,0,3,3
3960.844444437309,6,1,4,3
4080.8888888812348,6,0,3,3
4200.8888888817892,6,0,3,3
4320.8888888824986,6,2,4,3
4440.888888883208,8,1,7,1
4560.8888888839174,3,0,0,2
4680.8888888846268,5,0,3,3
4800.8888888853362,6,0,3,3
4920.8888888860456,7,1,7,3
5040.888888886755,7,2,7,4
5160.8888888874644,9,0,6,1
5280.8888888881738,5,1,4,3
5400.8888888888832,7,0,6,1
5520.8888888895926,3,4,2,1
5640.888888890302,4,2,1,3
5760.8888888910114,7,1,7,3
5880.8888888917209,8,0,6,4
6000.88888889243,9,0,6,1
6120.88888889314,4,1,1,3
6240.8888888938491,6,1,4,3
6360.8888888945585,6,0,3,4
6480.8888888952679,8,0,6,4
6600.8888888959773,9,0,6,1
6720.8888888966867,4,2,1,3
6840.8888888973961,7,1,7,3
6960.8888888981055,7,2,7,3
7080.8888888988149,7,0,6,1
7200.8888888995243,4,0,0,2
7320.8888889002337,6,2,4,3
7440.8888889009431,5,1,4,3
7560.8888889016525,6,1,4,3
7680.8888889023619,8,0,6,1
7800.8888889030713,5,3,5,1
7920.8888889037808,4,2,1,3
8040.88888890449,6,1,4,3
8160.8888889052,7,1,7,3
8280.9333333485338,7,0,6,1
8400.9777777912313,4,4,2,1
8521.0222222339289,3,1,1,3
8641.0666666766265,7,1,7,4
8761.1111111193241,8,0,6,2
8881.1555555620216,6,0,3,4
9001.20000000472,10,0,6,4
9121.2444444474168,7,0,6,1
9241.2888888901143,3,0,0,2
9361.3333333328119,5,0,3,3
9481.37777777551,8,0,6,1
9601.422222218207,4,1,1,2
9721.4666666609046,4,1,1,3
9841.5111111036022,8,1,7,3
9961.5555555463,8,1,7,3
10081.599999988997,7,0,6,1
10201.644444431695,3,4,2,4
10321.688888874392,8,0,6,4
10441.73333331709,8,0,6,1
10561.777777759788,4,3,2,1
10681.822222202485,4,0,0,2
10801.866666645183,5,0,3,3
10921.91111108788,7,0,6,1
11041.955555530578,4,0,0,2
11161.999999973275,5,0,3,3
11282.044444415973,7,0,6,1
11402.088888858671,4,0,0,2
11522.133333301368,5,1,4,3
11642.177777744066,7,0,6,1
11762.222222186763,4,0,0,2
11882.266666629461,4,0,0,2
12002.311111072158,6,0,3,3
12122.355555514856,6,0,3,3
12242.399999957554,6,0,3,3
12362.444444400251,7,0,6,2
12482.488888842949,6,0,3,3
12602.533333285646,8,0,6,1
12722.577777728344,4,0,0,2
12842.622222171041,6,1,4,3
12962.666666613739,7,0,6,1
13082.711111056436,4,2,1,3
13202.755555499134,7,2,7,3
13322.799999941832,6,0,3,3
13442.844444384529,6,0,3,3
13562.888888827227,7,0,6,1
13682.933333269924,4,2,1,3
13802.977777712622,6,0,3,3
13923.022222155319,7,0,6,1
14043.066666598017,4,1,1,3
14163.111111040715,6,2,4,3
14283.155555483412,6,1,4,1
timeSec,inboundPods,freeCapacity,state,chosenT
0.044444444444444446,2,0,0,2
120.04444444445299,5,0,3,3
240.04444444447174,6,0,3,3
360.08888888886838,6,0,3,3
480.13333333325482,7,0,6,1
600.13333333330957,3,0,0,2
720.13333333340506,5,1,4,3
840.13333333350056,7,0,6,1
960.133333333596,4,0,0,2
1080.1333333336916,6,0,3,3
1200.133333333787,6,0,3,3
1320.1333333338825,5,0,3,3
1440.133333333978,7,1,7,3
1560.1333333340735,7,0,6,1
1680.133333334169,4,5,2,1
1800.1333333342645,4,1,1,3
1920.13333333436,6,0,3,3
2040.1333333344555,7,0,6,1
2160.1777777784214,4,0,0,2
2280.2222222223472,6,1,4,3
2400.2666666662731,5,0,3,3
2520.3111111101989,7,0,6,1
2640.3555555541247,4,3,2,1
2760.3999999980506,3,1,1,3
2880.4444444419764,8,0,6,1
3000.4888888859023,4,4,2,1
3120.5333333298281,4,0,0,2
3240.577777773754,4,1,1,3
3360.62222221768,5,0,3,3
3480.6666666616056,6,1,4,3
3600.7111111055315,7,0,6,1
3720.7555555494573,3,1,1,3
3840.7999999933832,7,0,6,1
3960.844444437309,4,0,0,2
4080.8888888812348,4,4,2,1
4200.8888888817892,4,0,0,2
4320.8888888824986,5,3,5,1
4440.888888883208,4,3,2,1
4560.8888888839174,4,0,0,2
4680.8888888846268,4,0,0,2
4800.8888888853362,5,0,3,3
4920.8888888860456,6,0,3,3
5040.888888886755,4,0,0,2
5160.8888888874644,5,1,4,3
5280.8888888881738,7,1,7,3
5400.8888888888832,7,0,6,1
5520.8888888895926,4,1,1,3
5640.888888890302,6,0,3,3
5760.8888888910114,6,1,4,3
5880.8888888917209,6,0,3,3
6000.88888889243,6,1,4,3
6120.88888889314,6,2,4,3
6240.8888888938491,7,0,6,1
6360.8888888945585,4,1,1,3
6480.8888888952679,8,0,6,1
6600.8888888959773,4,0,0,2
6720.8888888966867,5,2,4,3
6840.8888888973961,7,1,7,3
6960.8888888981055,6,0,3,3
7080.8888888988149,8,1,7,3
7200.8888888995243,8,0,6,1
7320.8888889002337,4,0,0,2
7440.8888889009431,6,1,4,3
7560.8888889016525,8,0,6,1
7680.8888889023619,4,1,1,3
7800.8888889030713,8,1,7,3
7920.8888889037808,7,0,6,1
8040.88888890449,5,1,4,3
8160.8888889052,7,0,6,1
8280.9333333485338,3,0,0,2
8400.9777777912313,6,2,4,3
8521.0222222339289,7,0,6,1
8641.0666666766265,5,1,4,3
8761.1111111193241,8,2,7,3
8881.1555555620216,6,1,4,3
9001.20000000472,6,0,3,3
9121.2444444474168,8,2,7,3
9241.2888888901143,6,0,3,3
9361.3333333328119,8,0,6,1
9481.37777777551,4,1,1,3
9601.422222218207,7,0,6,1
9721.4666666609046,4,1,1,3
9841.5111111036022,7,0,6,1
9961.5555555463,3,3,2,1
10081.599999988997,4,1,1,3
10201.644444431695,8,0,6,1
10321.688888874392,4,1,1,3
10441.73333331709,8,0,6,1
10561.777777759788,4,2,1,3
10681.822222202485,8,0,6,1
10801.866666645183,6,4,5,1
10921.91111108788,3,5,2,1
11041.955555530578,4,0,0,2
11161.999999973275,5,0,3,3
11282.044444415973,8,2,7,3
11402.088888858671,6,0,3,3
11522.133333301368,7,0,6,1
11642.177777744066,3,4,2,1
11762.222222186763,4,1,1,3
11882.266666629461,6,0,3,3
12002.311111072158,7,0,6,1
12122.355555514856,4,1,1,3
12242.399999957554,8,2,7,3
12362.444444400251,7,0,6,1
12482.488888842949,4,1,1,3
12602.533333285646,7,2,7,3
12722.577777728344,7,0,6,1
12842.622222171041,3,4,2,1
12962.666666613739,4,0,0,2
13082.711111056436,5,1,4,3
13202.755555499134,6,0,3,3
13322.799999941832,6,0,3,3
13442.844444384529,7,0,6,1
13562.888888827227,4,0,0,2
13682.933333269924,6,0,3,3
13802.977777712622,5,0,3,3
13923.022222155319,8,0,6,1
14043.066666598017,4,2,1,3
14163.111111040715,7,0,6,1
14283.155555483412,5,0,3,3
