#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
600;7;10;2;2;0/570.04,1/450.4;0/30.76,1/41.51;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/8;0/3,1/2;0/5,1/5;0/1,1/6;0/5,1/5;0/3,1/15;0/57,1/56
659.96;8;11;2;2;0/630,1/485.64;0/30.93,1/41.69;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/1,1/7;0/6,1/5;0/3,1/18;0/63,1/62
719.96;8;12;2;2;0/690,1/540.4;0/31.11,1/41.82;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/4;0/13,1/11;0/3,1/2;0/5,1/5;0/1,1/7;0/6,1/6;0/3,1/18;0/69,1/68
779.96;9;13;2;2;0/750,1/563.64;0/31.2,1/41.96;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/1,1/0;0/12,1/13;0/3,1/2;0/5,1/5;0/1,1/8;0/7,1/6;0/3,1/22;0/75,1/74
839.96;11;14;2;2;0/800.04,1/613.02;0/31.33,1/42;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/2,1/9;0/7,1/7;0/4,1/23;0/81,1/80
899.96;12;16;2;2;0/846.13,1/660.67;0/31.47,1/42.18;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/2,1/0;0/8,1/12;0/3,1/2;0/5,1/5;0/3,1/9;0/8,1/8;0/6,1/24;0/87,1/86
959.96;13;18;2;2;0/882.76,1/720.67;0/31.64,1/42.31;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/4,1/9;0/10,1/8;0/8,1/24;0/93,1/92
1019.96;13;18;2;2;0/940.22,1/780.67;0/31.78,1/42.4;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/2;0/0,1/0;0/0,1/2;0/11,1/9;0/3,1/2;0/5,1/5;0/4,1/9;0/10,1/8;0/8,1/24;0/99,1/98
1079.96;13;20;2;2;0/1000.22,1/840.67;0/31.96,1/42.53;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/3;0/19,1/9;0/3,1/2;0/5,1/5;0/4,1/9;0/11,1/9;0/8,1/24;0/105,1/104
1139.96;15;22;2;2;0/1060.22,1/870.8;0/32,1/42.71;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/1,1/0;0/16,1/10;0/3,1/2;0/5,1/5;0/4,1/11;0/12,1/10;0/8,1/27;0/111,1/110
1199.96;16;24;2;2;0/1110.27,1/930.8;0/32.09,1/42.84;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/2;0/14,1/9;0/3,1/2;0/5,1/5;0/5,1/11;0/13,1/11;0/9,1/27;0/117,1/116
1259.96;18;25;2;2;0/1170.27,1/970.89;0/32.22,1/42.98;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/0;0/0,1/0;0/1,1/1;0/12,1/11;0/3,1/2;0/5,1/5;0/5,1/13;0/14,1/11;0/9,1/29;0/123,1/122
1319.96;20;26;2;2;0/1220.31,1/1020.93;0/32.27,1/43.16;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/16;0/3,1/2;0/5,1/5;0/6,1/14;0/14,1/12;0/10,1/30;0/129,1/128
1379.96;21;27;2;2;0/1280.31,1/1070.98;0/32.44,1/43.16;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/0;0/0,1/0;0/0,1/3;0/9,1/10;0/3,1/2;0/5,1/5;0/6,1/15;0/14,1/13;0/10,1/31;0/135,1/134
1439.96;23;28;2;2;0/1340.31,1/1101.11;0/32.58,1/43.29;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/7;0/3,1/2;0/5,1/5;0/6,1/17;0/15,1/13;0/10,1/34;0/141,1/140
1499.96;23;28;2;2;0/1400.31,1/1161.11;0/32.76,1/43.47;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/1;0/0,1/0;0/1,1/1;0/5,1/7;0/3,1/2;0/5,1/5;0/6,1/17;0/15,1/13;0/10,1/34;0/147,1/146
1559.96;25;30;2;2;0/1450.36,1/1215.11;0/33.02,1/43.69;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/1;0/8,1/9;0/3,1/2;0/5,1/5;0/7,1/18;0/15,1/15;0/11,1/35;0/153,1/152
1619.96;26;31;2;2;0/1510.36,1/1261.2;0/33.2,1/43.82;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/3,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/7,1/19;0/16,1/15;0/11,1/36;0/159,1/158
1679.96;28;32;2;2;0/1540.49,1/1311.24;0/33.33,1/44;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/0;0/0,1/0;0/1,1/0;0/11,1/11;0/3,1/2;0/5,1/5;0/8,1/20;0/17,1/15;0/14,1/37;0/165,1/164
1739.96;29;33;2;2;0/1590.53,1/1371.24;0/33.47,1/44.13;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/2;0/0,1/0;0/0,1/4;0/10,1/9;0/3,1/2;0/5,1/5;0/9,1/20;0/18,1/15;0/15,1/37;0/171,1/170
1799.96;31;35;2;2;0/1650.53,1/1410.58;0/33.56,1/44.22;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/1,1/1;0/8,1/8;0/3,1/2;0/5,1/5;0/9,1/22;0/19,1/16;0/15,1/40;0/177,1/176
1859.96;32;37;2;2;0/1700.58,1/1451.42;0/33.69,1/44.36;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/0,1/0;0/1,1/2;0/8,1/8;0/3,1/2;0/5,1/5;0/10,1/22;0/20,1/17;0/16,1/41;0/183,1/182
1919.96;35;38;2;2;0/1750.62,1/1481.56;0/33.82,1/44.53;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/11,1/24;0/21,1/17;0/17,1/44;0/189,1/188
1979.96;37;39;2;2;0/1800.67,1/1531.6;0/33.96,1/44.62;0/1979.96,1/1979.96;0/1979.96,1/1979.96;0/0,1/1;0/0,1/0;0/1,1/1;0/12,1/8;0/3,1/2;0/5,1/5;0/12,1/25;0/22,1/17;0/18,1/45;0/195,1/194
2039.96;39;40;2;2;0/1850.71,1/1586.18;0/34.09,1/44.84;0/2039.96,1/2039.96;0/2039.96,1/2039.96;0/0,1/0;0/0,1/0;0/0,1/1;0/12,1/13;0/3,1/2;0/5,1/5;0/13,1/26;0/22,1/18;0/19,1/46;0/201,1/200
2099.96;40;42;2;2;0/1910.71,1/1631.64;0/34.44,1/45.11;0/2099.96,1/2099.96;0/2099.96,1/2099.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/13,1/27;0/23,1/19;0/19,1/47;0/207,1/206
2159.96;41;43;2;2;0/1960.71,1/1691.64;0/34.8,1/45.51;0/2159.96,1/2159.96;0/2159.96,1/2159.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/14,1/27;0/23,1/20;0/20,1/47;0/213,1/212
2219.96;42;44;2;2;0/2020.71,1/1741.64;0/35.2,1/45.96;0/2219.96,1/2219.96;0/2219.96,1/2219.96;0/2,1/0;0/0,1/1;0/2,1/1;0/7,1/10;0/3,1/2;0/5,1/5;0/14,1/28;0/23,1/21;0/20,1/48;0/219,1/218
2279.96;44;46;2;2;0/2060.71,1/1791.64;0/35.64,1/46.36;0/2279.96,1/2279.96;0/2279.96,1/2279.96;0/0,1/1;0/0,1/0;0/0,1/4;0/10,1/8;0/3,1/2;0/5,1/5;0/15,1/29;0/24,1/22;0/22,1/49;0/225,1/224
2340;47;48;2;2;0/2110.76,1/1821.69;0/36.04,1/46.8;0/2340,1/2340;0/2340,1/2340;0/1,1/1;0/0,1/0;0/2,1/2;0/8,1/6;0/3,1/2;0/5,1/5;0/16,1/31;0/25,1/23;0/23,1/52;0/231,1/230
2400;50;49;2;2;0/2160.76,1/1861.69;0/36.49,1/47.29;0/2400,1/2400;0/2400,1/2400;0/0,1/0;0/0,1/0;0/1,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/17,1/33;0/26,1/23;0/24,1/54;0/237,1/236
2460;51;51;2;2;0/2210.76,1/1921.69;0/36.89,1/47.69;0/2460,1/2460;0/2460,1/2460;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/7;0/3,1/2;0/5,1/5;0/18,1/33;0/27,1/24;0/25,1/54;0/243,1/242
2520;54;52;2;2;0/2269.87,1/1962.04;0/37.29,1/48.13;0/2520,1/2520;0/2520,1/2520;0/1,1/0;0/0,1/0;0/4,1/1;0/10,1/11;0/3,1/2;0/5,1/5;0/19,1/35;0/27,1/25;0/26,1/56;0/249,1/248
2580;57;54;2;2;0/2293.07,1/2005.56;0/37.69,1/48.58;0/2580,1/2580;0/2580,1/2580;0/0,1/1;0/0,1/1;0/1,1/1;0/11,1/15;0/3,1/2;0/5,1/5;0/21,1/36;0/28,1/26;0/29,1/58;0/255,1/254
2640;59;55;2;2;0/2340.76,1/2051.69;0/38.04,1/48.89;0/2640,1/2640;0/2640,1/2640;0/0,1/1;0/0,1/0;0/1,1/3;0/9,1/11;0/3,1/2;0/5,1/5;0/22,1/37;0/29,1/26;0/30,1/59;0/261,1/260
2700;61;56;2;2;0/2380.76,1/2091.69;0/38.44,1/49.24;0/2700,1/2700;0/2700,1/2700;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/7;0/3,1/2;0/5,1/5;0/23,1/38;0/29,1/27;0/32,1/61;0/267,1/266
2760;63;58;2;2;0/2430.76,1/2141.69;0/38.8,1/49.73;0/2760,1/2760;0/2760,1/2760;0/2,1/0;0/0,1/0;0/2,1/1;0/9,1/10;0/3,1/2;0/5,1/5;0/24,1/39;0/30,1/28;0/33,1/62;0/273,1/272
2820;65;60;2;2;0/2470.76,1/2191.69;0/39.24,1/50.04;0/2820,1/2820;0/2820,1/2820;0/0,1/0;0/1,1/0;0/1,1/0;0/12,1/11;0/3,1/2;0/5,1/5;0/25,1/40;0/31,1/29;0/35,1/63;0/279,1/277
2880;67;62;2;2;0/2520.76,1/2242.67;0/39.56,1/50.4;0/2880,1/2880;0/2880,1/2880;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/26,1/41;0/32,1/30;0/36,1/64;0/285,1/283
2940;67;64;2;2;0/2580.76,1/2301.69;0/39.96,1/50.8;0/2940,1/2940;0/2940,1/2940;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/10;0/3,1/2;0/5,1/5;0/26,1/41;0/34,1/30;0/36,1/64;0/291,1/289
3000;69;66;2;2;0/2630.76,1/2355.42;0/40.27,1/51.16;0/3000,1/3000;0/3000,1/3000;0/0,1/0;0/0,1/0;0/0,1/1;0/5,1/7;0/3,1/2;0/5,1/5;0/27,1/42;0/35,1/31;0/37,1/65;0/296,1/295
3060;69;68;2;2;0/2690.76,1/2401.69;0/40.71,1/51.64;0/3060,1/3060;0/3060,1/3060;0/0,1/2;0/0,1/0;0/0,1/4;0/8,1/11;0/3,1/2;0/5,1/5;0/27,1/42;0/36,1/32;0/37,1/66;0/302,1/301
3120;72;69;2;2;0/2740.76,1/2441.69;0/41.16,1/52;0/3120,1/3120;0/3120,1/3120;0/0,1/2;0/0,1/0;0/0,1/4;0/13,1/7;0/3,1/2;0/5,1/5;0/28,1/44;0/37,1/32;0/38,1/68;0/308,1/307
3180;74;72;2;2;0/2800.76,1/2481.69;0/41.47,1/52.44;0/3180,1/3180;0/3180,1/3180;0/0,1/2;0/0,1/0;0/0,1/3;0/11,1/10;0/3,1/2;0/5,1/5;0/28,1/46;0/38,1/34;0/38,1/70;0/314,1/313
3240;77;73;2;2;0/2850.76,1/2521.69;0/41.82,1/52.89;0/3240,1/3240;0/3240,1/3240;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/10;0/3,1/2;0/5,1/5;0/29,1/48;0/38,1/35;0/39,1/72;0/320,1/319
3300;78;75;2;2;0/2910.76,1/2571.69;0/42.18,1/53.29;0/3300,1/3300;0/3300,1/3300;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/29,1/49;0/39,1/36;0/39,1/73;0/326,1/325
3360;78;76;2;2;0/2970.76,1/2631.69;0/42.58,1/53.69;0/3360,1/3360;0/3360,1/3360;0/1,1/0;0/0,1/0;0/1,1/4;0/7,1/8;0/3,1/2;0/5,1/5;0/29,1/49;0/39,1/37;0/39,1/73;0/332,1/331
3420;80;77;2;2;0/3030.76,1/2642.4;0/42.98,1/54.13;0/3420,1/3420;0/3420,1/3420;0/1,1/0;0/0,1/0;0/1,1/0;0/7,1/6;0/3,1/2;0/5,1/5;0/29,1/51;0/39,1/38;0/39,1/78;0/338,1/337
3480;80;79;2;2;0/3090.76,1/2701.69;0/43.47,1/54.62;0/3480,1/3480;0/3480,1/3480;0/0,1/1;0/0,1/1;0/3,1/1;0/11,1/7;0/3,1/2;0/5,1/5;0/29,1/51;0/41,1/38;0/39,1/78;0/344,1/343
3540;81;79;2;2;0/3120.76,1/2761.69;0/43.91,1/55.11;0/3540,1/3540;0/3540,1/3540;0/2,1/2;0/0,1/0;0/2,1/2;0/12,1/10;0/3,1/2;0/5,1/5;0/30,1/51;0/41,1/38;0/42,1/78;0/350,1/349
3600;83;83;2;2;0/3170.76,1/2801.69;0/44.22,1/55.51;0/3600,1/3600;0/3600,1/3600;0/0,1/0;0/0,1/0;0/2,1/3;0/9,1/10;0/3,1/2;0/5,1/5;0/31,1/52;0/43,1/40;0/43,1/80;0/356,1/355
3660;86;84;2;2;0/3210.76,1/2831.69;0/44.62,1/55.96;0/3660,1/3660;0/3660,1/3660;0/0,1/0;0/0,1/0;0/0,1/3;0/9,1/12;0/3,1/2;0/5,1/5;0/33,1/53;0/43,1/41;0/45,1/83;0/362,1/361
3720;87;84;2;2;0/3270.76,1/2861.69;0/45.02,1/56.31;0/3720,1/3720;0/3720,1/3720;0/1,1/2;0/0,1/0;0/1,1/2;0/11,1/11;0/3,1/2;0/5,1/5;0/33,1/54;0/43,1/41;0/45,1/86;0/368,1/367
3780;90;86;2;2;0/3326.22,1/2909.11;0/45.38,1/56.71;0/3780,1/3780;0/3780,1/3780;0/0,1/1;0/0,1/0;0/0,1/2;0/10,1/11;0/3,1/2;0/5,1/5;0/34,1/56;0/44,1/42;0/46,1/88;0/374,1/373
3840;90;89;2;2;0/3380.76,1/2951.69;0/45.78,1/57.11;0/3840,1/3840;0/3840,1/3840;0/0,1/1;0/0,1/2;0/0,1/2;0/11,1/16;0/3,1/2;0/5,1/5;0/34,1/56;0/45,1/44;0/46,1/89;0/380,1/379
3900;92;89;2;2;0/3440.76,1/2991.69;0/46.13,1/57.51;0/3900,1/3900;0/3900,1/3900;0/1,1/0;0/0,1/0;0/1,1/1;0/9,1/15;0/3,1/2;0/5,1/5;0/34,1/58;0/45,1/44;0/46,1/91;0/386,1/385
3960;94;92;2;2;0/3500.71,1/3041.69;0/46.58,1/57.87;0/3960,1/3960;0/3960,1/3960;0/0,1/0;0/0,1/0;0/1,1/0;0/10,1/12;0/3,1/2;0/5,1/5;0/35,1/59;0/47,1/45;0/47,1/92;0/392,1/391
4020;94;94;2;2;0/3540.76,1/3101.69;0/46.98,1/58.18;0/4020,1/4020;0/4020,1/4020;0/0,1/0;0/0,1/0;0/0,1/4;0/9,1/9;0/3,1/2;0/5,1/5;0/35,1/59;0/48,1/46;0/48,1/92;0/398,1/397
4080;96;95;2;2;0/3600.76,1/3130.93;0/47.42,1/58.58;0/4080,1/4080;0/4080,1/4080;0/0,1/2;0/0,1/1;0/2,1/2;0/11,1/10;0/3,1/2;0/5,1/5;0/35,1/61;0/48,1/47;0/48,1/96;0/404,1/403
4140;98;96;2;2;0/3640.84,1/3161.78;0/47.6,1/58.8;0/4140,1/4140;0/4140,1/4140;0/0,1/1;0/0,1/0;0/1,1/2;0/7,1/8;0/3,1/2;0/5,1/5;0/36,1/62;0/49,1/47;0/50,1/98;0/410,1/409
4200;101;99;2;2;0/3690.89,1/3203.69;0/47.78,1/58.98;0/4200,1/4200;0/4200,1/4200;0/0,1/0;0/0,1/1;0/0,1/0;0/10,1/12;0/3,1/2;0/5,1/5;0/37,1/64;0/50,1/49;0/51,1/100;0/416,1/415
4260;102;100;2;2;0/3750.89,1/3260.13;0/47.91,1/59.07;0/4260,1/4260;0/4260,1/4260;0/1,1/3;0/0,1/0;0/1,1/4;0/11,1/11;0/3,1/2;0/5,1/5;0/37,1/65;0/50,1/50;0/51,1/101;0/422,1/421
4320;104;102;2;2;0/3807.47,1/3301.96;0/48.04,1/59.16;0/4320,1/4320;0/4320,1/4320;0/1,1/3;0/0,1/0;0/1,1/4;0/14,1/9;0/3,1/2;0/5,1/5;0/38,1/66;0/51,1/51;0/52,1/102;0/428,1/427
4380;107;106;2;2;0/3850.98,1/3349.82;0/48.18,1/59.24;0/4380,1/4380;0/4380,1/4380;0/0,1/4;0/0,1/0;0/2,1/4;0/15,1/9;0/3,1/2;0/5,1/5;0/39,1/68;0/53,1/53;0/53,1/104;0/434,1/433
4440;110;107;2;2;0/3891.07,1/3392.09;0/48.22,1/59.38;0/4440,1/4440;0/4440,1/4440;0/0,1/3;0/0,1/0;0/1,1/4;0/12,1/11;0/3,1/2;0/5,1/5;0/41,1/69;0/54,1/53;0/55,1/105;0/440,1/439
4500;113;109;2;2;0/3931.16,1/3442.13;0/48.27,1/59.47;0/4500,1/4500;0/4500,1/4500;0/0,1/4;0/0,1/0;0/1,1/4;0/8,1/10;0/3,1/2;0/5,1/5;0/43,1/70;0/55,1/54;0/57,1/106;0/446,1/445
4560;116;110;2;2;0/3981.2,1/3488.93;0/48.44,1/59.6;0/4560,1/4560;0/4560,1/4560;0/1,1/1;0/1,1/0;0/1,1/3;0/7,1/11;0/3,1/2;0/5,1/5;0/44,1/72;0/55,1/55;0/58,1/108;0/452,1/451
4620;116;111;2;2;0/4041.2,1/3522.31;0/48.62,1/59.73;0/4620,1/4620;0/4620,1/4620;0/1,1/0;0/0,1/0;0/2,1/2;0/10,1/10;0/3,1/2;0/5,1/5;0/44,1/72;0/55,1/56;0/58,1/110;0/458,1/457
4680;119;113;2;2;0/4081.29,1/3562.4;0/48.8,1/59.87;0/4680,1/4680;0/4680,1/4680;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/7;0/3,1/2;0/5,1/5;0/46,1/73;0/56,1/57;0/60,1/112;0/464,1/463
4740;119;116;2;2;0/4141.29,1/3622.4;0/48.84,1/60;0/4740,1/4740;0/4740,1/4740;0/0,1/0;0/0,1/2;0/0,1/0;0/10,1/12;0/3,1/2;0/5,1/5;0/46,1/73;0/58,1/58;0/60,1/112;0/470,1/468
4800;119;117;2;2;0/4201.29,1/3682.4;0/48.93,1/60.22;0/4800,1/4800;0/4800,1/4800;0/1,1/1;0/0,1/0;0/1,1/1;0/9,1/20;0/3,1/2;0/5,1/5;0/46,1/73;0/59,1/58;0/60,1/112;0/476,1/474
4860;120;119;2;2;0/4260.98,1/3742.4;0/49.07,1/60.27;0/4860,1/4860;0/4860,1/4860;0/2,1/0;0/0,1/0;0/2,1/1;0/7,1/15;0/3,1/2;0/5,1/5;0/47,1/73;0/59,1/60;0/61,1/112;0/482,1/480
4920;121;120;2;2;0/4311.33,1/3792.44;0/49.24,1/60.36;0/4920,1/4920;0/4920,1/4920;0/3,1/1;0/0,1/0;0/3,1/1;0/7,1/12;0/3,1/2;0/5,1/5;0/47,1/74;0/60,1/60;0/61,1/113;0/488,1/486
4980;122;121;2;2;0/4351.6,1/3852.44;0/49.42,1/60.4;0/4980,1/4980;0/4980,1/4980;0/0,1/3;0/0,1/0;0/1,1/3;0/5,1/10;0/3,1/2;0/5,1/5;0/48,1/74;0/61,1/60;0/63,1/113;0/494,1/492
5040;125;122;2;2;0/4391.51,1/3905.33;0/49.69,1/60.53;0/5040,1/5040;0/5040,1/5040;0/0,1/0;0/0,1/0;0/0,1/3;0/9,1/13;0/3,1/2;0/5,1/5;0/50,1/75;0/61,1/61;0/65,1/114;0/500,1/498
5100;126;123;2;2;0/4451.51,1/3932.62;0/49.82,1/60.58;0/5100,1/5100;0/5100,1/5100;0/2,1/0;0/0,1/0;0/2,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/50,1/76;0/62,1/61;0/65,1/117;0/506,1/504
5160;127;125;2;2;0/4491.6,1/3992.62;0/50,1/60.71;0/5160,1/5160;0/5160,1/5160;0/0,1/0;0/0,1/0;0/0,1/2;0/13,1/11;0/3,1/2;0/5,1/5;0/51,1/76;0/62,1/63;0/67,1/117;0/512,1/510
5220;129;127;2;2;0/4551.6,1/4032.71;0/50.04,1/60.8;0/5220,1/5220;0/5220,1/5220;0/2,1/0;0/0,1/0;0/2,1/0;0/10,1/9;0/3,1/2;0/5,1/5;0/51,1/78;0/63,1/64;0/67,1/119;0/517,1/516
5280;131;127;2;2;0/4592.58,1/4082.76;0/50.18,1/60.93;0/5280,1/5280;0/5280,1/5280;0/0,1/1;0/0,1/0;0/0,1/1;0/9,1/12;0/3,1/2;0/5,1/5;0/52,1/79;0/63,1/64;0/69,1/120;0/523,1/522
5340;132;130;2;2;0/4651.69,1/4132.8;0/50.4,1/60.98;0/5340,1/5340;0/5340,1/5340;0/1,1/0;0/0,1/0;0/1,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/52,1/80;0/63,1/67;0/69,1/121;0/529,1/528
5400;132;132;2;2;0/4711.69,1/4192.8;0/50.58,1/61.11;0/5400,1/5400;0/5400,1/5400;0/0,1/0;0/0,1/0;0/1,1/2;0/12,1/10;0/3,1/2;0/5,1/5;0/52,1/80;0/64,1/68;0/69,1/121;0/535,1/534
5459.96;134;134;2;2;0/4761.69,1/4232.84;0/50.67,1/61.24;0/5459.96,1/5459.96;0/5459.96,1/5459.96;0/1,1/0;0/0,1/0;0/1,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/53,1/81;0/64,1/70;0/70,1/123;0/541,1/540
5519.96;135;135;2;2;0/4817.91,1/4292.84;0/50.8,1/61.38;0/5519.96,1/5519.96;0/5519.96,1/5519.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/54,1/81;0/65,1/70;0/71,1/123;0/547,1/546
5579.96;136;136;2;2;0/4871.73,1/4345.78;0/50.89,1/61.6;0/5579.96,1/5579.96;0/5579.96,1/5579.96;0/1,1/1;0/0,1/0;0/1,1/2;0/8,1/11;0/3,1/2;0/5,1/5;0/54,1/82;0/66,1/70;0/71,1/124;0/553,1/552
5639.96;138;138;2;2;0/4921.78,1/4392.93;0/51.07,1/61.69;0/5639.96,1/5639.96;0/5639.96,1/5639.96;0/0,1/0;0/0,1/0;0/1,1/2;0/15,1/9;0/3,1/2;0/5,1/5;0/55,1/83;0/67,1/71;0/72,1/125;0/559,1/558
5699.96;140;139;2;2;0/4971.82,1/4433.02;0/51.16,1/61.78;0/5699.96,1/5699.96;0/5699.96,1/5699.96;0/1,1/1;0/0,1/0;0/1,1/1;0/12,1/6;0/3,1/2;0/5,1/5;0/56,1/84;0/67,1/72;0/73,1/127;0/565,1/564
5759.96;143;141;2;2;0/5020,1/4483.07;0/51.29,1/62;0/5759.96,1/5759.96;0/5759.96,1/5759.96;0/0,1/0;0/0,1/0;0/0,1/1;0/13,1/8;0/3,1/2;0/5,1/5;0/58,1/85;0/68,1/73;0/75,1/128;0/571,1/570
