decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
1035,11584.3555555227,1,90,1,85,3,0,27.562763546142,41.9299935322382,0.928881179531656,0.027562763546142,20,1,4,1,0,1,-672.812379355824,0.0080031
1036,11594.4444444114,1,92,1,85,3,0,27.5743818792958,41.9331348295863,0.929748482220295,0.0275743818792958,19,1,3,1,0,1,-608.97994262374,0.0090007
1037,11603.7777777446,1,93,1,85,6,0,27.5980726172852,41.954645746479,0.930615784908933,0.0275980726172852,29,1,10,1,0,3,-1140.15806911888,0.0109986
1038,11604.5333333002,1,91,1,86,2,0,27.5824121079484,41.9163598734312,0.930615784908933,0.0275824121079484,15,1,2,1,0,1,-467.895173846908,0.0089967
1039,11613.8666666334,1,92,1,88,6,2,27.5995956043404,41.9280146932873,0.931483087597572,0.0275995956043404,39,1,15,1,2,3,-1532.30886939026,0.1070775
1040,11614.6222221889,1,87,1,87,2,1,27.5855497976844,41.8922548790615,0.930675909878683,0.0275855497976844,20,1,4,1,1,1,-653.260653997673,0.156042
1041,11624.7111110777,1,87,1,89,2,1,27.6009441499155,41.9012321149119,0.931542461005199,0.0276009441499155,19,1,3,1,1,1,-591.401456886555,0.1405114
1042,11634.7999999664,1,86,1,88,3,0,27.6076647320427,41.8970590405874,0.932409012131716,0.0276076647320427,18,1,2,1,0,1,-546.205328669768,0.0070015
1043,11644.0444444107,1,90,1,90,5,1,27.618185311318,41.8986726961863,0.933275563258232,0.027618185311318,27,1,9,1,1,1,-1027.52834884262,0.1910416
1044,11644.8888888551,1,86,1,90,2,1,27.6033660627532,41.8618751122196,0.934142114384749,0.0276033660627532,19,3,6,1,1,3,-689.846953853807,0.1260183
1045,11654.1333332994,1,89,1,91,4,2,27.5877809125821,41.8792465757133,0.935064935064935,0.0275877809125821,28,2,10,1,2,3,-1072.28143732044,0.115483
1046,11675.0666666325,1,87,1,92,3,2,27.6056767107558,41.919731301518,0.935930735930736,0.0276056767107558,27,1,9,1,2,4,-988.26958476936,0.2365567
1047,11684.3111110768,1,90,1,90,4,1,27.6060175806984,41.9059346875002,0.934312878133103,0.0276060175806984,25,2,10,1,1,2,-1019.78359993384,0.1940539
1048,11685.1555555212,1,86,1,90,4,1,27.5727508096777,41.8687125181919,0.935233160621762,0.0275727508096777,25,1,9,1,1,3,-972.667069579225,0.1950386
1049,11695.24444441,1,85,1,91,4,2,27.5786259445949,41.8633633350587,0.936096718480138,0.0275786259445949,27,1,11,1,2,2,-1083.60150937653,0.1830279
1050,11734.5777777427,1,90,1,90,3,3,27.6602193167903,41.9729349951693,0.936151855047455,0.0276602193167903,34,3,13,1,3,4,-1299.29985967039,0.191036
1051,11735.4666666316,1,85,1,87,3,1,27.6073298927346,41.9334443091835,0.933791917454858,0.0276073298927346,18,2,8,1,1,2,-746.775122584677,0.1970298
1052,11745.5555555203,1,85,1,86,4,0,27.5950134007618,41.9279457342918,0.933848797250859,0.0275950134007618,17,1,8,1,0,1,-755.944207205392,0.0070009
1053,11754.7111110758,1,92,1,88,5,1,27.6124788692353,41.9402263540672,0.933905579399142,0.0276124788692353,30,1,12,1,1,2,-1221.2942497412,0.1410309
1054,11755.6444444091,1,87,1,88,3,1,27.5966481360369,41.9019612711026,0.934763948497854,0.0275966481360369,20,1,9,1,1,3,-838.059625254195,0.1350498
